bill_num,ga_num,session,chamber,action_date,action,order,vote_url
HB1001,94th General Assembly,"Regular Session, 2023",House,2023-01-23,Notification that HB1001 is now Act 6,14,
HB1001,94th General Assembly,"Regular Session, 2023",House,2023-01-19,Correctly enrolled and ordered transmitted to the Governor's Office.,13,
HB1001,94th General Assembly,"Regular Session, 2023",House,2023-01-12,TO BE ENROLLED,12,
HB1001,94th General Assembly,"Regular Session, 2023",House,2023-01-12,Returned From  the Senate as passed.,11,
HB1001,94th General Assembly,"Regular Session, 2023",Senate,2023-01-12,Returned to the House as passed.,10,
HB1001,94th General Assembly,"Regular Session, 2023",Senate,2023-01-12,EMERGENCY CLAUSE ADOPTED,9,
HB1001,94th General Assembly,"Regular Session, 2023",Senate,2023-01-12,Read the third time and passed.,8,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1001&rcs=29&chamber=Senate&ddBienniumSession=2023%2F2023R
HB1001,94th General Assembly,"Regular Session, 2023",Senate,2023-01-11,"Read the first time, rules suspended, read the second time and placed on the calendar.",7,
HB1001,94th General Assembly,"Regular Session, 2023",Senate,2023-01-11,Received from the House.,6,
HB1001,94th General Assembly,"Regular Session, 2023",House,2023-01-11,EMERGENCY CLAUSE ADOPTED,5,
HB1001,94th General Assembly,"Regular Session, 2023",House,2023-01-11,Read the third time and passed and ordered transmitted to the Senate.,4,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1001&rcs=38&chamber=House&ddBienniumSession=2023%2F2023R
HB1001,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and placed on the CALENDAR.",3,
HB1001,94th General Assembly,"Regular Session, 2023",House,2023-01-03,Filed,2,
HB1002,94th General Assembly,"Regular Session, 2023",House,2023-05-01,Died in House Committee at Sine Die Adjournment,4,
HB1002,94th General Assembly,"Regular Session, 2023",House,2023-01-09,In accordance with House Rule 39 Read the first time and referred to the Committee on HOUSE JOURNAL; ENGROSSED AND ENROLLED BILLS,3,
HB1002,94th General Assembly,"Regular Session, 2023",House,2022-11-15,Filed,2,
HB1003,94th General Assembly,"Regular Session, 2023",House,2023-05-01,Died in House Committee at Sine Die Adjournment,7,
HB1003,94th General Assembly,"Regular Session, 2023",House,2023-03-13,REPORTED CORRECTLY ENGROSSED,6,
HB1003,94th General Assembly,"Regular Session, 2023",House,2023-03-13,Amendment No. 1 read and adopted and the bill ordered engrossed.,5,
HB1003,94th General Assembly,"Regular Session, 2023",House,2023-03-13,Placed on second reading for the purpose of amendment.,4,
HB1003,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE",3,
HB1003,94th General Assembly,"Regular Session, 2023",House,2022-11-17,Filed,2,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-02-09,Notification that HB1004 is now Act 37,24,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-02-07,Correctly enrolled and ordered transmitted to the Governor's Office.,23,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-02-07,TO BE ENROLLED,22,
HB1004,94th General Assembly,"Regular Session, 2023",Senate,2023-02-07,Returned to the House as passed.,21,
HB1004,94th General Assembly,"Regular Session, 2023",Senate,2023-02-07,EMERGENCY CLAUSE ADOPTED,20,
HB1004,94th General Assembly,"Regular Session, 2023",Senate,2023-02-07,Read the third time and passed.,19,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1004&rcs=135&chamber=Senate&ddBienniumSession=2023%2F2023R
HB1004,94th General Assembly,"Regular Session, 2023",Senate,2023-02-06,"Returned by the Committee, with the recommendation that it Do Pass",18,
HB1004,94th General Assembly,"Regular Session, 2023",Senate,2023-02-01,"Read first time, rules suspended, read second time, referred to JUDICIARY COMMITTEE - SENATE",17,
HB1004,94th General Assembly,"Regular Session, 2023",Senate,2023-02-01,Received from the House.,16,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-02-01,EMERGENCY CLAUSE ADOPTED,15,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-02-01,Read the third time and passed and ordered transmitted to the Senate.,14,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1004&rcs=118&chamber=House&ddBienniumSession=2023%2F2023R
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-01-31,Returned by the Committee Do Pass,13,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-01-30,REPORTED CORRECTLY ENGROSSED,12,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-01-30,Amendment No. 3 read and adopted and the bill ordered engrossed.,11,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-01-30,Placed on second reading for the purpose of amendment.,10,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-01-23,REPORTED CORRECTLY ENGROSSED,9,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-01-23,Amendment No. 2 read and adopted and the bill ordered engrossed.,8,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-01-23,Placed on second reading for the purpose of amendment.,7,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-01-10,REPORTED CORRECTLY ENGROSSED,6,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-01-10,Amendment No. 1 read and adopted and the bill ordered engrossed.,5,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-01-10,Placed on second reading for the purpose of amendment.,4,
HB1004,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on JUDICIARY COMMITTEE- HOUSE",3,
HB1004,94th General Assembly,"Regular Session, 2023",House,2022-11-17,Filed,2,
HB1005,94th General Assembly,"Regular Session, 2023",House,2023-03-10,Notification that HB1005 is now Act 239,14,
HB1005,94th General Assembly,"Regular Session, 2023",House,2023-03-07,Correctly enrolled and ordered transmitted to the Governor's Office.,13,
HB1005,94th General Assembly,"Regular Session, 2023",House,2023-03-06,TO BE ENROLLED,12,
HB1005,94th General Assembly,"Regular Session, 2023",House,2023-03-06,Returned From  the Senate as passed.,11,
HB1005,94th General Assembly,"Regular Session, 2023",Senate,2023-03-06,Returned to the House as passed.,10,
HB1005,94th General Assembly,"Regular Session, 2023",Senate,2023-03-06,Read the third time and passed.,9,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1005&rcs=392&chamber=Senate&ddBienniumSession=2023%2F2023R
HB1005,94th General Assembly,"Regular Session, 2023",Senate,2023-02-14,"Returned by the Committee, with the recommendation that it Do Pass",8,
HB1005,94th General Assembly,"Regular Session, 2023",Senate,2023-02-09,"Read first time, rules suspended, read second time, referred to CITY, COUNTY & LOCAL AFFAIRS COMMITTEE - SENATE",7,
HB1005,94th General Assembly,"Regular Session, 2023",Senate,2023-02-09,Received from the House.,6,
HB1005,94th General Assembly,"Regular Session, 2023",House,2023-02-09,Read the third time and passed and ordered transmitted to the Senate.,5,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1005&rcs=182&chamber=House&ddBienniumSession=2023%2F2023R
HB1005,94th General Assembly,"Regular Session, 2023",House,2023-02-08,Returned by the Committee Do Pass,4,
HB1005,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on CITY, COUNTY & LOCAL AFFAIRS COMMITTEE- HOUSE",3,
HB1005,94th General Assembly,"Regular Session, 2023",House,2022-11-18,Filed,2,
HB1006,94th General Assembly,"Regular Session, 2023",Senate,2023-05-01,Died in Senate Committee at Sine Die adjournment.,14,
HB1006,94th General Assembly,"Regular Session, 2023",Senate,2023-02-13,"Read first time, rules suspended, read second time, referred to PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE - SENATE",13,
HB1006,94th General Assembly,"Regular Session, 2023",Senate,2023-02-13,Received from the House.,12,
HB1006,94th General Assembly,"Regular Session, 2023",House,2023-02-13,Read the third time and passed and ordered transmitted to the Senate.,11,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1006&rcs=202&chamber=House&ddBienniumSession=2023%2F2023R
HB1006,94th General Assembly,"Regular Session, 2023",House,2023-02-09,Returned by the Committee Do Pass,10,
HB1006,94th General Assembly,"Regular Session, 2023",House,2023-01-31,REPORTED CORRECTLY ENGROSSED,9,
HB1006,94th General Assembly,"Regular Session, 2023",House,2023-01-31,Amendment No. 2 read and adopted and the bill ordered engrossed.,8,
HB1006,94th General Assembly,"Regular Session, 2023",House,2023-01-31,Placed on second reading for the purpose of amendment.,7,
HB1006,94th General Assembly,"Regular Session, 2023",House,2023-01-19,REPORTED CORRECTLY ENGROSSED,6,
HB1006,94th General Assembly,"Regular Session, 2023",House,2023-01-19,Amendment No. 1 read and adopted and the bill ordered engrossed.,5,
HB1006,94th General Assembly,"Regular Session, 2023",House,2023-01-19,Placed on second reading for the purpose of amendment.,4,
HB1006,94th General Assembly,"Regular Session, 2023",House,2023-01-09,"Read the first time, rules suspended, read the second time and referred to the Committee on PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE- HOUSE",3,
HB1006,94th General Assembly,"Regular Session, 2023",House,2022-11-18,Filed,2,
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-03-21,Notification that HB1007 is now Act 314,20,
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-03-17,Correctly enrolled and ordered transmitted to the Governor's Office.,19,
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-03-16,TO BE ENROLLED,18,
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-03-16,Returned From  the Senate as passed.,17,
HB1007,94th General Assembly,"Regular Session, 2023",Senate,2023-03-16,Returned to the House as passed.,16,
HB1007,94th General Assembly,"Regular Session, 2023",Senate,2023-03-16,Read the third time and passed.,15,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1007&rcs=556&chamber=Senate&ddBienniumSession=2023%2F2023R
HB1007,94th General Assembly,"Regular Session, 2023",Senate,2023-03-15,"Returned by the Committee, with the recommendation that it Do Pass",14,
HB1007,94th General Assembly,"Regular Session, 2023",Senate,2023-03-09,"Read first time, rules suspended, read second time, referred to PUBLIC HEALTH, WELFARE AND LABOR COMMITTEE - SENATE",13,
HB1007,94th General Assembly,"Regular Session, 2023",Senate,2023-03-09,Received from the House.,12,
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-03-09,Read the third time and passed and ordered transmitted to the Senate.,11,https://www.arkleg.state.ar.us/Bills/Votes?id=HB1007&rcs=465&chamber=House&ddBienniumSession=2023%2F2023R
HB1007,94th General Assembly,"Regular Session, 2023",House,2023-03-08,REPORTED CORRECTLY ENGROSSED,10,
