bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1397613,1781,HB1001,4,Passed,2021-01-14,"An Act For The Arkansas House Of Representatives Of The Ninety-third General Assembly Appropriation For The 2020-2021 Fiscal Year.","An Act For The Arkansas House Of Representatives Of The Ninety-third General Assembly Appropriation For The 2020-2021 Fiscal Year.",0,,2021-01-14,"Notification that HB1001 is now Act 2",https://legiscan.com/AR/bill/HB1001/2021,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1001&ddBienniumSession=2021%2F2021R
1383019,1781,HB1002,1,Introduced,2020-11-18,"To Clarify The Requirements For Establishing Eligibility For The Property Tax Exemption For Disabled Veterans, Surviving Spouses, And Minor Dependent Children.","To Clarify The Requirements For Establishing Eligibility For The Property Tax Exemption For Disabled Veterans, Surviving Spouses, And Minor Dependent Children.",0,,2021-02-23,"WITHDRAWN BY AUTHOR",https://legiscan.com/AR/bill/HB1002/2021,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1002&ddBienniumSession=2021%2F2021R
1383012,1781,HB1003,4,Passed,2021-02-09,"To Amend And Update The Laws Regarding Individuals Who Are Deaf Or Hard Of Hearing; To Ensure Respectful Language Is Used Regarding Individuals Who Are Deaf Or Hard Of Hearing; And To Remove The Term &quot;hearing Impaired&quot;.","To Amend And Update The Laws Regarding Individuals Who Are Deaf Or Hard Of Hearing; To Ensure Respectful Language Is Used Regarding Individuals Who Are Deaf Or Hard Of Hearing; And To Remove The Term &quot;hearing Impaired&quot;.",0,,2021-02-09,"Notification that HB1003 is now Act 84",https://legiscan.com/AR/bill/HB1003/2021,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1003&ddBienniumSession=2021%2F2021R
1383282,1781,HB1004,4,Passed,2021-03-23,"Prohibiting A Person Required To Register As A Sex Offender From Entering Certain Locations Designed For Public Aquatic Activities.","Prohibiting A Person Required To Register As A Sex Offender From Entering Certain Locations Designed For Public Aquatic Activities.",0,,2021-03-23,"Notification that HB1004 is now Act 429",https://legiscan.com/AR/bill/HB1004/2021,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1004&ddBienniumSession=2021%2F2021R
1383285,1781,HB1005,6,Failed,2021-10-15,"To Establish The Supported Decision-making Agreement Act.","To Establish The Supported Decision-making Agreement Act.",0,,2021-10-15,"Died on House Calendar at Sine Die Adjournment",https://legiscan.com/AR/bill/HB1005/2021,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1005&ddBienniumSession=2021%2F2021R
1383807,1781,HB1006,6,Failed,2021-10-15,"To Create The Parent-child Intrastate Relocation Act.","To Create The Parent-child Intrastate Relocation Act.",0,,2021-10-15,"Died on House Calendar at Sine Die Adjournment",https://legiscan.com/AR/bill/HB1006/2021,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1006&ddBienniumSession=2021%2F2021R
1383866,1781,HB1007,6,Failed,2021-10-15,"To Be Known As The &quot;law Enforcement Integrity Act Of 2021&quot;.","To Be Known As The &quot;law Enforcement Integrity Act Of 2021&quot;.",0,,2021-10-15,"Died in House Committee at Sine Die Adjournment",https://legiscan.com/AR/bill/HB1007/2021,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1007&ddBienniumSession=2021%2F2021R
1384156,1781,HB1008,4,Passed,2021-03-15,"To Amend The Law Concerning Additional Allocations For Certain Underfunded Plans Of The Policemen&#x27;s Pension And Relief Fund And Firemen&#x27;s Relief And Pension Fund.","To Amend The Law Concerning Additional Allocations For Certain Underfunded Plans Of The Policemen&#x27;s Pension And Relief Fund And Firemen&#x27;s Relief And Pension Fund.",0,,2021-03-15,"Notification that HB1008 is now Act 347",https://legiscan.com/AR/bill/HB1008/2021,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1008&ddBienniumSession=2021%2F2021R
1384066,1781,HB1009,4,Passed,2021-02-24,"To Amend The Law Concerning The Distribution Of Excess Food In Public Schools.","To Amend The Law Concerning The Distribution Of Excess Food In Public Schools.",0,,2021-02-24,"Notification that HB1009 is now Act 141",https://legiscan.com/AR/bill/HB1009/2021,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1009&ddBienniumSession=2021%2F2021R
1384294,1781,HB1010,4,Passed,2021-02-24,"To Amend The Sales And Use Tax Exemption For Sales Of Certain Aircraft.","To Amend The Sales And Use Tax Exemption For Sales Of Certain Aircraft.",0,,2021-02-24,"Notification that HB1010 is now Act 142",https://legiscan.com/AR/bill/HB1010/2021,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1010&ddBienniumSession=2021%2F2021R
