bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1397613,2231789,text,227467,application/pdf,Draft,https://legiscan.com/AR/text/HB1001/id/2231789,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1001/HB1001010820211519.pdf
1397613,2257887,text,227846,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1001/id/2257887,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=2.pdf&ddBienniumSession=2021%2F2021R
1383019,2216247,text,228688,application/pdf,Draft,https://legiscan.com/AR/text/HB1002/id/2216247,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1002/HB1002111820201013.pdf
1383012,2216242,text,273165,application/pdf,Draft,https://legiscan.com/AR/text/HB1003/id/2216242,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1003/HB1003111820201017.pdf
1383012,2250075,text,357571,application/pdf,Draft,https://legiscan.com/AR/text/HB1003/id/2250075,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1003/HB1003012120210932.pdf
1383012,2285461,text,359574,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1003/id/2285461,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=84.pdf&ddBienniumSession=2021%2F2021R
1383282,2216397,text,224081,application/pdf,Draft,https://legiscan.com/AR/text/HB1004/id/2216397,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1004/HB1004111920201147.pdf
1383282,2257547,text,231499,application/pdf,Draft,https://legiscan.com/AR/text/HB1004/id/2257547,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1004/HB1004012520210948.pdf
1383282,2349381,text,233933,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1004/id/2349381,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=429.pdf&ddBienniumSession=2021%2F2021R
1383285,2216400,text,266146,application/pdf,Draft,https://legiscan.com/AR/text/HB1005/id/2216400,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1005/HB1005111920201152.pdf
1383285,2250588,text,345895,application/pdf,Draft,https://legiscan.com/AR/text/HB1005/id/2250588,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1005/HB1005012120210941.pdf
1383285,2320689,text,341431,application/pdf,Draft,https://legiscan.com/AR/text/HB1005/id/2320689,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1005/HB1005030320210933.pdf
1383807,2217105,text,241930,application/pdf,Draft,https://legiscan.com/AR/text/HB1006/id/2217105,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1006/HB1006112020201115.pdf
1383807,2337717,text,249560,application/pdf,Draft,https://legiscan.com/AR/text/HB1006/id/2337717,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1006/HB1006031620211054.pdf
1383866,2217200,text,240847,application/pdf,Draft,https://legiscan.com/AR/text/HB1007/id/2217200,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1007/HB1007112320201141.pdf
1384156,2217556,text,224213,application/pdf,Draft,https://legiscan.com/AR/text/HB1008/id/2217556,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1008/HB1008113020201134.pdf
1384156,2259998,text,237865,application/pdf,Draft,https://legiscan.com/AR/text/HB1008/id/2259998,ftp://www.arkleg.state.ar.us/bills/2021R/Public/HB1008/HB1008012620211017.pdf
1384156,2336273,text,239819,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1008/id/2336273,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2F&file=347.pdf&ddBienniumSession=2021%2F2021R
