bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1382882,1026176,2021-03-10,Senate,"Third Reading",34,0,1,0,35
1382882,1028552,2021-03-15,House,"Third Reading",96,0,4,0,100
1382884,994302,2021-02-02,Senate,"Third Reading",35,0,0,0,35
1382884,996338,2021-02-04,House,"Third Reading",89,4,7,0,100
1383012,991424,2021-01-27,House,"Third Reading",93,1,6,0,100
1383012,996690,2021-02-04,Senate,"Third Reading",35,0,0,0,35
1383034,994305,2021-02-02,Senate,"Third Reading",35,0,0,0,35
1383034,996441,2021-02-04,House,"Third Reading",86,0,14,0,100
1383038,1011838,2021-02-22,Senate,"Third Reading",26,7,2,0,35
1383038,1011839,2021-02-22,Senate,"Third Reading",27,7,1,0,35
1383038,1020635,2021-03-03,House,"Third Reading",76,19,5,0,100
1383282,1017928,2021-03-01,House,"Third Reading",93,0,7,0,100
1383282,1031656,2021-03-18,Senate,"Third Reading",33,0,0,2,35
1383285,1033288,2021-03-22,House,"Third Reading",19,39,42,0,100
1383807,1030413,2021-03-17,House,"Third Reading",40,44,16,0,100
1384066,991423,2021-01-27,House,"Third Reading",97,0,3,0,100
1384066,1002778,2021-02-10,Senate,"Third Reading",34,0,0,1,35
1384066,1011614,2021-02-22,House,"Senate amendment # 1 read and concurred in.",94,0,6,0,100
1384156,1024445,2021-03-09,House,"Third Reading",96,0,4,0,100
1384156,1025578,2021-03-10,Senate,"Third Reading",35,0,0,0,35
1384294,993320,2021-02-01,House,"Third Reading",94,0,6,0,100
1384294,1002664,2021-02-10,Senate,"Third Reading",34,0,0,1,35
1384294,1010791,2021-02-22,House,"Senate amendment # 1 read and concurred in.",95,0,5,0,100
1384301,998904,2021-02-09,House,"Third Reading",71,5,24,0,100
1384305,990268,2021-01-25,House,"Third Reading",96,0,4,0,100
1384305,994485,2021-02-02,Senate,"Third Reading",35,0,0,0,35
1384315,1019479,2021-02-24,House,"Third Reading",93,1,6,0,100
1384315,1020656,2021-03-03,House,"Senate amendment # 1 read and concurred in.",92,0,8,0,100
1384316,1054210,2021-04-15,House,"Third Reading",91,0,9,0,100
1384316,1060597,2021-04-22,Senate,"Third Reading",16,10,7,2,35
1384316,1062656,2021-04-26,Senate,"Third Reading",19,9,7,0,35
1384316,1063579,2021-04-27,House,"Senate amendment # 1 read and concurred in.",91,3,6,0,100
1384914,1014192,2021-02-24,House,"Third Reading",89,0,11,0,100
1385031,994017,2021-02-02,House,"Third Reading",55,19,26,0,100
1387289,989928,2021-01-25,House,"Third Reading",96,0,4,0,100
1387289,993322,2021-02-01,Senate,"Third Reading",35,0,0,0,35
1387302,1015625,2021-02-25,House,"Third Reading",94,0,6,0,100
1387302,1057915,2021-04-20,Senate,"Third Reading",34,0,0,1,35
1387517,989089,2021-01-21,House,"Third Reading",88,0,12,0,100
1387534,991653,2021-01-27,House,"Third Reading",96,0,4,0,100
