bill_id,people_id,position
1382881,10674,1
1382882,11363,1
1382883,10661,5
1382883,10772,19
1382883,11693,18
1382883,12235,7
1382883,12464,2
1382883,12470,6
1382883,12578,16
1382883,14588,14
1382883,14947,9
1382883,14974,1
1382883,16339,20
1382883,16912,11
1382883,16917,8
1382883,16925,10
1382883,20768,3
1382883,20776,17
1382883,20779,12
1382883,20781,4
1382883,21594,13
1382883,21629,15
1382884,11363,1
1382885,14974,1
1383012,14943,1
1383012,16335,3
1383012,20838,2
1383019,14943,1
1383019,16339,2
1383025,14943,1
1383034,11363,1
1383038,10657,38
1383038,11366,35
1383038,12020,1
1383038,12101,44
1383038,12186,41
1383038,12483,33
1383038,12578,27
1383038,12719,10
1383038,14930,34
1383038,14932,5
1383038,14940,12
1383038,14946,14
1383038,14953,15
1383038,14959,20
1383038,14966,36
1383038,14972,42
1383038,16334,23
1383038,16336,30
1383038,16337,46
1383038,16338,24
1383038,16339,47
1383038,16381,45
1383038,16900,2
1383038,16906,37
1383038,16911,16
1383038,16916,18
1383038,16919,31
1383038,16926,26
1383038,16963,39
1383038,18011,32
1383038,18012,3
1383038,18016,21
1383038,18019,28
1383038,18025,17
1383038,19943,13
1383038,20017,49
1383038,20405,43
1383038,20764,6
1383038,20765,9
1383038,20767,8
1383038,20769,11
1383038,21699,40
1383038,21766,29
1383038,21768,25
1383038,21894,22
1383038,21895,48
1383038,21978,4
1383038,22202,7
1383038,22205,19
1383282,18010,1
1383285,14966,2
1383285,16911,1
1383285,21594,3
1383290,12020,3
1383290,16898,2
1383290,20017,1
1383807,14953,1
1383866,12464,1
1383886,12483,1
1384066,12101,5
1384066,12578,1
1384066,14940,3
1384066,14965,4
1384066,21895,2
1384156,12578,1
1384294,14588,1
1384294,20017,2
1384295,14588,1
1384297,18017,1
1384300,18017,1
1384301,18017,1
1384305,18017,1
1384308,18017,1
1384309,18017,1
1384314,18017,1
1384315,16902,1
1384315,21699,2
1384316,18017,1
1384332,10661,5
1384332,10772,20
1384332,11693,19
1384332,12235,7
1384332,12464,1
1384332,12470,6
1384332,12578,16
1384332,14588,14
1384332,14938,18
1384332,14947,9
1384332,14974,2
1384332,16339,21
1384332,16912,11
1384332,16917,8
1384332,16925,10
1384332,20768,3
1384332,20776,17
1384332,20779,12
1384332,20781,4
1384332,21594,13
1384332,21629,15
1384914,16336,3
1384914,20767,1
1384914,20838,2
1385031,14943,1
1385031,16906,2
1387203,18019,1
1387289,18019,1
1387302,14588,3
1387302,14953,1
1387302,20017,2
1387302,21894,4
1387517,10657,27
1387517,11366,26
1387517,12101,28
1387517,12578,24
1387517,14940,9
1387517,14943,11
1387517,14953,16
1387517,14959,19
1387517,16336,17
1387517,16900,5
1387517,16909,14
1387517,16911,18
1387517,16915,15
1387517,16922,21
1387517,16926,23
1387517,17040,6
1387517,18006,3
1387517,18008,1
1387517,18012,13
1387517,18017,20
1387517,18683,8
1387517,19943,10
1387517,20769,7
1387517,20783,25
1387517,20838,2
1387517,21766,4
1387517,21767,12
1387517,21768,22
1387534,16381,2
1387534,16915,5
1387534,16926,6
1387534,18006,3
1387534,18008,1
1387534,20775,4
1387545,16339,1
1387560,10661,6
1387560,16900,5
1387560,16912,7
1387560,18008,1
1387560,18016,3
1387560,19943,4
1387560,20405,2
1387866,16337,1
1387866,16909,2
1387878,16337,1
