bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1627902,1992,HB1001,6,Failed,2022-08-11,"To Amend Arkansas Income Tax Law; To Adopt Federal Law Regarding Depreciation And Expensing Of Property; And To Create An Inflationary Relief Income-tax Credit For Certain Taxpayers.","To Amend Arkansas Income Tax Law; To Adopt Federal Law Regarding Depreciation And Expensing Of Property; And To Create An Inflationary Relief Income-tax Credit For Certain Taxpayers.",0,,2022-08-11,"Died in the House at Sine Die Adjournment",https://legiscan.com/AR/bill/HB1001/2022/X1,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1001&ddBienniumSession=2021%2F2022S3
1627923,1992,HB1002,4,Passed,2022-08-11,"To Reduce Arkansas Income Taxes; To Adopt Federal Law On Depreciation And Expensing Of Property; To Create An Income-tax Credit For Certain Taxpayers; And To Declare An Emergency.","To Reduce Arkansas Income Taxes; To Adopt Federal Law On Depreciation And Expensing Of Property; To Create An Income-tax Credit For Certain Taxpayers; And To Declare An Emergency.",0,,2022-08-11,"Notification that HB1002 is now Act 1",https://legiscan.com/AR/bill/HB1002/2022/X1,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1002&ddBienniumSession=2021%2F2022S3
1627989,1992,HB1003,6,Failed,2022-08-11,"To Exempt From Income Tax The First Sixty Thousand Dollars ($60,000) Of Income For Certain Taxpayers.","To Exempt From Income Tax The First Sixty Thousand Dollars ($60,000) Of Income For Certain Taxpayers.",0,,2022-08-11,"Died in the House of Sine Die Adjournment",https://legiscan.com/AR/bill/HB1003/2022/X1,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1003&ddBienniumSession=2021%2F2022S3
1628022,1992,HB1004,6,Failed,2022-08-11,"To Reduce Arkansas Income Taxes; To Adopt Federal Law On Depreciation And Expensing Of Property; To Create An Income-tax Credit For Certain Taxpayers; And To Declare An Emergency.","To Reduce Arkansas Income Taxes; To Adopt Federal Law On Depreciation And Expensing Of Property; To Create An Income-tax Credit For Certain Taxpayers; And To Declare An Emergency.",0,,2022-08-11,"Died in the House at Sine Die Adjournment",https://legiscan.com/AR/bill/HB1004/2022/X1,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1004&ddBienniumSession=2021%2F2022S3
1628025,1992,HB1005,6,Failed,2022-08-11,"An Act For The Department Of Education - Division Of Elementary And Secondary Education - Public School District Classified Staff Retention And Recruitment Program Appropriation &#xd;for The 2022-2023 Fiscal Year.","An Act For The Department Of Education - Division Of Elementary And Secondary Education - Public School District Classified Staff Retention And Recruitment Program Appropriation &#xd;for The 2022-2023 Fiscal Year.",0,,2022-08-11,"Died in the House at Sine Die Adjournment",https://legiscan.com/AR/bill/HB1005/2022/X1,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1005&ddBienniumSession=2021%2F2022S3
1628029,1992,HB1006,6,Failed,2022-08-11,"An Act For The Department Of Education - Division Of Elementary And Secondary Education - Teacher Pay Sustainability Program Appropriation - The Raise Act - &#xd;for The 2022-2023 Fiscal Year.","An Act For The Department Of Education - Division Of Elementary And Secondary Education - Teacher Pay Sustainability Program Appropriation - The Raise Act - &#xd;for The 2022-2023 Fiscal Year.",0,,2022-08-11,"Died in the House at Sine Die Adjournment",https://legiscan.com/AR/bill/HB1006/2022/X1,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1006&ddBienniumSession=2021%2F2022S3
1628035,1992,HB1007,6,Failed,2022-08-11,"To Allow A Student Who Attends A Public School District That Mandates The Use Of Face Masks, Face Shields, Or Other Face Coverings To Transfer To A Public School District Of His Or Her Choice; And To Declare An Emergency.","To Allow A Student Who Attends A Public School District That Mandates The Use Of Face Masks, Face Shields, Or Other Face Coverings To Transfer To A Public School District Of His Or Her Choice; And To Declare An Emergency.",0,,2022-08-11,"Died in the House at Sine Die Adjournment",https://legiscan.com/AR/bill/HB1007/2022/X1,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hb1007&ddBienniumSession=2021%2F2022S3
1627907,1992,HR1001,1,Introduced,2022-08-08,"To Provide For The Sine Die Adjournment Of The Third Extraordinary Session Of The Ninety-third General Assembly Of The State Of Arkansas.","To Provide For The Sine Die Adjournment Of The Third Extraordinary Session Of The Ninety-third General Assembly Of The State Of Arkansas.",0,,2022-08-11,"READ AND ADOPTED.",https://legiscan.com/AR/bill/HR1001/2022/X1,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hr1001&ddBienniumSession=2021%2F2022S3
1627969,1992,HR1002,1,Introduced,2022-08-08,"To Recognize The Jonesboro High School Hurricanes Boys Basketball Team As The 2022 Class 5a State Champions And The Second Consecutive Class 5a State Champions.","To Recognize The Jonesboro High School Hurricanes Boys Basketball Team As The 2022 Class 5a State Champions And The Second Consecutive Class 5a State Champions.",0,,2022-08-10,"READ AND ADOPTED.",https://legiscan.com/AR/bill/HR1002/2022/X1,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hr1002&ddBienniumSession=2021%2F2022S3
1628031,1992,HR1003,6,Failed,2022-08-11,"To Extend The Third Extraordinary Session Of The Ninety-third General Assembly For A Period Not Exceeding Fifteen (15) Days To Create The Raising Arkansas&#x27;s Investment In Schools And Educators (raise) Act. ","To Extend The Third Extraordinary Session Of The Ninety-third General Assembly For A Period Not Exceeding Fifteen (15) Days To Create The Raising Arkansas&#x27;s Investment In Schools And Educators (raise) Act. ",0,,2022-08-11,"Died in the House at Sine Die Adjournment",https://legiscan.com/AR/bill/HR1003/2022/X1,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hr1003&ddBienniumSession=2021%2F2022S3
1628034,1992,HR1004,6,Failed,2022-08-11,"To Extend The Third Extraordinary Session Of The Ninety-third General Assembly To Create The Raising Arkansas&#x27;s Investment In Schools And Educators (raise) Act And To Provide Bonuses To Classified Staff. ","To Extend The Third Extraordinary Session Of The Ninety-third General Assembly To Create The Raising Arkansas&#x27;s Investment In Schools And Educators (raise) Act And To Provide Bonuses To Classified Staff. ",0,,2022-08-11,"Died in the House as Sine Die Adjournment",https://legiscan.com/AR/bill/HR1004/2022/X1,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=hr1004&ddBienniumSession=2021%2F2022S3
1627937,1992,SB1,4,Passed,2022-08-11,"To Reduce Arkansas Income Taxes; To Adopt Federal Law On Depreciation And Expensing Of Property; To Create An Income-tax Credit For Certain Taxpayers; And To Declare An Emergency.","To Reduce Arkansas Income Taxes; To Adopt Federal Law On Depreciation And Expensing Of Property; To Create An Income-tax Credit For Certain Taxpayers; And To Declare An Emergency.",0,,2022-08-11,"Notification that SB1 is now Act 2",https://legiscan.com/AR/bill/SB1/2022/X1,https://www.arkleg.state.ar.us/Bills/Detail?tbType=&id=sb1&ddBienniumSession=2021%2F2022S3
