bill_id,people_id,position
1627902,14938,12
1627902,14942,4
1627902,14954,8
1627902,16924,2
1627902,16925,5
1627902,20762,1
1627902,20768,3
1627902,20770,6
1627902,20772,7
1627902,20776,9
1627902,20779,10
1627902,20781,11
1627907,12110,1
1627923,10657,57
1627923,10662,4
1627923,11363,71
1627923,11366,55
1627923,11831,2
1627923,12020,69
1627923,12101,67
1627923,12110,3
1627923,12186,63
1627923,12468,70
1627923,12483,72
1627923,12719,20
1627923,14588,1
1627923,14932,26
1627923,14940,29
1627923,14946,23
1627923,14953,43
1627923,14959,49
1627923,14968,56
1627923,14972,64
1627923,14973,65
1627923,16334,12
1627923,16336,36
1627923,16337,74
1627923,16338,53
1627923,16339,75
1627923,16352,27
1627923,16381,61
1627923,16900,41
1627923,16902,7
1627923,16907,22
1627923,16911,50
1627923,16915,14
1627923,16918,68
1627923,16919,5
1627923,16922,42
1627923,16923,73
1627923,16926,15
1627923,16963,58
1627923,17040,25
1627923,18009,31
1627923,18014,44
1627923,18015,34
1627923,18016,32
1627923,18017,11
1627923,18018,16
1627923,18019,46
1627923,18020,30
1627923,18025,52
1627923,18683,45
1627923,18684,33
1627923,19943,13
1627923,20017,62
1627923,20405,66
1627923,20763,51
1627923,20764,48
1627923,20765,24
1627923,20767,9
1627923,20769,21
1627923,20780,47
1627923,20782,35
1627923,20783,18
1627923,21628,39
1627923,21699,60
1627923,21766,40
1627923,21768,38
1627923,21894,17
1627923,21895,54
1627923,21978,6
1627923,22171,28
1627923,22172,8
1627923,22202,37
1627923,22203,10
1627923,22205,19
1627923,23105,59
1627937,10657,57
1627937,10662,4
1627937,11363,71
1627937,11366,55
1627937,11831,1
1627937,12020,69
1627937,12101,67
1627937,12110,3
1627937,12186,63
1627937,12468,70
1627937,12483,72
1627937,12719,20
1627937,14588,2
1627937,14932,26
1627937,14940,29
1627937,14946,23
1627937,14953,43
1627937,14959,49
1627937,14968,56
1627937,14972,64
1627937,14973,65
1627937,16334,12
1627937,16336,36
1627937,16337,74
1627937,16338,53
1627937,16339,75
1627937,16352,27
1627937,16381,61
1627937,16900,41
1627937,16902,7
1627937,16907,22
1627937,16911,50
1627937,16915,14
1627937,16918,68
1627937,16919,5
1627937,16922,42
1627937,16923,73
1627937,16926,15
1627937,16963,58
1627937,17040,25
1627937,18009,31
1627937,18014,44
1627937,18015,34
1627937,18016,32
1627937,18017,11
1627937,18018,16
1627937,18019,46
1627937,18020,30
1627937,18025,52
1627937,18683,45
1627937,18684,33
1627937,19943,13
1627937,20017,62
1627937,20405,66
1627937,20763,51
1627937,20764,48
1627937,20765,24
1627937,20767,9
1627937,20769,21
1627937,20780,47
1627937,20782,35
1627937,20783,18
1627937,21628,39
1627937,21699,60
1627937,21766,40
1627937,21768,38
1627937,21894,17
1627937,21895,54
1627937,21978,6
1627937,22171,28
1627937,22172,8
1627937,22202,37
1627937,22203,10
1627937,22205,19
1627937,23105,59
1627953,10657,57
1627953,10662,27
1627953,11360,39
1627953,11366,58
1627953,12101,1
1627953,12108,20
1627953,12110,4
1627953,12186,60
1627953,12578,51
1627953,12719,2
1627953,14588,28
1627953,14932,8
1627953,14942,21
1627953,14943,22
1627953,14973,56
1627953,14974,61
1627953,16334,46
1627953,16335,30
1627953,16336,31
1627953,16337,64
1627953,16338,49
1627953,16352,23
1627953,16381,63
1627953,16907,19
1627953,16911,34
1627953,16915,24
1627953,16916,37
1627953,16919,42
1627953,16922,48
1627953,16926,50
1627953,16963,59
1627953,17040,11
1627953,18006,5
1627953,18008,12
1627953,18009,15
1627953,18014,32
1627953,18015,33
1627953,18016,40
1627953,18017,43
1627953,18018,52
1627953,18019,53
1627953,18020,54
1627953,18683,18
1627953,18684,26
1627953,19943,3
1627953,20405,62
1627953,20742,29
1627953,20764,9
1627953,20765,16
1627953,20766,13
1627953,20767,14
1627953,20769,17
1627953,20780,47
1627953,20781,44
1627953,20782,45
1627953,20783,55
1627953,21628,36
1627953,21766,6
1627953,21894,41
1627953,21978,7
1627953,22171,35
1627953,22202,10
1627953,22203,25
1627953,22205,38
1627969,16334,5
1627969,16335,1
1627969,16338,2
1627969,18008,3
1627969,18017,4
1627989,22206,1
1628022,22206,1
1628025,10661,3
1628025,10674,28
1628025,10772,23
1628025,11148,26
1628025,11360,19
1628025,11693,24
1628025,11991,27
1628025,12235,9
1628025,12236,25
1628025,12464,15
1628025,12470,1
1628025,14942,7
1628025,14947,13
1628025,14954,16
1628025,16912,8
1628025,16917,18
1628025,16924,2
1628025,16925,10
1628025,20762,5
1628025,20768,4
1628025,20770,11
1628025,20772,12
1628025,20776,17
1628025,20779,20
1628025,20781,21
1628025,21594,6
1628025,21629,22
1628025,22204,14
1628026,14973,1
1628026,21699,2
1628027,10661,3
1628027,10674,28
1628027,10772,23
1628027,11148,26
1628027,11360,19
1628027,11693,24
1628027,11991,27
1628027,12235,9
1628027,12236,25
1628027,12464,15
1628027,12470,2
1628027,14942,7
1628027,14947,13
1628027,14954,16
1628027,16912,8
1628027,16917,18
1628027,16924,1
1628027,16925,10
1628027,20762,5
1628027,20768,4
1628027,20770,11
1628027,20772,12
1628027,20776,17
1628027,20779,20
1628027,20781,21
1628027,21594,6
1628027,21629,22
1628027,22204,14
1628029,10661,3
1628029,10674,32
1628029,10772,29
1628029,11148,2
1628029,11360,22
1628029,11686,7
1628029,11693,30
1628029,11991,31
1628029,12235,11
1628029,12464,18
1628029,12470,20
1628029,14938,27
1628029,14942,9
1628029,14947,16
1628029,14954,19
1628029,14965,28
1628029,16912,10
1628029,16917,21
1628029,16924,33
1628029,16925,12
1628029,18012,14
1628029,20762,6
1628029,20764,4
