bill_id,date,chamber,sequence,action
1585246,2022-02-07,Senate,1,Filed
1585246,2022-02-14,Senate,2,"Read first time, rules suspended, read second time, referred to JOINT BUDGET COMMITTEE"
1585246,2022-02-15,Senate,3,"Returned by the Committee, with the recommendation that it Do Pass"
1585246,2022-02-15,Senate,4,"Re-referred to JOINT BUDGET COMMITTEE"
1585246,2022-03-02,Senate,5,"Returned by the Committee with the recommendation that it Do Pass as amended, Amendment # 1"
1585246,2022-03-02,Senate,6,"Rules suspended."
1585246,2022-03-02,Senate,7,"Placed on second reading for purpose of amendment."
1585246,2022-03-02,Senate,8,"Amendment # 1 read the first time, rules suspended, read the second time and adopted, ordered engrossed."
1585246,2022-03-02,Senate,9,"REPORTED CORRECTLY ENGROSSED"
1585246,2022-03-03,Senate,10,"Read the third time and passed."
1585246,2022-03-03,Senate,11,"Ordered immediately transmitted to the House."
1585246,2022-03-03,House,12,"RECEIVED FROM THE SENATE"
1585246,2022-03-03,House,13,"Read the first time, rules suspended, read the second time and placed on the CALENDAR."
1585246,2022-03-07,House,14,"RULES SUSPENDED"
1585246,2022-03-07,House,15,"Considered in the Committee of the Whole, and recommended do pass."
1585246,2022-03-07,House,16,"Read the third time and passed and ordered transmitted to the Senate."
1585246,2022-03-07,House,17,"Returned To Senate as Passed."
1585246,2022-03-07,Senate,18,"Returned from the House as passed."
1585246,2022-03-07,Senate,19,"ORDERED ENROLLED"
1585246,2022-03-07,Senate,20,"Reported correctly enrolled and ordered delivered to the Governor."
1585246,2022-03-07,Senate,21,"DELIVERED TO GOVERNOR."
1585246,2022-03-08,Senate,22,"Notification that SB40 is now Act 208"
1585247,2022-02-08,House,1,Filed
1585247,2022-02-14,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
1585247,2022-02-22,House,3,"Returned by the Committee Do Pass"
1585247,2022-02-23,House,4,"RULES SUSPENDED"
1585247,2022-02-23,House,5,"Considered in the Committee of the Whole, and recommended do pass."
1585247,2022-02-23,House,6,"Read the third time and passed and ordered transmitted to the Senate."
1585247,2022-02-28,Senate,7,"Received from the House."
1585247,2022-02-28,Senate,8,"Read the first time, rules suspended, read the second time and placed on the calendar."
1585247,2022-03-01,Senate,9,"Read the third time and passed."
1585247,2022-03-01,Senate,10,"Returned to the House as Passed."
1585247,2022-03-01,House,11,"Returned From the Senate as passed."
1585247,2022-03-01,House,12,"TO BE ENROLLED"
1585247,2022-03-02,House,13,"Correctly enrolled and ordered transmitted to the Governor's Office."
1585247,2022-03-03,House,14,"Notification that HB1068 is now Act 119"
1585248,2022-02-08,House,1,Filed
1585248,2022-02-14,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
1585248,2022-03-02,House,3,"Returned by the Committee Do Pass"
1585248,2022-03-02,House,4,"RULES SUSPENDED"
1585248,2022-03-02,House,5,"Considered in the Committee of the Whole, and recommended do pass."
1585248,2022-03-02,House,6,"Read the third time and passed and ordered transmitted to the Senate."
1585248,2022-03-02,Senate,7,"Received from the House."
1585248,2022-03-02,Senate,8,"Read the first time, rules suspended, read the second time and placed on the calendar."
1585248,2022-03-03,Senate,9,"Read the third time and passed."
1585248,2022-03-03,Senate,10,"Returned to the House as Passed."
1585248,2022-03-03,House,11,"Returned From the Senate as passed."
1585248,2022-03-03,House,12,"TO BE ENROLLED"
1585248,2022-03-03,House,13,"Correctly enrolled and ordered transmitted to the Governor's Office."
1585248,2022-03-07,House,14,"Notification that HB1075 is now Act 149"
1585249,2022-02-07,House,1,Filed
1585249,2022-02-14,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
1585249,2022-02-15,House,3,"Returned by the Committee Do Pass"
1585249,2022-02-16,House,4,"RULES SUSPENDED"
1585249,2022-02-16,House,5,"Considered in the Committee of the Whole, and recommended do pass."
1585249,2022-02-16,House,6,"Read the third time and passed and ordered transmitted to the Senate."
1585249,2022-02-16,Senate,7,"Received from the House."
1585249,2022-02-16,Senate,8,"Read the first time, rules suspended, read the second time and placed on the calendar."
1585249,2022-02-17,Senate,9,"Read the third time and passed."
1585249,2022-02-17,Senate,10,"Returned to the House as Passed."
1585249,2022-02-17,House,11,"TO BE ENROLLED"
1585249,2022-02-18,House,12,"Correctly enrolled and ordered transmitted to the Governor's Office."
1585249,2022-02-23,House,13,"Notification that HB1006 is now Act 35"
1585250,2022-02-08,House,1,Filed
1585250,2022-02-14,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
1585250,2022-03-02,House,3,"Returned by the Committee Do Pass"
1585250,2022-03-02,House,4,"RULES SUSPENDED"
1585250,2022-03-02,House,5,"Considered in the Committee of the Whole, and recommended do pass."
1585250,2022-03-02,House,6,"Read the third time and passed and ordered transmitted to the Senate."
1585250,2022-03-02,Senate,7,"Received from the House."
1585250,2022-03-02,Senate,8,"Read the first time, rules suspended, read the second time and placed on the calendar."
1585250,2022-03-03,Senate,9,"Read the third time and passed."
1585250,2022-03-03,Senate,10,"Returned to the House as Passed."
1585250,2022-03-03,House,11,"Returned From the Senate as passed."
1585250,2022-03-03,House,12,"TO BE ENROLLED"
1585250,2022-03-03,House,13,"Correctly enrolled and ordered transmitted to the Governor's Office."
1585250,2022-03-07,House,14,"Notification that HB1072 is now Act 148"
1585251,2022-02-07,Senate,1,Filed
1585251,2022-02-14,Senate,2,"Read first time, rules suspended, read second time, referred to JOINT BUDGET COMMITTEE"
1585251,2022-02-15,Senate,3,"Returned by the Committee, with the recommendation that it Do Pass"
1585251,2022-02-16,Senate,4,"Read the third time and passed."
1585251,2022-02-16,Senate,5,"Ordered Immediately transmitted to the House."
1585251,2022-02-16,House,6,"RECEIVED FROM THE SENATE"
1585251,2022-02-16,House,7,"Read the first time, rules suspended, read the second time and placed on the CALENDAR."
1585251,2022-02-17,House,8,"RULES SUSPENDED"
1585251,2022-02-17,House,9,"Considered in the Committee of the Whole, and recommended do pass."
1585251,2022-02-17,House,10,"Read the third time and passed and ordered transmitted to the Senate."
1585251,2022-02-17,House,11,"Returned To Senate as Passed."
1585251,2022-02-17,Senate,12,"Returned from the House as passed."
1585251,2022-02-17,Senate,13,"ORDERED ENROLLED"
1585251,2022-02-17,Senate,14,"Reported correctly enrolled and ordered delivered to the Governor."
1585251,2022-02-17,Senate,15,"DELIVERED TO GOVERNOR."
1585251,2022-02-23,Senate,16,"Notification that SB22 is now Act 14"
1585252,2022-02-07,Senate,1,Filed
1585252,2022-02-14,Senate,2,"Read first time, rules suspended, read second time, referred to JOINT BUDGET COMMITTEE"
1585252,2022-02-15,Senate,3,"Returned by the Committee, with the recommendation that it Do Pass"
1585252,2022-02-16,Senate,4,"Read the third time and passed."
1585252,2022-02-16,Senate,5,"Ordered Immediately transmitted to the House."
1585252,2022-02-16,House,6,"RECEIVED FROM THE SENATE"
1585252,2022-02-16,House,7,"Read the first time, rules suspended, read the second time and placed on the CALENDAR."
1585252,2022-02-17,House,8,"RULES SUSPENDED"
1585252,2022-02-17,House,9,"Considered in the Committee of the Whole, and recommended do pass."
1585252,2022-02-17,House,10,"Read the third time and passed and ordered transmitted to the Senate."
1585252,2022-02-17,House,11,"Returned To Senate as Passed."
1585252,2022-02-17,Senate,12,"Returned from the House as passed."
1585252,2022-02-17,Senate,13,"ORDERED ENROLLED"
1585252,2022-02-17,Senate,14,"Reported correctly enrolled and ordered delivered to the Governor."
1585252,2022-02-17,Senate,15,"DELIVERED TO GOVERNOR."
1585252,2022-02-23,Senate,16,"Notification that SB14 is now Act 11"
1585253,2022-02-07,House,1,Filed
1585253,2022-02-14,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
1585253,2022-02-14,House,3,"Returned by the Committee Do Pass"
1585253,2022-02-15,House,4,"Read the third time and passed and ordered transmitted to the Senate."
1585253,2022-02-15,Senate,5,"Received from the House."
1585253,2022-02-15,Senate,6,"Read the first time, rules suspended, read the second time and placed on the calendar."
1585253,2022-02-16,Senate,7,"Read the third time and passed."
1585253,2022-02-16,Senate,8,"Returned to the House as passed."
1585253,2022-02-16,House,9,"Returned From the Senate as passed."
1585253,2022-02-16,House,10,"TO BE ENROLLED"
1585253,2022-02-16,House,11,"Correctly enrolled and ordered transmitted to the Governor's Office."
1585253,2022-02-17,House,12,"Notification that HB1013 is now Act 1"
1585254,2022-02-07,Senate,1,Filed
1585254,2022-02-14,Senate,2,"Read first time, rules suspended, read second time, referred to JOINT BUDGET COMMITTEE"
1585254,2022-02-15,Senate,3,"Returned by the Committee, with the recommendation that it Do Pass"
1585254,2022-02-16,Senate,4,"Read the third time and passed."
1585254,2022-02-16,Senate,5,"Ordered Immediately transmitted to the House."
1585254,2022-02-16,House,6,"RECEIVED FROM THE SENATE"
1585254,2022-02-16,House,7,"Read the first time, rules suspended, read the second time and placed on the CALENDAR."
1585254,2022-02-17,House,8,"RULES SUSPENDED"
1585254,2022-02-17,House,9,"Considered in the Committee of the Whole, and recommended do pass."
1585254,2022-02-17,House,10,"Read the third time and passed and ordered transmitted to the Senate."
1585254,2022-02-17,House,11,"Returned To Senate as Passed."
1585254,2022-02-17,Senate,12,"Returned from the House as passed."
1585254,2022-02-17,Senate,13,"ORDERED ENROLLED"
1585254,2022-02-17,Senate,14,"Reported correctly enrolled and ordered delivered to the Governor."
1585254,2022-02-17,Senate,15,"DELIVERED TO GOVERNOR."
1585254,2022-02-23,Senate,16,"Notification that SB27 is now Act 16"
1585255,2022-02-07,House,1,Filed
1585255,2022-02-14,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
1585255,2022-02-15,House,3,"Returned by the Committee Do Pass"
1585255,2022-02-16,House,4,"RULES SUSPENDED"
1585255,2022-02-16,House,5,"Considered in the Committee of the Whole, and recommended do pass."
1585255,2022-02-16,House,6,"Read the third time and passed and ordered transmitted to the Senate."
1585255,2022-02-16,Senate,7,"Received from the House."
1585255,2022-02-16,Senate,8,"Read the first time, rules suspended, read the second time and placed on the calendar."
1585255,2022-02-17,Senate,9,"Read the third time and passed."
1585255,2022-02-17,Senate,10,"Returned to the House as Passed."
1585255,2022-02-17,House,11,"TO BE ENROLLED"
1585255,2022-02-18,House,12,"Correctly enrolled and ordered transmitted to the Governor's Office."
1585255,2022-02-23,House,13,"Notification that HB1042 is now Act 59"
1585256,2022-02-07,Senate,1,Filed
1585256,2022-02-14,Senate,2,"Read first time, rules suspended, read second time, referred to JOINT BUDGET COMMITTEE"
1585256,2022-03-01,Senate,3,"Withdrawn from Committee for purpose of amendment # 1"
1585256,2022-03-01,Senate,4,"Placed on second reading for purpose of amendment."
1585256,2022-03-01,Senate,5,"Amendment # 1 read the first time, rules suspended, read the second time and adopted, ordered engrossed."
1585256,2022-03-01,Senate,6,"REPORTED CORRECTLY ENGROSSED"
1585256,2022-03-01,Senate,7,"Re-referred to JOINT BUDGET COMMITTEE"
1585256,2022-03-02,Senate,8,"Returned by the Committee, with the recommendation that it Do Pass"
1585256,2022-03-02,Senate,9,"Rules suspended."
1585256,2022-03-02,Senate,10,"Read the third time and passed."
1585256,2022-03-02,Senate,11,"Ordered Immediately transmitted to the House."
1585256,2022-03-02,House,12,"RECEIVED FROM THE SENATE"
1585256,2022-03-02,House,13,"Read the first time, rules suspended, read the second time and placed on the CALENDAR."
1585256,2022-03-03,House,14,"RULES SUSPENDED"
1585256,2022-03-03,House,15,"Considered in the Committee of the Whole, and recommended do pass."
1585256,2022-03-03,House,16,"Read the third time and passed and ordered transmitted to the Senate."
1585256,2022-03-03,House,17,"Returned To Senate as Passed."
1585256,2022-03-03,Senate,18,"Returned from the House as passed."
1585256,2022-03-03,Senate,19,"ORDERED ENROLLED"
1585256,2022-03-03,Senate,20,"Reported correctly enrolled and ordered delivered to the Governor."
1585256,2022-03-03,Senate,21,"DELIVERED TO GOVERNOR."
1585256,2022-03-08,Senate,22,"Notification that SB20 is now Act 171"
1585257,2022-02-07,House,1,Filed
1585257,2022-02-14,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on JOINT BUDGET COMMITTEE"
1585257,2022-02-15,House,3,"Returned by the Committee Do Pass"
1585257,2022-02-16,House,4,"RULES SUSPENDED"
1585257,2022-02-16,House,5,"Considered in the Committee of the Whole, and recommended do pass."
1585257,2022-02-16,House,6,"Read the third time and passed and ordered transmitted to the Senate."
1585257,2022-02-16,Senate,7,"Received from the House."
1585257,2022-02-16,Senate,8,"Read the first time, rules suspended, read the second time and placed on the calendar."
1585257,2022-02-17,Senate,9,"Read the third time and passed."
1585257,2022-02-17,Senate,10,"Returned to the House as Passed."
1585257,2022-02-17,House,11,"TO BE ENROLLED"
1585257,2022-02-18,House,12,"Correctly enrolled and ordered transmitted to the Governor's Office."
1585257,2022-02-23,House,13,"Notification that HB1044 is now Act 60"
1585258,2022-02-08,Senate,1,Filed
1585258,2022-02-14,Senate,2,"Read first time, rules suspended, read second time, referred to JOINT BUDGET COMMITTEE"
1585258,2022-03-02,Senate,3,"Returned by the Committee with the recommendation that it Do Pass as amended, Amendment # 1"
1585258,2022-03-02,Senate,4,"Rules suspended."
1585258,2022-03-02,Senate,5,"Placed on second reading for purpose of amendment."
1585258,2022-03-02,Senate,6,"Amendment # 1 read the first time, rules suspended, read the second time and adopted, ordered engrossed."
1585258,2022-03-02,Senate,7,"REPORTED CORRECTLY ENGROSSED"
1585258,2022-03-03,Senate,8,"Read the third time and passed."
1585258,2022-03-03,Senate,9,"Ordered Immediately transmitted to the House."
