bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1642152,2622674,text,226789,application/pdf,Draft,https://legiscan.com/AR/text/HB1001/id/2622674,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1001.pdf
1642152,2677513,text,227127,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1001/id/2677513,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023R%2FPublic%2F&file=6.pdf&ddBienniumSession=2023%2F2023R
1633695,2622673,text,222370,application/pdf,Draft,https://legiscan.com/AR/text/HB1002/id/2622673,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1002.pdf
1633696,2622628,text,260193,application/pdf,Draft,https://legiscan.com/AR/text/HB1003/id/2622628,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1003.pdf
1633696,2742122,text,343117,application/pdf,Draft,https://legiscan.com/AR/text/HB1003/id/2742122,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1003%2FHB1003031320230943.pdf
1633697,2622638,text,234468,application/pdf,Draft,https://legiscan.com/AR/text/HB1004/id/2622638,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1004.pdf
1633697,2630996,text,331866,application/pdf,Draft,https://legiscan.com/AR/text/HB1004/id/2630996,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1004%2FHB1004011020230953.pdf
1633697,2657655,text,331316,application/pdf,Draft,https://legiscan.com/AR/text/HB1004/id/2657655,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1004%2FHB1004012320231004.pdf
1633697,2657657,text,331318,application/pdf,Draft,https://legiscan.com/AR/text/HB1004/id/2657657,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1004%2FHB1004012320231037.pdf
1633697,2668868,text,331708,application/pdf,Draft,https://legiscan.com/AR/text/HB1004/id/2668868,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1004%2FHB1004013020230934.pdf
1633697,2697319,text,333724,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1004/id/2697319,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023R%2FPublic%2F&file=37.pdf&ddBienniumSession=2023%2F2023R
1633839,2622679,text,229194,application/pdf,Draft,https://legiscan.com/AR/text/HB1005/id/2622679,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1005.pdf
1633839,2741373,text,227317,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1005/id/2741373,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023R%2FPublic%2F&file=239.pdf&ddBienniumSession=2023%2F2023R
1633843,2622636,text,223712,application/pdf,Draft,https://legiscan.com/AR/text/HB1006/id/2622636,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1006.pdf
1633843,2650529,text,314395,application/pdf,Draft,https://legiscan.com/AR/text/HB1006/id/2650529,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1006%2FHB1006011920230854.pdf
1633843,2672009,text,314234,application/pdf,Draft,https://legiscan.com/AR/text/HB1006/id/2672009,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1006%2FHB1006013120230935.pdf
1633838,2622619,text,248464,application/pdf,Draft,https://legiscan.com/AR/text/HB1007/id/2622619,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1007.pdf
1633838,2696922,text,323285,application/pdf,Draft,https://legiscan.com/AR/text/HB1007/id/2696922,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1007%2FHB1007021420231032.pdf
1633838,2733135,text,324010,application/pdf,Draft,https://legiscan.com/AR/text/HB1007/id/2733135,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1007%2FHB1007030820231003.pdf
1633838,2756952,text,325502,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1007/id/2756952,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023R%2FPublic%2F&file=314.pdf&ddBienniumSession=2023%2F2023R
1633844,2622613,text,230852,application/pdf,Draft,https://legiscan.com/AR/text/HB1008/id/2622613,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1008.pdf
1633844,2749329,text,311623,application/pdf,Draft,https://legiscan.com/AR/text/HB1008/id/2749329,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1008%2FHB1008031520231629.pdf
1633844,2769187,text,313150,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1008/id/2769187,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023R%2FPublic%2F&file=393.pdf&ddBienniumSession=2023%2F2023R
1633842,2622645,text,231005,application/pdf,Draft,https://legiscan.com/AR/text/HB1009/id/2622645,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1009.pdf
1633842,2657494,text,235261,application/pdf,Draft,https://legiscan.com/AR/text/HB1009/id/2657494,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1009%2FHB1009012320230943.pdf
1633842,2777081,text,237695,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1009/id/2777081,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023R%2FPublic%2F&file=484.pdf&ddBienniumSession=2023%2F2023R
1633841,2622667,text,222286,application/pdf,Draft,https://legiscan.com/AR/text/HB1010/id/2622667,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1010.pdf
1633845,2622640,text,222088,application/pdf,Draft,https://legiscan.com/AR/text/HB1011/id/2622640,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1011.pdf
1633845,2781726,text,220221,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1011/id/2781726,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023R%2FPublic%2F&file=562.pdf&ddBienniumSession=2023%2F2023R
1634097,2622621,text,229434,application/pdf,Draft,https://legiscan.com/AR/text/HB1012/id/2622621,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1012.pdf
1634124,2622616,text,288717,application/pdf,Draft,https://legiscan.com/AR/text/HB1013/id/2622616,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1013.pdf
1634124,2682995,text,402678,application/pdf,Draft,https://legiscan.com/AR/text/HB1013/id/2682995,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1013%2FHB1013020620230923.pdf
1634124,2749525,text,403277,application/pdf,Draft,https://legiscan.com/AR/text/HB1013/id/2749525,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1013%2FHB1013031620230957.pdf
1634124,2760315,text,403659,application/pdf,Draft,https://legiscan.com/AR/text/HB1013/id/2760315,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1013%2FHB1013032720231106.pdf
1634124,2769134,text,361722,application/pdf,Draft,https://legiscan.com/AR/text/HB1013/id/2769134,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1013%2FHB1013040320231245.pdf
1634511,2622675,text,242076,application/pdf,Draft,https://legiscan.com/AR/text/HB1014/id/2622675,https://www.arkleg.state.ar.us/Bills/FTPDocument?path=%2FBills%2F2023R%2FPublic%2FHB1014.pdf
