bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1633697,1239535,2023-02-01,House,"Third Reading",84,9,7,0,100
1633697,1244300,2023-02-07,Senate,"Third Reading",35,0,0,0,35
1633838,1271768,2023-03-09,House,"Third Reading",95,0,5,0,100
1633838,1277280,2023-03-16,Senate,"Third Reading",35,0,0,0,35
1633839,1246895,2023-02-09,House,"Third Reading",99,0,1,0,100
1633839,1269709,2023-03-06,Senate,"Third Reading",34,0,0,1,35
1633842,1291076,2023-02-06,House,"Third Reading",95,0,5,0,100
1633842,1293142,2023-04-04,Senate,"Third Reading",33,0,1,1,35
1633843,1248831,2023-02-13,House,"Third Reading",80,12,8,0,100
1633844,1271592,2023-03-08,House,"Third Reading",94,0,6,0,100
1633844,1277600,2023-03-16,Senate,"Third Reading",35,0,0,0,35
1633844,1285496,2023-03-27,House,"Senate amendment # 1 read and concurred in.",93,0,7,0,100
1633845,1287558,2023-03-29,House,"Third Reading",89,1,10,0,100
1633845,1295219,2023-04-06,Senate,"Third Reading",32,0,1,2,35
1634124,1292587,2023-04-04,House,"Third Reading",85,7,8,0,100
1634511,1233250,2023-01-19,House,"Third Reading",44,36,20,0,100
1634511,1236138,2023-01-26,House,"Third Reading",84,11,5,0,100
1634511,1239561,2023-02-01,Senate,"Third Reading",28,4,0,3,35
1635264,1235476,2023-01-25,House,"Third Reading",98,0,2,0,100
1635264,1243165,2023-02-06,Senate,"Third Reading",33,0,0,2,35
1635313,1232653,2023-01-18,House,"Third Reading",71,9,20,0,100
1635313,1252970,2023-02-16,Senate,"Third Reading",34,0,0,1,35
1635313,1262237,2023-02-27,House,"Senate amendment # 1 read and concurred in.",91,0,9,0,100
1635315,1234114,2023-01-23,House,"Third Reading",96,0,4,0,100
1635315,1236139,2023-01-26,Senate,"Third Reading",35,0,0,0,35
1635318,1238584,2023-01-31,House,"Third Reading",79,10,11,0,100
1635318,1246698,2023-02-09,Senate,"Third Reading",27,6,1,1,35
1635452,1233267,2023-01-19,House,"Third Reading",87,6,7,0,100
1635452,1239581,2023-02-01,Senate,"Third Reading",24,2,6,3,35
1635592,1233227,2023-01-19,House,"Third Reading",93,2,5,0,100
1635592,1235466,2023-01-25,Senate,"Third Reading",35,0,0,0,35
1635797,1268870,2023-03-06,House,"Third Reading",97,0,3,0,100
1635797,1294367,2023-04-05,Senate,"Third Reading",32,0,0,3,35
1635797,1295305,2023-04-06,House,"Senate amendment # 1 read and concurred in.",94,0,6,0,100
1635938,1255865,2023-02-20,House,"Third Reading",65,13,22,0,100
1635938,1265182,2023-03-01,Senate,"Third Reading",22,4,9,0,35
1636375,1252023,2023-02-15,House,"Third Reading",96,0,4,0,100
1636375,1267354,2023-03-02,Senate,"Third Reading",31,0,3,1,35
1636645,1233276,2023-01-19,House,"Third Reading",96,0,4,0,100
