bill_id,people_id,position
1633694,18012,2
1633694,21699,1
1633695,18012,1
1633695,21699,2
1633696,16911,1
1633696,17040,7
1633696,18014,5
1633696,20770,2
1633696,20783,4
1633696,22203,3
1633696,24175,6
1633697,14940,18
1633697,14943,6
1633697,16336,15
1633697,18012,7
1633697,18019,13
1633697,18684,9
1633697,20017,2
1633697,20764,8
1633697,20838,17
1633697,21699,16
1633697,21767,10
1633697,21768,5
1633697,21894,1
1633697,22171,14
1633697,22205,3
1633697,23377,4
1633697,23981,11
1633697,23985,12
1633838,18016,1
1633838,18685,2
1633839,18016,1
1633841,18016,1
1633842,18016,1
1633843,12186,2
1633843,18016,1
1633843,18020,4
1633843,22205,5
1633843,23985,6
1633843,24172,3
1633844,18016,1
1633844,20838,2
1633845,18016,1
1633856,10657,1
1634097,21894,1
1634124,10661,3
1634124,11991,21
1634124,12101,20
1634124,12470,23
1634124,12483,2
1634124,14966,17
1634124,14968,16
1634124,14972,19
1634124,16338,12
1634124,16912,6
1634124,16917,9
1634124,16925,1
1634124,16926,13
1634124,18019,14
1634124,20742,15
1634124,20769,4
1634124,20779,10
1634124,20781,11
1634124,21699,18
1634124,22204,7
1634124,22205,8
1634124,23201,22
1634124,23947,5
1634511,12186,2
1634511,18019,1
1635264,16352,3
1635264,16900,4
1635264,21628,1
1635264,23201,2
1635277,11831,2
1635277,21894,1
1635307,12483,1
1635307,21978,2
1635313,10667,1
1635313,16381,2
1635315,21978,1
1635315,22169,2
1635318,14959,2
1635318,21894,1
1635452,21894,1
1635452,23201,2
1635523,20017,2
1635523,21894,1
1635592,16963,2
1635592,18010,1
1635592,23981,3
1635660,18015,1
1635797,18015,1
1635797,18685,2
1635869,16926,2
1635869,18015,1
1635938,16902,2
1635938,18015,1
1636375,20017,2
1636375,21894,1
1636645,14943,1
1636645,23293,2
1636875,10657,2
1636875,10667,1
1636929,10667,1
1638453,12186,2
1638453,16352,1
1638600,10657,39
1638600,10772,35
1638600,11831,38
1638600,11991,48
1638600,12101,45
1638600,12108,8
1638600,12110,27
1638600,12186,42
1638600,12236,41
1638600,12464,49
1638600,12468,54
1638600,12470,50
1638600,12483,56
1638600,12578,30
1638600,12719,7
1638600,14943,11
1638600,14948,15
1638600,14955,19
1638600,14959,51
1638600,14966,36
1638600,14968,34
1638600,14972,43
1638600,14973,2
1638600,16336,17
1638600,16337,57
1638600,16338,29
1638600,16339,59
1638600,16352,1
1638600,16380,14
1638600,16381,46
1638600,16898,3
1638600,16900,4
1638600,16902,32
1638600,16912,10
1638600,16916,20
1638600,16917,21
1638600,16924,58
1638600,16925,12
1638600,16963,40
1638600,17040,6
1638600,18010,13
1638600,18014,18
1638600,18017,25
1638600,18018,31
1638600,18684,16
1638600,18685,52
1638600,19943,9
1638600,20017,47
1638600,20405,44
1638600,20781,26
1638600,21629,28
1638600,21894,22
1638600,22169,33
1638600,22202,5
1638600,23293,53
1638600,23946,37
1638600,23991,23
1638600,24176,24
1638600,24309,55
1638672,16926,1
1638840,18016,1
1638874,12101,2
1638874,18016,1
1638910,18016,1
1638977,18016,1
1639009,12186,2
1639009,16335,1
1639009,16336,5
1639009,16926,3
1639009,18017,7
1639009,20742,4
1639009,21628,6
1639009,23640,10
1639009,23985,8
1639009,24170,9
1639150,23377,1
1639228,14940,2
1639228,21894,1
1639236,19943,2
1639236,20405,1
1639248,14940,2
1639248,21894,1
1639295,16926,2
1639295,20405,1
1639311,14940,9
1639311,14959,10
1639311,16900,5
1639311,16909,1
1639311,16926,4
1639311,18015,7
1639311,18016,3
1639311,21978,6
1639311,23946,2
1639311,24178,8
1639322,18017,1
1639599,12159,1
1639761,10661,1
1639761,16339,2
1639761,16912,3
1639761,16917,4
1639761,17040,9
1639761,18683,6
1639761,20742,7
1639761,20779,5
1639761,20783,8
1640043,12483,2
1640043,21978,1
1640160,10662,34
1640160,10667,45
1640160,12108,21
1640160,12110,57
1640160,12578,64
1640160,12719,16
1640160,14943,23
1640160,14948,32
1640160,14957,46
1640160,14965,67
1640160,14972,69
1640160,16335,36
1640160,16336,38
1640160,16338,59
1640160,16352,24
1640160,16380,31
1640160,16381,71
1640160,16898,7
1640160,16900,8
1640160,16907,20
1640160,16919,54
1640160,16926,62
1640160,17040,11
1640160,18006,6
1640160,18008,14
1640160,18010,25
1640160,18012,27
1640160,18014,39
1640160,18015,40
1640160,18016,51
1640160,18017,56
1640160,18018,65
1640160,18019,66
1640160,18025,43
1640160,18683,18
1640160,18684,33
1640160,19943,22
1640160,20405,70
1640160,20742,35
1640160,20765,15
1640160,20769,17
1640160,20783,68
1640160,21699,2
1640160,21766,1
1640160,21767,26
1640160,21768,60
1640160,21894,3
1640160,21978,9
1640160,22171,42
1640160,22202,10
1640160,22203,29
1640160,22205,47
1640160,23377,30
1640160,23640,5
1640160,23884,12
1640160,23887,28
1640160,23888,41
1640160,23947,19
1640160,23981,50
1640160,23985,61
1640160,23990,37
1640160,23991,53
1640160,24170,4
1640160,24171,48
1640160,24172,13
1640160,24175,52
1640160,24176,55
1640160,24178,58
1640160,24181,49
1640160,24372,44
1640160,24615,63
1640165,21766,1
1640168,12108,1
1640168,20405,2
1641434,16911,3
1641434,18015,10
1641434,18025,11
1641434,21594,7
1641434,21766,5
1641434,21894,1
1641434,22170,2
1641434,22204,9
1641434,23887,8
1641434,24170,4
1641434,24173,6
1641980,12159,1
1641985,8610,1
1642001,10667,1
1642018,8610,1
1642049,10667,1
1642065,10667,3
1642065,20017,2
1642065,23990,1
1642065,24173,4
1642083,8610,1
1642099,8610,1
1642118,8610,1
1642134,8610,1
1642152,17436,1
1642184,8610,1
1642199,8610,1
1642216,8610,1
1642391,8610,1
1642438,8610,1
1642527,12110,1
1642527,14972,2
1642572,12110,1
1642572,14972,2
1642764,8610,1
1642775,8610,1
1642785,8610,1
1642795,8610,1
1642807,8610,1
1642817,8610,1
1642829,8610,1
1642841,8610,1
1642851,8610,1
1642862,8610,1
1642873,8610,1
1642884,8610,1
1642897,8610,1
1642908,8610,1
1642919,8610,1
1642929,8610,1
1642940,8610,1
1642956,8610,1
1642966,8610,1
1642977,8610,1
1642987,8610,1
1642998,8610,1
1643009,8610,1
1643022,8610,1
1643033,8610,1
1643044,23640,1
1643044,24309,2
1643064,8610,1
1643076,8610,1
1643088,8610,1
1643098,8610,1
1643110,8610,1
1643130,8610,1
1643627,8610,1
1643734,12101,3
1643734,16335,1
1643734,16339,2
1643869,16963,2
1643869,18016,1
1643894,8610,1
1643916,8610,1
1643942,8610,1
1643966,8610,1
1644015,8610,1
1644042,8610,1
1644091,8610,1
1644114,8610,1
1644158,8610,1
1644233,12110,1
1644268,8610,1
1644306,8610,1
1644341,8610,1
1644739,8610,1
1644907,8610,1
1644991,8610,1
1645076,8610,1
1645161,8610,1
1645243,8610,1
1645316,21699,2
1645316,21978,1
1645387,21978,1
1645387,22169,2
1645455,20405,2
1645455,21978,1
1645526,21978,1
1645869,14943,1
1645869,23293,2
1646013,8619,1
1646160,14940,1
1646361,18019,1
1646361,23946,2
1646404,16902,1
1646404,20742,3
1646404,23887,2
1646447,8610,1
1646493,10662,14
1646493,12101,20
1646493,12108,3
1646493,12110,16
1646493,12578,2
1646493,12719,11
1646493,14940,23
1646493,14972,19
