bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1777511,2841476,text,247914,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1002/id/2841476,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=3.pdf&ddBienniumSession=2023%2F2023S1
1777511,2841563,text,247913,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1002/id/2841563,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=10.pdf&ddBienniumSession=2023%2F2023S1
1777517,2841466,text,310691,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1004/id/2841466,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=5.pdf&ddBienniumSession=2023%2F2023S1
1777517,2841556,text,310691,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1004/id/2841556,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=1.pdf&ddBienniumSession=2023%2F2023S1
1777513,2841468,text,232066,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1005/id/2841468,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=2.pdf&ddBienniumSession=2023%2F2023S1
1777513,2841557,text,232065,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1005/id/2841557,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=9.pdf&ddBienniumSession=2023%2F2023S1
1777507,2841467,text,231875,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1006/id/2841467,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=1.pdf&ddBienniumSession=2023%2F2023S1
1777507,2841558,text,231876,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1006/id/2841558,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=8.pdf&ddBienniumSession=2023%2F2023S1
1777518,2841479,text,310504,application/pdf,Chaptered,https://legiscan.com/AR/text/SB1/id/2841479,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=4.pdf&ddBienniumSession=2023%2F2023S1
1777518,2841565,text,310918,application/pdf,Chaptered,https://legiscan.com/AR/text/SB1/id/2841565,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=11.pdf&ddBienniumSession=2023%2F2023S1
1777512,2841570,text,246809,application/pdf,Chaptered,https://legiscan.com/AR/text/SB3/id/2841570,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=4.pdf&ddBienniumSession=2023%2F2023S1
1777519,2841478,text,230452,application/pdf,Chaptered,https://legiscan.com/AR/text/SB4/id/2841478,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=7.pdf&ddBienniumSession=2023%2F2023S1
1777519,2841564,text,230452,application/pdf,Chaptered,https://legiscan.com/AR/text/SB4/id/2841564,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=3.pdf&ddBienniumSession=2023%2F2023S1
1777514,2841480,text,240424,application/pdf,Chaptered,https://legiscan.com/AR/text/SB5/id/2841480,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=9.pdf&ddBienniumSession=2023%2F2023S1
1777514,2841954,text,240986,application/pdf,Chaptered,https://legiscan.com/AR/text/SB5/id/2841954,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=5.pdf&ddBienniumSession=2023%2F2023S1
1777510,2841587,text,231747,application/pdf,Chaptered,https://legiscan.com/AR/text/SB6/id/2841587,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=2.pdf&ddBienniumSession=2023%2F2023S1
1777562,2841475,text,345127,application/pdf,Chaptered,https://legiscan.com/AR/text/SB8/id/2841475,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=10.pdf&ddBienniumSession=2023%2F2023S1
1777562,2841561,text,345478,application/pdf,Chaptered,https://legiscan.com/AR/text/SB8/id/2841561,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=6.pdf&ddBienniumSession=2023%2F2023S1
1777630,2841567,text,240840,application/pdf,Chaptered,https://legiscan.com/AR/text/SB10/id/2841567,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2023S1%2FPublic%2F&file=7.pdf&ddBienniumSession=2023%2F2023S1
