bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1882840,2146,HB1001,4,Passed,2024-06-19,"To Reduce The Income Tax Levied On Individuals, Trusts, Estates, And Corporations; To Transfer Surplus Funds To The Arkansas Reserve Fund Set-aside; And To Declare An Emergency.","To Reduce The Income Tax Levied On Individuals, Trusts, Estates, And Corporations; To Transfer Surplus Funds To The Arkansas Reserve Fund Set-aside; And To Declare An Emergency.",0,,2024-06-19,"Notification that HB1001 is now Act 4",https://legiscan.com/AR/bill/HB1001/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=hb1001&ddBienniumSession=2023%2F2024S2
1882826,2146,HB1002,4,Passed,2024-06-19,"To Increase The Homestead Property Tax Credit; And To Require A Report Concerning The Homestead Property Tax Credit And The Balance Of The Property Tax Relief Trust Fund.","To Increase The Homestead Property Tax Credit; And To Require A Report Concerning The Homestead Property Tax Credit And The Balance Of The Property Tax Relief Trust Fund.",0,,2024-06-19,"Notification that HB1002 is now Act 3",https://legiscan.com/AR/bill/HB1002/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=hb1002&ddBienniumSession=2023%2F2024S2
1882836,2146,HR1001,4,Passed,2024-06-19,"To Recognize And Congratulate The Valley View High School Blazers Baseball Team On Its Class 5a State Championship.","To Recognize And Congratulate The Valley View High School Blazers Baseball Team On Its Class 5a State Championship.",0,,2024-06-19,"READ AND ADOPTED.",https://legiscan.com/AR/bill/HR1001/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=hr1001&ddBienniumSession=2023%2F2024S2
1882802,2146,HR1002,4,Passed,2024-06-19,"To Recognize The Farmington High School Lady Cardinals As The 2024 Class 4a Girls Softball State Champions.","To Recognize The Farmington High School Lady Cardinals As The 2024 Class 4a Girls Softball State Champions.",0,,2024-06-19,"READ AND ADOPTED.",https://legiscan.com/AR/bill/HR1002/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=hr1002&ddBienniumSession=2023%2F2024S2
1882870,2146,HR1003,4,Passed,2024-06-19,"To Oppose The Arkansas Abortion Amendment Of 2024 And Encourage All Registered Voters To Vote Against The Arkansas Abortion Amendment Of 2024.","To Oppose The Arkansas Abortion Amendment Of 2024 And Encourage All Registered Voters To Vote Against The Arkansas Abortion Amendment Of 2024.",0,,2024-06-19,"READ AND ADOPTED.",https://legiscan.com/AR/bill/HR1003/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=hr1003&ddBienniumSession=2023%2F2024S2
1882861,2146,HR1004,4,Passed,2024-06-19,"To Recognize Colonel Womack And His Positive Impact On The State Of Arkansas And Especially The Northwest Arkansas Region Through Kurm Radio In Rogers. ","To Recognize Colonel Womack And His Positive Impact On The State Of Arkansas And Especially The Northwest Arkansas Region Through Kurm Radio In Rogers. ",0,,2024-06-19,"READ AND ADOPTED.",https://legiscan.com/AR/bill/HR1004/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=hr1004&ddBienniumSession=2023%2F2024S2
1882850,2146,HR1005,4,Passed,2024-06-19,"To Recognize The Clarksville High School Panthers As The 2024 Class 4a Boys Soccer State Champions.","To Recognize The Clarksville High School Panthers As The 2024 Class 4a Boys Soccer State Champions.",0,,2024-06-19,"READ AND ADOPTED.",https://legiscan.com/AR/bill/HR1005/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=hr1005&ddBienniumSession=2023%2F2024S2
1882799,2146,HR1006,6,Failed,2024-06-19,"To Oppose The Misleadingly Titled &quot;educational Rights Amendment Of 2024&quot; And Encourage All Registered Arkansas Voters To Oppose The &quot;educational Rights Amendment Of 2024.&quot;","To Oppose The Misleadingly Titled &quot;educational Rights Amendment Of 2024&quot; And Encourage All Registered Arkansas Voters To Oppose The &quot;educational Rights Amendment Of 2024.&quot;",0,,2024-06-19,"Died in House at Sine Die Adjournment",https://legiscan.com/AR/bill/HR1006/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=hr1006&ddBienniumSession=2023%2F2024S2
1882857,2146,HMR1001,4,Passed,2024-06-19,"To Honor The Life And Contributions Of Mr. Curtis Olan Ferguson.","To Honor The Life And Contributions Of Mr. Curtis Olan Ferguson.",0,,2024-06-19,"READ AND ADOPTED.",https://legiscan.com/AR/bill/HMR1001/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=hmr1001&ddBienniumSession=2023%2F2024S2
1882817,2146,HMR1002,4,Passed,2024-06-19,"To Honor The Life And Contributions Of G. Ernest Cunningham.","To Honor The Life And Contributions Of G. Ernest Cunningham.",0,,2024-06-19,"READ AND ADOPTED.",https://legiscan.com/AR/bill/HMR1002/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=hmr1002&ddBienniumSession=2023%2F2024S2
1882809,2146,SB1,4,Passed,2024-06-19,"To Reduce The Income Tax Levied On Individuals, Trusts, Estates, And Corporations; To Transfer Surplus Funds To The Arkansas Reserve Fund Set-aside; And To Declare An Emergency.","To Reduce The Income Tax Levied On Individuals, Trusts, Estates, And Corporations; To Transfer Surplus Funds To The Arkansas Reserve Fund Set-aside; And To Declare An Emergency.",0,,2024-06-19,"Notification that SB1 is now Act 1",https://legiscan.com/AR/bill/SB1/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=sb1&ddBienniumSession=2023%2F2024S2
1882846,2146,SB2,4,Passed,2024-06-19,"An Act For The Arkansas State Game And Fish Commission Appropriation For The 2024-2025 Fiscal Year.","An Act For The Arkansas State Game And Fish Commission Appropriation For The 2024-2025 Fiscal Year.",0,,2024-06-19,"Notification that SB2 is now Act 2",https://legiscan.com/AR/bill/SB2/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=sb2&ddBienniumSession=2023%2F2024S2
1882864,2146,SB3,4,Passed,2024-06-19,"To Increase The Homestead Property Tax Credit; And To Require A Report Concerning The Homestead Property Tax Credit And The Balance Of The Property Tax Relief Trust Fund.","To Increase The Homestead Property Tax Credit; And To Require A Report Concerning The Homestead Property Tax Credit And The Balance Of The Property Tax Relief Trust Fund.",0,,2024-06-19,"Notification that SB3 is now Act 5",https://legiscan.com/AR/bill/SB3/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=sb3&ddBienniumSession=2023%2F2024S2
1882806,2146,SR1,4,Passed,2024-06-19,"Congratulating Evelyn Sims-coley Upon Her Retirement From First Baptist Church In North Little Rock.","Congratulating Evelyn Sims-coley Upon Her Retirement From First Baptist Church In North Little Rock.",0,,2024-06-19,"Read the third time and adopted.",https://legiscan.com/AR/bill/SR1/2024/X1,https://www.arkleg.state.ar.us/Bills/Detail?id=sr1&ddBienniumSession=2023%2F2024S2
