bill_id,date,chamber,sequence,action
1882799,2024-06-18,House,1,Filed
1882799,2024-06-18,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on HOUSE MANAGEMENT"
1882799,2024-06-18,House,3,"Returned by the Committee Do Pass"
1882799,2024-06-19,House,4,"Died in House at Sine Die Adjournment"
1882802,2024-06-17,House,1,Filed
1882802,2024-06-17,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on HOUSE MANAGEMENT"
1882802,2024-06-18,House,3,"Returned by the Committee Do Pass"
1882802,2024-06-19,House,4,"READ AND ADOPTED."
1882806,2024-06-14,Senate,1,Filed
1882806,2024-06-17,Senate,2,"Read the first time, rules suspended, read the second time and placed on the calendar."
1882806,2024-06-19,Senate,3,"Read the third time and adopted."
1882809,2024-06-14,Senate,1,Filed
1882809,2024-06-17,Senate,2,"Read first time, rules suspended, read second time, referred to REVENUE & TAX - SENATE"
1882809,2024-06-17,Senate,3,"Returned by the Committee, with the recommendation that it Do Pass"
1882809,2024-06-18,Senate,4,"Read the third time and passed."
1882809,2024-06-18,Senate,5,"EMERGENCY CLAUSE ADOPTED"
1882809,2024-06-18,Senate,6,"Ordered immediately transmitted to the House."
1882809,2024-06-18,House,7,"RECEIVED FROM THE SENATE"
1882809,2024-06-18,House,8,"Read the first time, rules suspended, read the second time and referred to the Committee on REVENUE & TAXATION- HOUSE"
1882809,2024-06-18,House,9,"Returned by the Committee Do Pass"
1882809,2024-06-19,House,10,"Read the third time and passed and ordered transmitted to the Senate."
1882809,2024-06-19,House,11,"EMERGENCY CLAUSE ADOPTED"
1882809,2024-06-19,House,12,"Returned To the Senate as passed."
1882809,2024-06-19,Senate,13,"Returned from the House as passed."
1882809,2024-06-19,Senate,14,"ORDERED ENROLLED"
1882809,2024-06-19,Senate,15,"Reported correctly enrolled and ordered delivered to the Governor."
1882809,2024-06-19,Senate,16,"DELIVERED TO GOVERNOR."
1882809,2024-06-19,Senate,17,"Notification that SB1 is now Act 1"
1882817,2024-06-18,House,1,Filed
1882817,2024-06-18,House,2,"Read the first time, rules suspended, read the second time and referred to the Committee on HOUSE MANAGEMENT"
1882817,2024-06-18,House,3,"Returned by the Committee Do Pass"
1882817,2024-06-19,House,4,"READ AND ADOPTED."
1882820,2024-06-17,Senate,1,Filed
1882820,2024-06-17,Senate,2,"Read the first time, rules suspended, read the second time and placed on the calendar."
1882820,2024-06-18,Senate,3,"Read the third time and adopted."
1882823,2024-06-18,Senate,1,Filed
1882823,2024-06-18,Senate,2,"Read the first time, rules suspended, read the second time and placed on the calendar."
