bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1871425,2980006,text,227850,application/pdf,Draft,https://legiscan.com/AR/text/HB1001/id/2980006,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1001.pdf
1871425,2983708,text,302545,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1001/id/2983708,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2024F%2FPublic%2F&file=2.pdf&ddBienniumSession=2023%2F2024F
1871339,2980050,text,257909,application/pdf,Draft,https://legiscan.com/AR/text/HB1002/id/2980050,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1002.pdf
1871339,2988297,text,333136,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1002/id/2988297,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2024F%2FPublic%2F&file=43.pdf&ddBienniumSession=2023%2F2024F
1871453,2979956,text,235607,application/pdf,Draft,https://legiscan.com/AR/text/HB1003/id/2979956,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1003.pdf
1871453,2983689,text,310314,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1003/id/2983689,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2024F%2FPublic%2F&file=1.pdf&ddBienniumSession=2023%2F2024F
1871462,2979978,text,235590,application/pdf,Draft,https://legiscan.com/AR/text/HB1004/id/2979978,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1004.pdf
1871462,2988619,text,309861,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1004/id/2988619,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2024F%2FPublic%2F&file=44.pdf&ddBienniumSession=2023%2F2024F
1871318,2979931,text,273640,application/pdf,Draft,https://legiscan.com/AR/text/HB1005/id/2979931,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1005.pdf
1871318,2988323,text,348310,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1005/id/2988323,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2024F%2FPublic%2F&file=45.pdf&ddBienniumSession=2023%2F2024F
1871470,2979997,text,299041,application/pdf,Draft,https://legiscan.com/AR/text/HB1006/id/2979997,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1006.pdf
1871470,2988617,text,374140,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1006/id/2988617,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2024F%2FPublic%2F&file=46.pdf&ddBienniumSession=2023%2F2024F
1871347,2980023,text,244655,application/pdf,Draft,https://legiscan.com/AR/text/HB1007/id/2980023,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1007.pdf
1871347,2988677,text,320593,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1007/id/2988677,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2024F%2FPublic%2F&file=27.pdf&ddBienniumSession=2023%2F2024F
1871355,2980020,text,254628,application/pdf,Draft,https://legiscan.com/AR/text/HB1008/id/2980020,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1008.pdf
1871355,2993243,text,253198,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1008/id/2993243,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2024F%2FPublic%2F&file=137.pdf&ddBienniumSession=2023%2F2024F
1871408,2979994,text,304127,application/pdf,Draft,https://legiscan.com/AR/text/HB1009/id/2979994,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1009.pdf
1871408,2988283,text,379667,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1009/id/2988283,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2024F%2FPublic%2F&file=47.pdf&ddBienniumSession=2023%2F2024F
1871447,2980051,text,250179,application/pdf,Draft,https://legiscan.com/AR/text/HB1010/id/2980051,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1010.pdf
1871447,2988288,text,324800,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1010/id/2988288,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2024F%2FPublic%2F&file=48.pdf&ddBienniumSession=2023%2F2024F
1871464,2980078,text,290804,application/pdf,Draft,https://legiscan.com/AR/text/HB1011/id/2980078,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1011.pdf
1871464,2986536,text,299641,application/pdf,Draft,https://legiscan.com/AR/text/HB1011/id/2986536,https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1011.pdf
1871464,2992861,text,302321,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1011/id/2992861,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2024F%2FPublic%2F&file=126.pdf&ddBienniumSession=2023%2F2024F
1871459,2980064,text,388773,application/pdf,Draft,https://legiscan.com/AR/text/HB1012/id/2980064,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1012.pdf
1871459,2986235,text,399033,application/pdf,Draft,https://legiscan.com/AR/text/HB1012/id/2986235,https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1012.pdf
1871459,2993040,text,409595,application/pdf,Chaptered,https://legiscan.com/AR/text/HB1012/id/2993040,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2024F%2FPublic%2F&file=138.pdf&ddBienniumSession=2023%2F2024F
1871393,2980045,text,371240,application/pdf,Draft,https://legiscan.com/AR/text/HB1013/id/2980045,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1013.pdf
1871393,2982491,text,377697,application/pdf,Draft,https://legiscan.com/AR/text/HB1013/id/2982491,https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FBills%2F2024F%2FPublic%2FHB1013.pdf
