bill_id,people_id,position
1871311,8610,1
1871312,8610,1
1871313,8610,1
1871314,8610,1
1871315,24308,1
1871316,8610,1
1871317,8610,1
1871318,8610,1
1871319,8610,1
1871320,8610,1
1871321,8610,1
1871322,8610,1
1871323,14943,1
1871324,8610,1
1871325,8610,1
1871326,8610,1
1871327,8610,1
1871328,16336,3
1871328,18685,2
1871328,23985,1
1871329,8610,1
1871330,8610,1
1871331,8610,1
1871332,8610,1
1871333,14972,1
1871334,8610,1
1871335,8610,1
1871336,8610,1
1871337,8610,1
1871338,8610,1
1871339,17436,1
1871340,8610,1
1871341,8610,1
1871342,8610,1
1871343,18020,1
1871344,8610,1
1871345,8610,1
1871346,8610,1
1871347,8610,1
1871348,8610,1
1871349,8610,1
1871350,10661,3
1871350,10772,12
1871350,12464,2
1871350,12470,11
1871350,16912,5
1871350,16917,4
1871350,16925,7
1871350,20779,9
1871350,20781,8
1871350,21594,10
1871350,21629,6
1871350,24179,1
1871351,8610,1
1871352,24308,1
1871353,8610,1
1871354,8610,1
1871355,8610,1
1871356,8610,1
1871357,8610,1
1871358,8610,1
1871359,8610,1
1871360,8610,1
1871361,8610,1
1871362,8610,1
1871363,8610,1
1871364,8610,1
1871365,8610,1
1871366,8610,1
1871367,8610,1
1871368,8610,1
1871369,8610,1
1871370,23886,1
1871371,8610,1
1871372,8610,1
1871373,8610,1
1871374,8610,1
1871375,8619,1
1871376,8610,1
1871377,8610,1
1871378,8610,1
1871379,8610,1
1871380,8610,1
1871381,8610,1
1871382,8610,1
1871383,8610,1
1871384,8610,1
1871385,8610,1
1871386,8610,1
1871387,8610,1
1871388,8610,1
1871389,11831,1
1871390,8610,1
1871391,20770,1
1871391,20838,2
1871392,8610,1
1871393,8610,1
1871394,8610,1
1871395,8610,1
1871396,24308,1
1871397,8610,1
1871398,8610,1
1871399,8610,1
1871400,8610,1
1871401,8610,1
1871402,12108,2
1871402,14942,1
1871403,8610,1
1871404,8610,1
1871405,8610,1
1871406,8610,1
1871407,8610,1
1871408,8610,1
1871409,8610,1
1871410,11831,1
1871411,8610,1
1871412,18020,1
1871413,8610,1
1871414,8610,1
1871415,8610,1
1871416,8610,1
1871417,8610,1
1871418,8610,1
1871419,8610,1
1871420,8610,1
1871421,8610,1
1871422,8610,1
1871423,8610,1
1871424,8610,1
1871425,17436,1
1871426,8610,1
1871427,8610,1
1871428,8610,1
1871429,8610,1
1871430,8610,1
1871431,8610,1
1871432,8610,1
1871433,12578,2
1871433,14973,1
1871434,8610,1
1871435,8610,1
1871436,8610,1
1871437,8610,1
1871438,8610,1
1871439,8610,1
1871440,8610,1
1871441,8610,1
1871442,8610,1
1871443,22172,1
1871444,14972,1
1871445,23886,1
1871446,8610,1
1871447,8610,1
1871448,8610,1
1871449,8610,1
1871450,8610,1
1871451,22171,1
1871452,8610,1
1871453,8610,1
1871454,8610,1
1871455,8610,1
1871456,8610,1
1871457,8610,1
1871458,8610,1
1871459,8610,1
1871460,8610,1
1871461,23886,1
1871462,8610,1
1871463,8610,1
1871464,8610,1
1871465,8610,1
1871466,8610,1
1871467,8610,1
1871468,8610,1
1871469,8610,1
1871470,8610,1
1871471,8610,1
1871483,12159,1
1871488,10662,1
1871496,14957,1
1871503,12578,1
1871510,24171,1
1871517,20838,1
1871522,12159,1
1871528,14957,1
1871538,12159,1
1871545,20783,1
1871550,14957,1
1871561,14957,1
1871565,14957,1
1871572,10662,1
1871579,12159,1
1871588,14957,1
1871593,12159,1
1871602,12159,1
1871606,12101,1
1871612,11991,1
1871612,16381,2
1871751,24172,1
1871850,8610,1
1871860,8610,1
1871873,8610,1
1871886,8610,1
1871899,8610,1
1871911,8610,1
1871922,8610,1
1871933,8610,1
1871944,8610,1
1871954,8610,1
1871965,8610,1
1871976,8610,1
1871987,8610,1
1871999,14959,1
1872009,8610,1
1872024,8610,1
1872033,8610,1
1872044,8610,1
1872054,8610,1
1872064,8610,1
1872074,8610,1
1872084,8610,1
1872095,8610,1
1872103,8610,1
1872114,8610,1
1872219,8610,1
1872234,8610,1
1872249,8610,1
1872260,8610,1
1872265,23201,1
1872273,23201,1
1872341,16926,1
1872349,24172,1
1872472,14948,1
1872580,16339,1
1872583,12719,2
1872583,18018,3
1872583,21628,1
1872809,24309,1
1872817,20770,1
1872817,20838,2
1872847,20838,1
1872879,12101,1
1872911,20765,1
1873026,8610,1
1873137,10657,12
1873137,10772,5
1873137,11831,10
1873137,11991,22
1873137,12101,18
1873137,12159,21
1873137,12186,16
1873137,12236,14
1873137,12464,23
1873137,12468,29
1873137,12470,25
1873137,12483,31
1873137,14940,11
1873137,14959,26
1873137,14966,6
1873137,14968,4
1873137,14973,1
1873137,16337,32
1873137,16339,34
1873137,16381,19
1873137,16902,2
1873137,16924,33
1873137,16963,13
1873137,18685,27
1873137,20017,20
1873137,20405,17
1873137,20838,8
1873137,21699,15
1873137,22172,3
1873137,23201,24
1873137,23293,28
1873137,23946,7
1873137,24308,9
1873137,24309,30
1873151,20781,3
1873151,21894,4
1873151,22202,1
1873151,24170,2
1873168,12464,3
1873168,20783,2
1873168,20838,1
1873183,16926,2
1873183,21629,1
1873200,20781,1
1873222,10661,1
1873222,20776,3
1873222,21594,4
1873222,21629,2
1873222,24179,5
1873226,10661,1
1873226,20762,6
1873226,20776,3
1873226,21594,4
1873226,21629,2
1873226,24179,5
1873233,10661,1
1873233,20762,6
1873233,20776,3
1873233,21594,4
1873233,21629,2
1873233,24179,5
1873238,16900,4
1873238,16907,2
1873238,18020,3
1873238,22202,1
1873247,12101,1
1873247,22172,3
1873247,24171,2
1873253,11831,1
1873258,12101,3
1873258,22171,2
1873258,22172,1
1873394,16338,2
1873394,18684,1
1873423,20017,1
1873449,12110,1
1873465,10662,1
1873465,11831,2
1873475,10772,1
1873482,10662,2
1873482,11831,1
1873873,12101,1
1873875,20742,1
1873954,22203,1
1873965,24308,1
1873975,12159,1
1873990,16339,1
1874000,22203,1
1874014,12101,1
1874038,24178,1
1874063,24615,1
1874088,18016,1
1874088,24176,2
1874113,22204,1
1874178,20838,1
1874206,14943,1
1874382,23888,1
1874388,22170,1
1874388,22203,2
1874393,12108,2
1874393,14940,1
1874399,12464,2
1874399,16924,1
1874407,10661,1
1874407,20762,6
1874407,20776,3
1874407,21594,4
1874407,21629,2
1874407,24179,5
1874411,12464,2
1874411,16924,1
1874423,23293,1
1874439,23293,1
1874457,24308,1
1874474,24308,1
1874494,16907,1
1874556,21768,1
1874774,20762,3
1874774,22202,2
1874774,22204,1
1874922,10667,1
1874957,23887,1
1875097,16925,1
1875113,18017,1
1875132,16925,1
1875150,14972,1
1875166,24176,1
1875184,24178,1
1875197,12110,1
1875202,10657,12
1875202,10772,5
1875202,11831,10
1875202,11991,24
1875202,12101,20
1875202,12159,23
1875202,12186,16
1875202,12236,14
1875202,12464,25
1875202,12468,31
1875202,12470,27
1875202,12483,33
1875202,14940,11
1875202,14959,28
1875202,14966,6
1875202,14968,4
1875202,14972,17
1875202,14973,18
1875202,16337,34
1875202,16339,35
1875202,16381,21
1875202,16902,2
1875202,16924,1
1875202,16963,13
1875202,18685,29
1875202,20017,22
1875202,20405,19
1875202,20838,8
1875202,21699,15
1875202,22172,3
1875202,23201,26
1875202,23293,30
1875202,23946,7
1875202,24308,9
1875202,24309,32
1875215,10661,4
1875215,10662,48
1875215,10667,64
1875215,11360,72
1875215,12110,84
1875215,12578,92
1875215,12719,22
1875215,14938,95
1875215,14942,30
1875215,14943,32
1875215,14948,45
1875215,14954,55
1875215,14955,60
1875215,14957,65
1875215,14965,97
1875215,16335,50
1875215,16336,52
1875215,16338,87
1875215,16352,33
1875215,16380,44
1875215,16898,8
1875215,16900,9
1875215,16907,27
1875215,16909,39
1875215,16911,56
1875215,16912,31
1875215,16916,63
1875215,16917,69
1875215,16919,78
1875215,16925,34
1875215,16926,90
1875215,17040,14
1875215,18006,6
1875215,18008,19
1875215,18010,35
1875215,18012,38
1875215,18014,53
1875215,18015,54
1875215,18016,73
1875215,18017,80
1875215,18018,93
1875215,18019,94
1875215,18020,96
1875215,18025,59
1875215,18683,24
1875215,18684,46
1875215,19943,29
1875215,20742,49
1875215,20762,1
1875215,20763,11
1875215,20764,12
1875215,20765,21
1875215,20768,20
1875215,20769,23
1875215,20770,37
1875215,20776,2
1875215,20779,76
1875215,20781,82
1875215,20783,99
1875215,21594,28
1875215,21628,61
1875215,21629,85
1875215,21766,7
1875215,21767,36
1875215,21768,88
1875215,21894,75
1875215,21978,10
1875215,22170,18
1875215,22171,58
1875215,22202,13
1875215,22203,41
1875215,22204,47
1875215,22205,66
1875215,23377,42
1875215,23640,5
1875215,23884,16
1875215,23885,43
1875215,23886,26
1875215,23887,40
1875215,23888,57
1875215,23947,25
1875215,23981,70
1875215,23985,89
1875215,23990,51
1875215,23991,77
1875215,24170,3
1875215,24171,67
1875215,24172,17
1875215,24173,15
1875215,24174,71
1875215,24175,74
1875215,24176,79
1875215,24177,81
1875215,24178,86
1875215,24179,83
1875215,24180,98
1875215,24181,68
1875215,24372,62
1875215,24615,91
1875231,11831,1
1875344,16907,2
1875344,22202,1
1875394,12110,1
1875444,20762,2
1875444,22202,1
1875444,22204,3
1875512,10661,1
1875512,20776,3
1875512,21594,4
1875512,21629,2
1875512,24179,5
1875532,14954,1
1875548,14954,1
1877243,20017,1
