"bill_id","ga_num","session","primary_sponsors","act_num","intro_date","cosponsors","title","bill_url","term","session_year","LES_sponsor","bill_type","SS","commem","state","introduced","action_in_comm","action_beyond_comm","passed_chamber","law"
"HB1001","94th","2023-SS1","eaves",NA,"9/8/2023",NA,"TO REDUCE THE INCOME TAX RATES APPLICABLE TO INDIVIDUALS, TRUSTS, ESTATES, AND CORPORATIONS; TO CREATE AN INFLATIONARY RELIEF INCOME TAX CREDIT FOR CERTAIN TAXPAYERS; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1001&ddBienniumSession=2023%2F2023S1","2023_2024","2023","eaves","HB",0,0,"AR",1,1,1,1,1
"HB1001","94th","2024-SS2","eaves",4,"6/14/2024",NA,"TO REDUCE THE INCOME TAX LEVIED ON INDIVIDUALS, TRUSTS, ESTATES, AND CORPORATIONS; TO TRANSFER SURPLUS FUNDS TO THE ARKANSAS RESERVE FUND SET-ASIDE; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1001&ddBienniumSession=2023%2F2024S2","2023_2024","2024","eaves","HB",0,0,"AR",1,1,1,1,1
"HB1002","94th","2023-RS","gazaway",NA,"11/15/2022",NA,"TO CREATE THE ""TRUTH IN SENTENCING AND PAROLE REFORM ACT OF 2023"".","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1002&ddBienniumSession=2023%2F2023R","2023_2024","2023","gazaway","HB",0,0,"AR",1,1,1,1,1
"HB1002","94th","2023-SS1","beaty jr.",10,"9/8/2023",NA,"TO PROHIBIT THE GOVERNMENT FROM MANDATING A VACCINATION OR IMMUNIZATION FOR CORONAVIRUS 2019 (COVID-19) OR ANY SUBVARIANTS OF CORONAVIRUS 2019 (COVID-19), OR BOTH; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1002&ddBienniumSession=2023%2F2023S1","2023_2024","2023","beaty jr.","HB",0,0,"AR",1,1,1,1,1
"HB1002","94th","2024-SS2","schulz",3,"6/14/2024",NA,"TO INCREASE THE HOMESTEAD PROPERTY TAX CREDIT; AND TO REQUIRE A REPORT CONCERNING THE HOMESTEAD PROPERTY TAX CREDIT AND THE BALANCE OF THE PROPERTY TAX RELIEF TRUST FUND.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1002&ddBienniumSession=2023%2F2024S2","2023_2024","2024","schulz","HB",0,0,"AR",1,1,1,1,1
"HB1003","94th","2023-RS","j. mayberry",NA,"11/17/2022",NA,"TO CREATE INCOME TAX CREDITS FOR BEGINNING FARMERS AND OWNERS OF AGRICULTURAL ASSETS.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1003&ddBienniumSession=2023%2F2023R","2023_2024","2023","j. mayberry","HB",0,0,"AR",1,1,1,1,1
"HB1003","94th","2023-SS1","ray",NA,"9/8/2023",NA,"TO AMEND THE FREEDOM OF INFORMATION ACT OF 1967; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1003&ddBienniumSession=2023%2F2023S1","2023_2024","2023","ray","HB",0,0,"AR",1,1,1,1,1
"HB1004","94th","2023-RS","ray",37,"11/17/2022",NA,"TO AMEND THE SEX OFFENDER REGISTRATION ACT OF 1997 TO INCLUDE DISCLOSURE OF A SEX OFFENDER'S ADDRESS TO THE PUBLIC; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1004&ddBienniumSession=2023%2F2023R","2023_2024","2023","ray","HB",0,0,"AR",1,1,1,1,1
"HB1004","94th","2023-SS1","jean",1,"9/8/2023",NA,"TO CREATE AND TRANSFER FUNDS TO THE ARKANSAS RESERVE FUND SET-ASIDE IN THE RESTRICTED RESERVE FUND TO ALLOW THAT ADDITIONAL FUNDS MAY BE MADE AVAILABLE FOR STATE DEPARTMENTS, AGENCIES, AND INSTITUTIONS; AND FOR OTHER PURPOSES.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1004&ddBienniumSession=2023%2F2023S1","2023_2024","2023","jean","HB",0,0,"AR",1,1,1,1,1
"HB1005","94th","2023-RS","pilkington",239,"11/18/2022",NA,"TO REPEAL SECTION 5 OF ACTS 2021, NO. 568.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1005&ddBienniumSession=2023%2F2023R","2023_2024","2023","pilkington","HB",0,0,"AR",1,1,1,1,1
"HB1005","94th","2023-SS1","evans",9,"9/8/2023",NA,"TO CLARIFY ARKANSAS LAW CONCERNING THE LOCKING OF SCHOOL DOORS; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1005&ddBienniumSession=2023%2F2023S1","2023_2024","2023","evans","HB",0,0,"AR",1,1,1,1,1
"HB1006","94th","2023-RS","pilkington",NA,"11/18/2022",NA,"TO AMEND THE LAW REGARDING EMPLOYMENT; AND TO REQUIRE CERTAIN EMPLOYERS TO PROVIDE PAID MATERNITY LEAVE.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1006&ddBienniumSession=2023%2F2023R","2023_2024","2023","pilkington","HB",0,0,"AR",1,1,1,1,1
"HB1006","94th","2023-SS1","gazaway",8,"9/8/2023",NA,"TO CLARIFY THE SENTENCING FOR A FELONY WITH A FIREARM.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1006&ddBienniumSession=2023%2F2023S1","2023_2024","2023","gazaway","HB",0,0,"AR",1,1,1,1,1
"HB1007","94th","2023-RS","pilkington",314,"11/18/2022",NA,"TO AUTHORIZE PHARMACISTS TO DISPENSE HIV PREEXPOSURE AND POSTEXPOSURE PROPHYLAXIS.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1007&ddBienniumSession=2023%2F2023R","2023_2024","2023","pilkington","HB",0,0,"AR",1,1,1,1,1
"HB1007","94th","2023-SS1","eaves",NA,"9/11/2023",NA,"TO REDUCE THE INCOME TAX RATES APPLICABLE TO INDIVIDUALS, TRUSTS, ESTATES, AND CORPORATIONS; TO CREATE AN INFLATIONARY RELIEF INCOME TAX CREDIT FOR CERTAIN TAXPAYERS; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1007&ddBienniumSession=2023%2F2023S1","2023_2024","2023","eaves","HB",0,0,"AR",1,1,1,1,1
"HB1008","94th","2023-RS","pilkington",393,"11/18/2022",NA,"TO MODIFY THE COVERAGE OF CONTINUOUS GLUCOSE MONITORS IN THE ARKANSAS MEDICAID PROGRAM.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1008&ddBienniumSession=2023%2F2023R","2023_2024","2023","pilkington","HB",0,0,"AR",1,1,1,1,1
"HB1008","94th","2023-SS1","barker",NA,"9/11/2023",NA,"TO AMEND THE PHILANTHROPIC INVESTMENT IN ARKANSAS KIDS PROGRAM ACT AND THE ARKANSAS CHILDREN'S EDUCATIONAL FREEDOM ACCOUNT PROGRAM; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1008&ddBienniumSession=2023%2F2023S1","2023_2024","2023","barker","HB",0,0,"AR",1,1,1,1,1
"HB1009","94th","2023-RS","pilkington",484,"11/18/2022",NA,"TO ESTABLISH THE NONEMERGENCY TRANSPORTATION RIDESHARE EXPANSION STUDY WORKGROUP TO STUDY EXPANDING RIDESHARE SERVICES COVERED BY THE ARKANSAS MEDICAID PROGRAM.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1009&ddBienniumSession=2023%2F2023R","2023_2024","2023","pilkington","HB",0,0,"AR",1,1,1,1,1
"HB1009","94th","2023-SS1","ray",NA,"9/11/2023",NA,"TO AMEND THE FREEDOM OF INFORMATION ACT OF 1967; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1009&ddBienniumSession=2023%2F2023S1","2023_2024","2023","ray","HB",0,0,"AR",1,1,1,1,1
"HB1010","94th","2023-RS","pilkington",NA,"11/18/2022",NA,"TO REQUIRE MEDICAID COVERAGE FOR POSTPARTUM MOTHERS FOR ONE YEAR AFTER GIVING BIRTH.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1010&ddBienniumSession=2023%2F2023R","2023_2024","2023","pilkington","HB",0,0,"AR",1,1,1,1,1
"HB1010","94th","2023-SS1","j. mayberry",NA,"9/12/2023",NA,"TO AMEND THE FREEDOM OF INFORMATION ACT OF 1967; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1010&ddBienniumSession=2023%2F2023S1","2023_2024","2023","j. mayberry","HB",0,0,"AR",1,1,1,1,1
"HB1011","94th","2023-RS","pilkington",562,"11/18/2022",NA,"TO REQUIRE MEDICAID COVERAGE AND REIMBURSEMENT FOR DEPRESSION SCREENING FOR PREGNANT WOMEN.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1011&ddBienniumSession=2023%2F2023R","2023_2024","2023","pilkington","HB",0,0,"AR",1,1,1,1,1
"HB1011","94th","2023-SS1","j. mayberry",NA,"9/12/2023",NA,"TO AMEND THE FREEDOM OF INFORMATION ACT OF 1967; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1011&ddBienniumSession=2023%2F2023S1","2023_2024","2023","j. mayberry","HB",0,0,"AR",1,1,1,1,1
"HB1012","94th","2023-RS","ray",NA,"11/28/2022",NA,"TO AMEND THE STANDARD DEDUCTION FOR INCOME TAX PURPOSES; AND TO INCREASE THE STANDARD DEDUCTION.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1012&ddBienniumSession=2023%2F2023R","2023_2024","2023","ray","HB",0,0,"AR",1,1,1,1,1
"HB1012","94th","2023-SS1","ray",NA,"9/12/2023",NA,"TO AMEND THE FREEDOM OF INFORMATION ACT OF 1967; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1012&ddBienniumSession=2023%2F2023S1","2023_2024","2023","ray","HB",0,0,"AR",1,1,1,1,1
"HB1013","94th","2023-RS","v. flowers",NA,"11/28/2022",NA,"TO ESTABLISH A PATH TO RESTORATION OF THE RIGHT TO POSSESS A FIREARM.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1013&ddBienniumSession=2023%2F2023R","2023_2024","2023","v. flowers","HB",0,0,"AR",1,1,1,1,1
"HB1014","94th","2023-RS","watson",33,"12/1/2022",NA,"TO ALLOW ONLINE TRAINING FOR COUNTY CORONERS; TO PROVIDE FOR ADDITIONAL TRAINING COURSES FOR COUNTY CORONERS; AND TO PROVIDE THAT A PERSON WITH A FELONY CONVICTION IS NOT ELIGIBLE TO BE A DEPUTY CORONER.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1014&ddBienniumSession=2023%2F2023R","2023_2024","2023","watson","HB",0,0,"AR",1,1,1,1,1
"HB1015","94th","2023-RS","mcgrew",46,"12/1/2022",NA,"TO AMEND THE ARKANSAS WATER AND AIR POLLUTION CONTROL ACT; AND TO EXEMPT CERTAIN PROPERTY OWNERS' ASSOCIATIONS AND HOMEOWNERS' ASSOCIATIONS FROM CERTAIN WATER PERMIT ACTIONS.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1015&ddBienniumSession=2023%2F2023R","2023_2024","2023","mcgrew","HB",0,0,"AR",1,1,1,1,1
"HB1016","94th","2023-RS","ray",NA,"12/2/2022",NA,"TO CREATE THE INFLATION REDUCTION ACT OF 2023.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1016&ddBienniumSession=2023%2F2023R","2023_2024","2023","ray","HB",0,0,"AR",1,1,1,1,1
"HB1017","94th","2023-RS","m. berry",20,"12/5/2022",NA,"TO AMEND THE LAW ALLOWING CERTAIN EMPLOYEES TO TAKE A LEAVE OF ABSENCE FOR EMERGENCY AND RESCUE SERVICES.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1017&ddBienniumSession=2023%2F2023R","2023_2024","2023","m. berry","HB",0,0,"AR",1,1,1,1,1
"HB1018","94th","2023-RS","s. meeks",166,"12/5/2022",NA,"TO ALLOW MEMBERS OF A MUNICIPAL FIRE DEPARTMENT BOMB SQUAD TO LAWFULLY CARRY A WEAPON IN CERTAIN CIRCUMSTANCES.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1018&ddBienniumSession=2023%2F2023R","2023_2024","2023","s. meeks","HB",1,0,"AR",1,1,1,1,1
"HB1019","94th","2023-RS","maddox",NA,"12/5/2022",NA,"TO AMEND THE LAW CONCERNING THE CREATION OF A SPENDTHRIFT TRUST; TO CREATE THE ARKANSAS SPENDTHRIFT TRUST ACT; AND TO AMEND THE UNIFORM STATUTORY RULE AGAINST PERPETUITIES.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1019&ddBienniumSession=2023%2F2023R","2023_2024","2023","maddox","HB",0,0,"AR",1,1,1,1,1
"HB1020","94th","2023-RS","maddox",795,"12/5/2022",NA,"TO AMEND THE UNIFORM LIMITED LIABILITY COMPANY ACT; AND TO REVISE CHARGING ORDERS UNDER THE UNIFORM LIMITED LIABILITY COMPANY ACT.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1020&ddBienniumSession=2023%2F2023R","2023_2024","2023","maddox","HB",0,0,"AR",1,1,1,1,1
"HB1021","94th","2023-RS","maddox",207,"12/5/2022",NA,"TO AMEND THE LAW REGARDING A MICROBREWERY-RESTAURANT LICENSE; AND TO AUTHORIZE CERTAIN MICROBREWERY-RESTAURANT LICENSEES TO SELF-DISTRIBUTE.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1021&ddBienniumSession=2023%2F2023R","2023_2024","2023","maddox","HB",0,0,"AR",1,1,1,1,1
"HB1022","94th","2023-RS","maddox",NA,"12/5/2022",NA,"TO REPEAL THE LAW REGARDING THE OVERSIGHT OF RETAIL WATER PROVIDERS.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1022&ddBienniumSession=2023%2F2023R","2023_2024","2023","maddox","HB",0,0,"AR",1,1,1,1,1
"HB1023","94th","2023-RS","fortner",11,"12/5/2022",NA,"TO REQUIRE FLAGS PURCHASED WITH PUBLIC FUNDS TO BE MADE AND MANUFACTURED IN THE UNITED STATES.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1023&ddBienniumSession=2023%2F2023R","2023_2024","2023","fortner","HB",1,0,"AR",1,1,1,1,1
"HB1024","94th","2023-RS","ray",34,"12/5/2022",NA,"TO AMEND THE LAW GOVERNING THE CREATION OF DESIGNATED ENTERTAINMENT DISTRICTS.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1024&ddBienniumSession=2023%2F2023R","2023_2024","2023","ray","HB",0,0,"AR",1,1,1,1,1
"HB1025","94th","2023-RS","ray",NA,"12/5/2022",NA,"TO AMEND THE LAW CONCERNING CIRCULATION OF PETITIONS; AND TO LIMIT PETITION CIRCULATION AT POLLING PLACES.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1025&ddBienniumSession=2023%2F2023R","2023_2024","2023","ray","HB",0,0,"AR",1,1,1,1,1
"HB1026","94th","2023-RS","ray",96,"12/5/2022",NA,"TO PROHIBIT LOCAL GOVERNMENTS FROM ENACTING AN INCOME TAX.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1026&ddBienniumSession=2023%2F2023R","2023_2024","2023","ray","HB",0,0,"AR",1,1,1,1,1
"HB1027","94th","2023-RS","ray",190,"12/5/2022",NA,"TO REQUIRE VOTER APPROVAL OF CERTAIN TAX LEVIES; TO MAKE TECHNICAL CORRECTIONS; AND TO DECLARE AN EMERGENCY.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1027&ddBienniumSession=2023%2F2023R","2023_2024","2023","ray","HB",0,0,"AR",1,1,1,1,1
"HB1028","94th","2023-RS","c. fite",21,"12/6/2022",NA,"TO REPLACE THE TERM ""CHILD PORNOGRAPHY"" WITH THE TERM ""CHILD SEXUAL ABUSE MATERIAL"" IN THE ARKANSAS CODE.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1028&ddBienniumSession=2023%2F2023R","2023_2024","2023","c. fite","HB",0,0,"AR",1,1,1,1,1
"HB1029","94th","2023-RS","s. meeks",NA,"12/6/2022",NA,"TO AUTHORIZE DELAYED RELEASE FROM PRISON FOR CERTAIN SEX OFFENDERS UNTIL THE SEX OFFENDER HAS SERVED AT LEAST EIGHTY PERCENT (80%) OF HIS OR HER SENTENCE.","https://www.arkleg.state.ar.us/Bills/Detail?id=HB1029&ddBienniumSession=2023%2F2023R","2023_2024","2023","s. meeks","HB",0,0,"AR",1,1,1,1,1
