Date,State,Bill No,Title,Action
"April 7, 2023",AR,SB 495,Requires Convicted Individuals Serve Out the Majority of Their Sentences Instead of Early Release,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (28 - 4)"
"April 6, 2023",AR,SB 396,Requires Age Verification For Social Media Use,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (21 - 3)"
"April 6, 2023",AR,SB 495,Requires Convicted Individuals Serve Out the Majority of Their Sentences Instead of Early Release,"Bill Passed
                           - House
                      

                      
                          (82 - 14)"
"April 5, 2023",AR,SB 396,Requires Age Verification For Social Media Use,"Bill Passed
                           - House
                      

                      
                          (82 - 10)"
"April 5, 2023",AR,HB 1468,Requires Parental Consent for Teachers to Address Transgender Students the Way They Identify,"Bill Passed
                           - Senate
                      

                      
                          (20 - 5)"
"April 4, 2023",AR,SB 270,Prohibits Individuals of the Opposite Sex from Using the Same Restroom with a Child Present,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (29 - 4)"
"April 4, 2023",AR,HB 1738,Establishes a Parents Bill of Rights,"Bill Passed
                           - House
                      

                      
                          (80 - 11)"
"April 3, 2023",AR,HB 1622,Establishes the Heart Attack Task Force,"Bill Passed
                           - House
                      

                      
                          (90 - 5)"
"March 30, 2023",AR,HB 1407,Establishes the Voter Registration and Secure Voter Records Act of 2023,"Concurrence Vote Passed
                           - House
                      

                      
                          (93 - 0)"
"March 28, 2023",AR,SB 81,Authorizes Parental Review and Challenge of School Library Books and Curriculum,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (24 - 5)"
"March 27, 2023",AR,HB 1468,Requires Parental Consent for Teachers to Address Transgender Students the Way They Identify,"Bill Passed
                           - House
                      

                      
                          (65 - 18)"
"March 15, 2023",AR,SB 81,Authorizes Parental Review and Challenge of School Library Books and Curriculum,"Bill Passed
                           - House
                      

                      
                          (56 - 25)"
"March 13, 2023",AR,HB 1307,Requires the State Divest from Financial Companies that Follow Certain Sociopolitical Guidelines,"Bill Passed
                           - Senate
                      

                      
                          (23 - 9)"
"March 9, 2023",AR,SB 71,Prohibits Affirmative Action Policies in the State,"Bill Passed
                           - Senate
                      

                      
                          (18 - 12)"
"March 6, 2023",AR,HB 1419,Increases Number of Counties Where a Minimum Number of Signatures Must be Submitted from 15 to 50,"Bill Passed
                           - Senate
                      

                      
                          (21 - 8)"
"March 2, 2023",AR,HB 1410,Authorizes Minors 16 Years Old and Under to work in the State of Arkansas,"Bill Passed
                           - Senate
                      

                      
                          (24 - 9)"
"March 2, 2023",AR,SB 294,Establishes the LEARNS Act,"Bill Passed
                           - House
                      

                      
                          (78 - 21)"
"Feb. 23, 2023",AR,SB 294,Establishes the LEARNS Act,"Bill Passed
                           - Senate
                      

                      
                          (25 - 7)"
"Feb. 22, 2023",AR,HB 1410,Authorizes Minors 16 Years Old and Under to work in the State of Arkansas,"Bill Passed
                           - House
                      

                      
                          (54 - 32)"
"Feb. 22, 2023",AR,HB 1419,Increases Number of Counties Where a Minimum Number of Signatures Must be Submitted from 15 to 50,"Bill Passed
                           - House
                      

                      
                          (79 - 19)"
"Feb. 16, 2023",AR,HB 1307,Requires the State Divest from Financial Companies that Follow Certain Sociopolitical Guidelines,"Bill Passed
                           - House
                      

                      
                          (79 - 12)"
"Feb. 6, 2023",AR,SB 43,"Amends the Definition of ""Adult Oriented Business"" to Include Drag Performances","Bill Passed
                           - House
                      

                      
                          (78 - 15)"
"Feb. 1, 2023",AR,HB 1156,Requires That Public School Restrooms Be Separated by Sex,"Bill Passed
                           - House
                      

                      
                          (80 - 10)"
"Jan. 24, 2023",AR,SB 43,"Amends the Definition of ""Adult Oriented Business"" to Include Drag Performances","Bill Passed
                           - Senate
                      

                      
                          (29 - 6)"
"Jan. 19, 2023",AR,HB 1023,Requires State and National Flags Purchased with Taxpayer Funds be Manufactured in the United States,"Bill Passed
                           - House
                      

                      
                          (93 - 2)"
"Jan. 18, 2023",AR,HB 1018,Authorizes Bomb Squads to Carry Weapons and Make Arrests,"Bill Passed
                           - House
                      

                      
                          (71 - 9)"
