bill_number,session_num,session,bill_id_num,title,intro_sponsor,primary_sponsors,cosponsors,keywords,summary,bill_json
HCM2001,128,2023_2024_Second_Regular,80291,reevaluate restrictions; chemical industry,,WILLOUGHBY,,CHEMICAL INDUSTRY; CONCURRENT MEMORIAL; REEVALUATE RESTRICTIONS; URGING CONGRESS; URGING THE PRESIDENT,HCM2001 - reevaluate restrictions; chemical industry,https://apps.azleg.gov/api/Bill/?billNumber=HCM2001&sessionId=128
HCM2002,128,2023_2024_Second_Regular,80505,national guard; mobilization; border,,MONTENEGRO,,BORDER; CONCURRENT MEMORIAL; MOBILIZATION; NATIONAL GUARD; SECRETARY OF STATE; URGING THE GOVERNOR,HCM2002 - national guard; mobilization; border,https://apps.azleg.gov/api/Bill/?billNumber=HCM2002&sessionId=128
HCM2003,128,2023_2024_Second_Regular,81080,manganese; criteria pollutant; urging EPA,,STAHL HAMILTON,AGUILAR; AUSTIN; BLATTMAN; CONTRERAS L; CONTRERAS P; CREWS; DE LOS SANTOS; GUTIERREZ; HERNANDEZ A; HERNANDEZ C; HERNANDEZ L; MATHIS; ORTIZ; PAWLIK; PESHLAKAI; QUIÑONEZ; SANDOVAL; SCHWIEBERT; SEAMAN; SHAH; TERECH; TRAVERS; TSOSIE; VILLEGAS,CONCURRENT MEMORIAL; CRITERIA POLLUTANT; ENVIRONMENTAL PROTECTION AGENCY; MANGANESE; URGING EPA,HCM2003 - manganese; criteria pollutant; urging EPA,https://apps.azleg.gov/api/Bill/?billNumber=HCM2003&sessionId=128
HCM2004,128,2023_2024_Second_Regular,81337,federal land acquisition; acreage return,,SMITH,BIASIUCCI; CARBONE; CHAPLIK; DIAZ; DUNN; GILLETTE; GRANTHAM; GRIFFIN; HEAP; HENDRIX; JONES; LIVINGSTON; MARSHALL; MARTINEZ; MCGARR; MONTENEGRO; PARKER B; PARKER J; PAYNE; PEÑA; PINGERELLI; WILMETH,ACREAGE RETURN; CONCURRENT MEMORIAL; FEDERAL LAND ACQUISITION; URGING CONGRESS; URGING THE PRESIDENT,HCM2004 - federal land acquisition; acreage return,https://apps.azleg.gov/api/Bill/?billNumber=HCM2004&sessionId=128
HCM2005,128,2023_2024_Second_Regular,81339,federal lands; transfer to states,,SMITH,BIASIUCCI; CARBONE; CHAPLIK; DIAZ; DUNN; GILLETTE; GRANTHAM; GRIFFIN; HEAP; HENDRIX; JONES; LIVINGSTON; MARSHALL; MARTINEZ; MCGARR; MONTENEGRO; PARKER B; PARKER J; PAYNE; PEÑA; PINGERELLI; WILMETH,CONCURRENT MEMORIAL; FEDERAL LANDS; TRANSFER TO STATES; URGING CONGRESS; URGING THE PRESIDENT; WESTERN STATES,HCM2005 - federal lands; transfer to states,https://apps.azleg.gov/api/Bill/?billNumber=HCM2005&sessionId=128
HCM2006,128,2023_2024_Second_Regular,81356,federal lands; natural resources; permission,,GRIFFIN,,ARIZONA NATURAL RESOURCE RIGHTS; CONCURRENT MEMORIAL; FEDERAL LANDS; NATURAL RESOURCES; PERMISSION; SECRETARY OF STATE; URGING CONGRESS,HCM2006 - federal lands; natural resources; permission,https://apps.azleg.gov/api/Bill/?billNumber=HCM2006&sessionId=128
HCM2007,128,2023_2024_Second_Regular,81359,Grand Canyon Footprints monument; repeal,,BIASIUCCI,CARTER; CHAPLIK; COOK; DIAZ; GILLETTE; GRANTHAM; GRIFFIN; HEAP; HENDRIX; JONES; MARSHALL; MCGARR; PARKER B; PARKER J; PAYNE; PEÑA; SMITH; TOMA; WILLOUGHBY; WILMETH,CONCURRENT MEMORIAL; GRAND CANYON FOOTPRINTS MONUMENT; REPEAL; SECRETARY OF STATE; URGING THE PRESIDENT,HCM2007 - Grand Canyon Footprints monument; repeal,https://apps.azleg.gov/api/Bill/?billNumber=HCM2007&sessionId=128
HCM2008,128,2023_2024_Second_Regular,81362,urging Congress; Antiquities Act; repeal,,GILLETTE,BIASIUCCI; COOK; DUNN; GRIFFIN; MARSHALL; MCGARR; PEÑA; SMITH,ANTIQUITIES ACT; CONCURRENT MEMORIAL; REPEAL; SECRETARY OF STATE; URGING CONGRESS; URGING THE PRESIDENT,HCM2008 - urging Congress; Antiquities Act; repeal,https://apps.azleg.gov/api/Bill/?billNumber=HCM2008&sessionId=128
HCR2001,128,2023_2024_Second_Regular,79903,voting; qualifications; methods,,KOLODIN,BLISS; SMITH; BOLICK,CONCURRENT RESOLUTION; CONSTITUTION OF ARIZONA; METHODS; QUALIFICATIONS; SECRETARY OF STATE; SUFFRAGE AND ELECTIONS; VOTING,HCR2001 - voting; qualifications; methods,https://apps.azleg.gov/api/Bill/?billNumber=HCR2001&sessionId=128
HCR2002,128,2023_2024_Second_Regular,79912,supporting Arizona's beef producers,,SMITH,SHAMP,CONCURRENT RESOLUTION; SUPPORTING ARIZONA'S BEEF PRODUCERS,HCR2002 - supporting Arizona's beef producers,https://apps.azleg.gov/api/Bill/?billNumber=HCR2002&sessionId=128
