bill_number,session_num,session,chamber,action_date,action
HCM2001,128,2023_2024_Second_Regular,House,1/11/2024,HCM2001 Introduced
HCM2001,128,2023_2024_Second_Regular,,2024-02-28,Transmitted to Senate
HCM2001,128,2023_2024_Second_Regular,,2024-04-01,Transmitted to House
HCM2001,128,2023_2024_Second_Regular,,2024-04-02,Transmitted to Secretary of State
HCM2001,128,2023_2024_Second_Regular,Senate,2024-03-04,First Reading Complete
HCM2001,128,2023_2024_Second_Regular,House,2024-01-23,First Reading Complete
HCM2001,128,2023_2024_Second_Regular,Senate,2024-03-05,Second Reading Complete
HCM2001,128,2023_2024_Second_Regular,House,2024-01-24,Second Reading Complete
HCM2001,128,2023_2024_Second_Regular,House,2024-01-23,Assigned to House Committee~COM (Commerce)
HCM2001,128,2023_2024_Second_Regular,House,2024-02-06,Reported DP from House Committee~COM (Commerce)
HCM2001,128,2023_2024_Second_Regular,Senate,2024-03-04,Assigned to Senate Committee~FICO (Finance and Commerce)
HCM2001,128,2023_2024_Second_Regular,Senate,2024-03-11,Reported DP from Senate Committee~FICO (Finance and Commerce)
HCM2001,128,2023_2024_Second_Regular,House,2024-01-23,Assigned to House Committee~RULES (Rules)
HCM2001,128,2023_2024_Second_Regular,House,2024-02-12,Reported C&P from House Committee~RULES (Rules)
HCM2001,128,2023_2024_Second_Regular,Senate,2024-03-04,Assigned to Senate Committee~RULES (Rules)
HCM2001,128,2023_2024_Second_Regular,Senate,2024-03-18,Reported PFC from Senate Committee~RULES (Rules)
HCM2001,128,2023_2024_Second_Regular,House,2024-02-20,Committee of the Whole ~ DP (Do pass)
HCM2001,128,2023_2024_Second_Regular,House,2024-02-28,Passed Third Reading
HCM2001,128,2023_2024_Second_Regular,Senate,2024-03-26,Committee of the Whole ~ DP (Do pass)
HCM2001,128,2023_2024_Second_Regular,Senate,2024-04-01,Passed Third Reading
HCM2002,128,2023_2024_Second_Regular,House,1/11/2024,HCM2002 Introduced
HCM2002,128,2023_2024_Second_Regular,,2024-02-28,Transmitted to Senate
HCM2002,128,2023_2024_Second_Regular,Senate,2024-03-04,First Reading Complete
HCM2002,128,2023_2024_Second_Regular,House,2024-01-23,First Reading Complete
HCM2002,128,2023_2024_Second_Regular,Senate,2024-03-05,Second Reading Complete
HCM2002,128,2023_2024_Second_Regular,House,2024-01-24,Second Reading Complete
HCM2002,128,2023_2024_Second_Regular,House,2024-01-23,Assigned to House Committee~GOV (Government)
HCM2002,128,2023_2024_Second_Regular,House,2024-02-15,Reported DP from House Committee~GOV (Government)
HCM2002,128,2023_2024_Second_Regular,Senate,2024-03-04,"Assigned to Senate Committee~MAPS (Military Affairs, Public Safety and Border Security)"
HCM2002,128,2023_2024_Second_Regular,Senate,2024-03-13,"Reported HELD from Senate Committee~MAPS (Military Affairs, Public Safety and Border Security)"
