bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1638767,2618681,text,18392,text/html,Introduced,https://legiscan.com/AZ/text/HB2001/id/2618681,https://www.azleg.gov/legtext/56leg/1r/bills/hb2001p.htm
1638767,2714344,text,25084,text/html,Engrossed,https://legiscan.com/AZ/text/HB2001/id/2714344,https://www.azleg.gov/legtext/56leg/1r/bills/hb2001h.htm
1639585,2619639,text,22521,text/html,Introduced,https://legiscan.com/AZ/text/HB2002/id/2619639,https://www.azleg.gov/legtext/56leg/1r/bills/hb2002p.htm
1639585,2703715,text,21437,text/html,Engrossed,https://legiscan.com/AZ/text/HB2002/id/2703715,https://www.azleg.gov/legtext/56leg/1r/bills/hb2002h.htm
1640067,2620320,text,10270,text/html,Introduced,https://legiscan.com/AZ/text/HB2003/id/2620320,https://www.azleg.gov/legtext/56leg/1r/bills/hb2003p.htm
1640067,2715363,text,9929,text/html,Engrossed,https://legiscan.com/AZ/text/HB2003/id/2715363,https://www.azleg.gov/legtext/56leg/1r/bills/hb2003h.htm
1640076,2620329,text,12364,text/html,Introduced,https://legiscan.com/AZ/text/HB2004/id/2620329,https://www.azleg.gov/legtext/56leg/1r/bills/hb2004p.htm
1640072,2620325,text,34740,text/html,Introduced,https://legiscan.com/AZ/text/HB2005/id/2620325,https://www.azleg.gov/legtext/56leg/1r/bills/hb2005p.htm
1640072,2715183,text,35214,text/html,Engrossed,https://legiscan.com/AZ/text/HB2005/id/2715183,https://www.azleg.gov/legtext/56leg/1r/bills/hb2005h.htm
1640072,2781118,text,36112,text/html,Chaptered,https://legiscan.com/AZ/text/HB2005/id/2781118,https://www.azleg.gov/legtext/56leg/1r/laws/0044.htm
1640070,2620323,text,61142,text/html,Introduced,https://legiscan.com/AZ/text/HB2006/id/2620323,https://www.azleg.gov/legtext/56leg/1r/bills/hb2006p.htm
1640070,2707892,text,59973,text/html,Engrossed,https://legiscan.com/AZ/text/HB2006/id/2707892,https://www.azleg.gov/legtext/56leg/1r/bills/hb2006h.htm
1640070,2780973,text,60858,text/html,Chaptered,https://legiscan.com/AZ/text/HB2006/id/2780973,https://www.azleg.gov/legtext/56leg/1r/laws/0045.htm
1640074,2620327,text,15911,text/html,Introduced,https://legiscan.com/AZ/text/HB2007/id/2620327,https://www.azleg.gov/legtext/56leg/1r/bills/hb2007p.htm
1640074,2716188,text,22941,text/html,Engrossed,https://legiscan.com/AZ/text/HB2007/id/2716188,https://www.azleg.gov/legtext/56leg/1r/bills/hb2007h.htm
1640074,2771280,text,22953,text/html,Engrossed,https://legiscan.com/AZ/text/HB2007/id/2771280,https://www.azleg.gov/legtext/56leg/1r/bills/hb2007s.htm
1640074,2787216,text,23931,text/html,Chaptered,https://legiscan.com/AZ/text/HB2007/id/2787216,https://www.azleg.gov/legtext/56leg/1r/laws/0081.htm
1640068,2620321,text,16374,text/html,Introduced,https://legiscan.com/AZ/text/HB2008/id/2620321,https://www.azleg.gov/legtext/56leg/1r/bills/hb2008p.htm
1640068,2714608,text,16060,text/html,Engrossed,https://legiscan.com/AZ/text/HB2008/id/2714608,https://www.azleg.gov/legtext/56leg/1r/bills/hb2008h.htm
1640068,2781130,text,16955,text/html,Chaptered,https://legiscan.com/AZ/text/HB2008/id/2781130,https://www.azleg.gov/legtext/56leg/1r/laws/0046.htm
1640066,2620319,text,43278,text/html,Introduced,https://legiscan.com/AZ/text/HB2009/id/2620319,https://www.azleg.gov/legtext/56leg/1r/bills/hb2009p.htm
1640066,2708641,text,42189,text/html,Engrossed,https://legiscan.com/AZ/text/HB2009/id/2708641,https://www.azleg.gov/legtext/56leg/1r/bills/hb2009h.htm
1640066,2781086,text,43051,text/html,Chaptered,https://legiscan.com/AZ/text/HB2009/id/2781086,https://www.azleg.gov/legtext/56leg/1r/laws/0047.htm
1640079,2620332,text,53189,text/html,Introduced,https://legiscan.com/AZ/text/HB2010/id/2620332,https://www.azleg.gov/legtext/56leg/1r/bills/hb2010p.htm
1640079,2712672,text,52143,text/html,Engrossed,https://legiscan.com/AZ/text/HB2010/id/2712672,https://www.azleg.gov/legtext/56leg/1r/bills/hb2010h.htm
