people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
4230,"Steve Montenegro",Steve,B.,Montenegro,,,2,R,1,Rep,HD-029,6676721,106507,,Steve_B._Montenegro,252127,0
4233,"David Gowan",David,,Gowan,,,2,R,2,Sen,SD-019,6662273,28241,,David_Gowan,267669,0
4260,"Laurin Hendrix",Laurin,,Hendrix,,,2,R,1,Rep,HD-014,12997918,106551,,Laurin_Hendrix,267649,0
4262,"John Kavanagh",John,,Kavanagh,,,2,R,2,Sen,SD-003,6671185,68209,,John_Kavanagh,248845,0
4343,"Catherine Miranda",Catherine,H.,Miranda,,,1,D,2,Sen,SD-011,6507410,123736,,Catherine_Miranda,309013,0
10696,"Javan Mesnard",Javan,D.,Mesnard,,,2,R,2,Sen,SD-013,6690618,123791,,J.D._Mesnard,293809,0
10699,"Lela Alston",Lela,,Alston,,,1,D,2,Sen,SD-005,6412623,123722,,Lela_Alston,293799,0
10704,"Sally Gonzales",Sally,Ann,Gonzales,,,1,D,2,Sen,SD-020,12997768,12275,,Sally_Ann_Gonzales,192949,0
10708,"Gail Griffin",Gail,,Griffin,,,2,R,1,Rep,HD-019,12997808,12274,,Gail_Griffin,192945,0
11744,"David Farnsworth",David,Christian,Farnsworth,,,2,R,2,Sen,SD-010,23319205,3056,,David_Farnsworth,468293,0
14554,"Lupe Contreras",Lupe,Chavira,Contreras,,,1,D,1,Rep,HD-022,12719919,141487,,Lupe_Contreras,668296,0
14555,"Lydia Hernandez",Lydia,,Hernandez,,,1,D,1,Rep,HD-024,12719943,123714,,Lydia_Hernandez,423738,0
14698,"Sonny Borrelli",Sonny,,Borrelli,,,2,R,2,Sen,SD-030,12719889,129361,,Sonny_Borrelli,423615,0
14703,"David Livingston",David,Alan,Livingston,,,2,R,1,Rep,HD-028,12719927,141496,,David_Livingston,423719,0
14704,"Juan Mendez",Juan,Jose,Mendez,,,1,D,2,Sen,SD-008,12719936,141502,,Juan_Mendez,423728,0
14707,"Warren Petersen",Warren,H.,Petersen,,,2,R,2,Sen,SD-014,9691346,141381,,Warren_Petersen,423641,0
14709,"Thomas Shope",Thomas,R.,Shope,,T.J.,2,R,2,Sen,SD-016,12719897,141366,,T.J._Shope,423629,0
15258,"Rosanna Gabaldon",Rosanna,,Gabaldon,,,1,D,2,Sen,SD-021,12719881,141336,,Rosanna_Gabaldon,423590,0
16507,"Anthony Kern",Anthony,T.,Kern,,,2,R,2,Sen,SD-027,23321151,153897,,Anthony_Kern,500109,0
18569,"Denise Epstein",Denise,,Epstein,,Mitzi,1,D,2,Sen,SD-012,8543206,153884,,Mitzi_Epstein,499850,0
18607,"Travis Grantham",Travis,W.,Grantham,,,2,R,1,Rep,HD-014,13607128,141248,,Travis_Grantham,378589,0
18608,"Athena Salman",Athena,,Salman,,,1,D,1,Rep,HD-008,40621924,171836,,Athena_Salman,582439,0
18652,"David Cook",David,L.,Cook,,,2,R,1,Rep,HD-007,8473177,171705,,David_Cook_(Arizona),584956,0
18663,"Kevin Payne",Kevin,,Payne,,,2,R,1,Rep,HD-027,16622819,171801,,Kevin_Payne,584970,0
19369,"Ben Toma",Ben,,Toma,,,2,R,1,Rep,HD-027,8449605,176446,,Ben_Toma,624242,0
19500,"Sine Kerr",Sine,,Kerr,,,2,R,2,Sen,SD-025,16726797,178430,,Sine_Kerr,650184,0
19572,"Tim Dunn",Timothy,M.,Dunn,,Tim,2,R,1,Rep,HD-025,8582459,178189,,Tim_Dunn_(Arizona),655560,0
20249,"Leo Biasiucci",Leo,,Biasiucci,,,2,R,1,Rep,HD-030,40621888,171694,,Leo_Biasiucci,585785,0
20571,"Alma Hernandez",Alma,,Hernandez,,,1,D,1,Rep,HD-020,23282612,184546,,Alma_Hernandez,667957,0
20573,"Jennifer Pawlik",Jennifer,,Pawlik,,,1,D,1,Rep,HD-013,25733144,171774,,Jennifer_Pawlik,585819,0
20688,"Frank Carroll",Frank,P.,Carroll,,,2,R,2,Sen,SD-028,45362121,184604,,Frank_Carroll,667988,0
20749,"Shawnna Bolick",Shawnna,,Bolick,,,2,R,2,Sen,SD-002,6690566,123699,,Shawnna_Bolick,499858,0
20750,"Andres Cano",Andres,,Cano,,,1,D,1,Rep,HD-020,45362028,184545,,Andres_Cano,667238,0
20751,"Jennifer Longdon",Jennifer,L.,Longdon,,,1,D,1,Rep,HD-005,45362138,184621,,Jennifer_Longdon,665976,0
20754,"Myron Tsosie",Myron,,Tsosie,,,1,D,1,Rep,HD-006,45362047,184557,,Myron_Tsosie,667239,0
20808,"Raquel Teran",Raquel,,Teran,,,1,D,2,Sen,SD-026,15827285,141306,,Raquel_Teran,423586,0
20908,"Amish Shah",Amish,,Shah,,,1,D,1,Rep,HD-005,42115311,184622,,Amish_Shah,667264,0
21898,"Joseph Chaplik",Joseph,,Chaplik,,,2,R,1,Rep,HD-003,29102030,192551,,Joseph_Chaplik,737910,0
21899,"Jake Hoffman",Jake,,Hoffman,,,2,R,2,Sen,SD-015,45108367,192538,,Jake_Hoffman,737892,0
21900,"Steve Kaiser",Steve,,Kaiser,,,2,R,2,Sen,SD-002,6690476,123663,,Steve_Kaiser,737897,0
21901,"Jacqueline Parker",Jacqueline,,Parker,,,2,R,1,Rep,HD-015,48835186,192545,,Jacqueline_Parker,737900,0
21902,"Beverly Pingerelli",Beverly,,Pingerelli,,,2,R,1,Rep,HD-028,47233275,192549,,Beverly_Pingerelli,737906,0
21903,"Wendy Rogers",Wendy,,Rogers,,,2,R,2,Sen,SD-007,17657680,123618,,Wendy_Rogers,293784,0
21904,"Justin Wilmeth",Justin,,Wilmeth,,,2,R,1,Rep,HD-002,46133238,192543,,Justin_Wilmeth,737898,0
22290,"Christine Marsh",Christine,,Marsh,,,1,D,2,Sen,SD-004,25726577,184542,,Christine_Marsh,668303,0
22291,"Quang Nguyen",Quang,H.,Nguyen,,,2,R,1,Rep,HD-001,49622954,192521,,Quang_Nguyen,737835,0
22292,"Judy Schwiebert",Judy,,Schwiebert,,,1,D,1,Rep,HD-002,49623026,192548,,Judy_Schwiebert,737905,0
22293,"Stephanie Stahl Hamilton",Stephanie,,"Stahl Hamilton",,,1,D,1,Rep,HD-021,49622988,192535,,Stephanie_Stahl_Hamilton,737858,0
22440,"Melody Hernandez",Melody,,Hernandez,,,1,D,1,Rep,HD-008,49623048,192556,,Melody_Hernandez,737919,0
