bill_id,people_id,position
1638767,18652,1
1639585,18652,1
1639597,4262,1
1640066,14703,1
1640067,14703,1
1640068,14703,1
1640070,14703,1
1640072,14703,1
1640073,14703,1
1640074,14703,1
1640076,14703,1
1640077,14703,1
1640079,14703,1
1640409,16507,1
1641633,4262,1
1641714,4262,1
1641803,4262,1
1641891,4262,1
1642767,4262,1
1642796,4262,1
1642831,4262,1
1642864,4262,1
1642900,4262,1
1642933,4262,1
1642971,4262,1
1643004,4262,1
1643042,18652,1
1643072,4262,1
1643107,4262,1
1643173,14709,1
1643173,20908,3
1643173,23641,2
1643199,14709,1
1643199,23641,2
1643225,4262,1
1643250,4262,1
1643276,14709,1
1643302,14709,1
1643302,23642,2
1643316,18652,1
1643881,4262,1
1643919,14703,1
1643959,4262,1
1643998,4262,1
1644039,14703,1
1644077,18652,1
1644111,4262,1
1644653,4262,1
1644729,14703,1
1644729,20750,2
1644803,16507,1
1644875,16507,1
1644953,16507,1
1645025,16507,1
1645099,16507,1
1645174,16507,1
1645237,19572,1
1646319,18607,1
1646446,14709,1
1646579,14703,1
1646585,4262,1
1646585,20751,2
1647725,19572,2
1647725,23883,1
1648872,19572,1
1649181,19572,1
1650215,21901,1
1650345,21901,1
1650464,21901,1
1650554,19572,1
1650636,4262,1
1650724,4262,1
1650806,19572,1
1650895,4262,1
1650975,14703,1
1651059,4262,1
1651141,14703,1
1651221,4262,1
1651233,14703,1
1651438,10699,2
1651438,14709,1
1651438,20751,3
1651650,18652,1
1651860,18652,1
1653773,23641,1
1653801,19572,1
1653831,23641,1
1653859,19572,1
1653887,23641,1
1653915,23641,1
1653941,23641,1
1653972,23641,1
1654000,4262,1
1654027,23641,1
1654054,4262,1
1654085,18652,1
1654120,21900,2
1654120,23641,1
1654142,23641,1
1654173,23641,1
1654200,23641,1
1654227,19572,1
1654255,23641,1
1654286,23641,1
1654311,23641,1
1654311,24183,3
1654311,24184,2
1654339,23641,1
1654367,19572,1
1654395,18652,1
1654425,23641,1
1654452,18652,1
1654471,23641,1
1654615,18663,1
1654629,24236,2
1654629,24237,1
1654629,24239,3
1654629,24244,4
1654641,18663,1
1654656,24236,2
1654656,24237,1
1654656,24239,3
1654656,24244,4
1654670,20573,9
1654670,20750,3
1654670,22292,12
1654670,22293,14
1654670,22440,6
1654670,23023,10
1654670,23039,7
1654670,24232,2
1654670,24233,4
1654670,24234,5
1654670,24235,1
1654670,24241,8
1654670,24242,11
1654670,24243,13
1654670,24245,15
1654670,24246,16
1654686,18663,1
1654701,14555,7
1654701,22292,11
1654701,22440,8
1654701,23039,9
1654701,24229,2
1654701,24230,3
1654701,24233,4
1654701,24234,5
1654701,24235,6
1654701,24241,1
1654701,24242,10
1654701,24243,12
1654701,24245,13
1654701,24246,14
1654714,18607,1
1654731,22291,2
1654731,23641,1
1654731,24231,3
1654743,14709,1
1654743,21904,2
1654760,23641,1
1654760,24231,2
1654774,21901,5
1654774,24236,1
1654774,24237,2
1654774,24239,3
1654774,24240,4
1654774,24244,6
1654792,24498,1
1654804,18663,1
1654816,4230,24
1654816,10708,12
1654816,14554,7
1654816,14555,17
1654816,14698,34
1654816,14703,20
1654816,18607,11
1654816,18652,8
1654816,19369,31
1654816,20249,1
1654816,20571,15
1654816,20688,35
1654816,20751,21
1654816,20754,32
1654816,21898,6
1654816,21901,27
1654816,21902,28
1654816,21904,33
1654816,22291,25
1654816,23000,9
1654816,23023,29
1654816,23039,22
1654816,23050,5
1654816,23641,3
1654816,24184,10
1654816,24230,2
1654816,24232,4
1654816,24236,13
1654816,24237,14
1654816,24239,18
1654816,24240,19
1654816,24244,30
1654816,24248,16
1654816,24249,23
1654816,24250,26
1654834,24498,1
1654846,4343,10
1654846,10699,2
1654846,10704,8
1654846,15258,7
1654846,18569,5
1654846,20571,16
1654846,20573,20
1654846,20808,12
1654846,22290,1
1654846,22292,21
1654846,22293,23
1654846,22440,18
1654846,23038,6
1654846,24183,3
1654846,24229,13
1654846,24232,15
1654846,24241,19
1654846,24243,22
1654846,24245,24
1654846,24247,14
1654846,24248,17
1654846,24253,11
1654846,24255,9
1654846,24497,4
1654863,18663,1
1654878,14703,1
1654891,21901,4
1654891,24236,1
1654891,24237,2
1654891,24239,3
1654891,24244,5
1654905,20750,5
1654905,20751,10
1654905,20754,18
1654905,22292,14
1654905,22293,15
1654905,22440,9
1654905,23039,11
1654905,24229,2
1654905,24230,3
1654905,24232,4
1654905,24233,6
1654905,24234,7
1654905,24235,8
1654905,24241,12
1654905,24242,13
1654905,24245,1
1654905,24246,17
1654905,24252,16
1654925,18663,1
1654940,23050,1
1654940,23641,2
1654952,23000,1
1654952,24251,3
1654952,24254,2
1654964,18663,1
1654982,23000,1
1654998,4343,5
1654998,21900,10
1654998,22292,7
1654998,23883,1
1654998,24229,2
1654998,24230,3
1654998,24241,6
1654998,24244,8
1654998,24245,9
1654998,24254,4
1655012,21901,5
1655012,24236,1
1655012,24237,2
1655012,24239,3
1655012,24240,4
1655012,24244,6
1655025,21901,5
1655025,24236,1
1655025,24237,2
1655025,24239,3
1655025,24240,4
1655025,24244,6
1655039,14703,2
1655039,22291,3
1655039,23641,1
1655039,24231,4
1655054,20573,12
1655054,20750,5
1655054,20751,9
1655054,20754,18
1655054,22292,14
1655054,22293,15
1655054,22440,8
1655054,23039,10
1655054,24229,2
1655054,24230,3
1655054,24232,4
1655054,24234,6
1655054,24235,7
1655054,24241,11
1655054,24242,13
1655054,24245,1
1655054,24246,17
1655054,24252,16
1655074,20573,12
1655074,20750,5
1655074,20751,10
1655074,20754,17
1655074,22292,14
1655074,22293,15
1655074,23039,11
1655074,23883,8
1655074,24229,2
1655074,24230,3
1655074,24232,4
1655074,24233,6
1655074,24234,7
1655074,24235,9
1655074,24242,13
1655074,24245,1
1655074,24246,16
1655085,22291,3
1655085,23000,1
1655085,24251,4
1655085,24254,2
1655100,23050,1
1655100,23641,2
1655114,21901,4
1655114,24236,2
1655114,24237,3
1655114,24239,1
1655114,24244,5
1655128,14555,4
1655128,22440,5
1655128,23039,6
1655128,24234,2
1655128,24235,3
1655128,24241,1
1655128,24242,7
1655143,21902,2
1655143,23000,1
1655159,14555,7
1655159,22292,11
1655159,22440,8
1655159,23039,9
1655159,24229,2
1655159,24230,3
1655159,24233,4
1655159,24234,5
1655159,24235,6
1655159,24241,1
1655159,24242,10
1655159,24243,12
1655159,24252,13
1655176,4262,1
1655189,4343,9
1655189,10699,2
1655189,10704,8
1655189,15258,7
1655189,18569,5
1655189,20571,21
1655189,20573,16
1655189,20808,10
1655189,22290,1
1655189,22292,17
1655189,22293,19
