bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1784069,2850526,text,6840,text/html,Introduced,https://legiscan.com/AZ/text/HB2001/id/2850526,https://www.azleg.gov/legtext/56leg/2r/bills/hb2001p.htm
1784582,2851261,text,11520,text/html,Introduced,https://legiscan.com/AZ/text/HB2002/id/2851261,https://www.azleg.gov/legtext/56leg/2r/bills/hb2002p.htm
1784582,2937241,text,10706,text/html,Engrossed,https://legiscan.com/AZ/text/HB2002/id/2937241,https://www.azleg.gov/legtext/56leg/2r/bills/hb2002h.htm
1784577,2851259,text,8187,text/html,Introduced,https://legiscan.com/AZ/text/HB2003/id/2851259,https://www.azleg.gov/legtext/56leg/2r/bills/hb2003p.htm
1784577,2935313,text,8568,text/html,Engrossed,https://legiscan.com/AZ/text/HB2003/id/2935313,https://www.azleg.gov/legtext/56leg/2r/bills/hb2003h.htm
1784577,3012634,text,9584,text/html,Chaptered,https://legiscan.com/AZ/text/HB2003/id/3012634,https://www.azleg.gov/legtext/56leg/2r/laws/0248.htm
1784544,2851246,text,8018,text/html,Introduced,https://legiscan.com/AZ/text/HB2004/id/2851246,https://www.azleg.gov/legtext/56leg/2r/bills/hb2004p.htm
1784544,2911000,text,7637,text/html,Engrossed,https://legiscan.com/AZ/text/HB2004/id/2911000,https://www.azleg.gov/legtext/56leg/2r/bills/hb2004h.htm
1784544,2974929,text,8618,text/html,Chaptered,https://legiscan.com/AZ/text/HB2004/id/2974929,https://www.azleg.gov/legtext/56leg/2r/laws/0017.htm
1784548,2851248,text,7351,text/html,Introduced,https://legiscan.com/AZ/text/HB2005/id/2851248,https://www.azleg.gov/legtext/56leg/2r/bills/hb2005p.htm
1784587,2851263,text,40298,text/html,Introduced,https://legiscan.com/AZ/text/HB2006/id/2851263,https://www.azleg.gov/legtext/56leg/2r/bills/hb2006p.htm
1784587,2919257,text,39456,text/html,Engrossed,https://legiscan.com/AZ/text/HB2006/id/2919257,https://www.azleg.gov/legtext/56leg/2r/bills/hb2006h.htm
1784587,2983282,text,39936,text/html,Engrossed,https://legiscan.com/AZ/text/HB2006/id/2983282,https://www.azleg.gov/legtext/56leg/2r/bills/hb2006s.htm
1784538,2851244,text,10355,text/html,Introduced,https://legiscan.com/AZ/text/HB2007/id/2851244,https://www.azleg.gov/legtext/56leg/2r/bills/hb2007p.htm
1784538,2925835,text,9472,text/html,Engrossed,https://legiscan.com/AZ/text/HB2007/id/2925835,https://www.azleg.gov/legtext/56leg/2r/bills/hb2007h.htm
1784536,2851243,text,7296,text/html,Introduced,https://legiscan.com/AZ/text/HB2008/id/2851243,https://www.azleg.gov/legtext/56leg/2r/bills/hb2008p.htm
1784536,2935202,text,8456,text/html,Engrossed,https://legiscan.com/AZ/text/HB2008/id/2935202,https://www.azleg.gov/legtext/56leg/2r/bills/hb2008h.htm
1784560,2851252,text,39371,text/html,Introduced,https://legiscan.com/AZ/text/HB2009/id/2851252,https://www.azleg.gov/legtext/56leg/2r/bills/hb2009p.htm
