bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1784536,1371561,2024-01-30,House,"House Natural Resources, Energy & Water Committee Action (DP)",5,4,0,0,9
1784536,1375991,2024-02-05,House,"House Rules Committee Action (C&P)",9,0,0,0,9
1784536,1383382,2024-02-13,House,"House - Committee of the Whole (RET ON CAL)",0,0,0,0,0
1784536,1388587,2024-02-20,House,"House - Committee of the Whole (DPA)",0,0,0,0,0
1784536,1396048,2024-02-27,House,"House - Third Reading",31,27,1,0,59
1784536,1409283,2024-03-14,Senate,"Senate Natural Resources, Energy and Water Committee Action (DPA)",6,0,1,0,7
1784536,1414753,2024-03-25,Senate,"Senate Rules Committee Action (PFC)",0,0,0,0,0
1784538,1370633,2024-01-29,House,"House Land, Agriculture & Rural Affairs Committee Action (DP)",8,0,0,1,9
1784538,1375830,2024-02-05,House,"House Rules Committee Action (C&P)",9,0,0,0,9
1784538,1382077,2024-02-12,House,"House - Committee of the Whole (DP)",0,0,0,0,0
1784538,1385424,2024-02-15,House,"House - Third Reading",58,0,1,0,59
1784538,1402424,2024-03-04,Senate,"Senate Finance and Commerce Committee Action (DP)",7,0,0,0,7
1784538,1407188,2024-03-11,Senate,"Senate Rules Committee Action (PFC)",0,0,0,0,0
1784544,1367950,2024-01-23,House,"House Natural Resources, Energy & Water Committee Action (DP)",9,0,0,0,9
1784544,1370869,2024-01-29,House,"House Rules Committee Action (C&P)",8,0,1,0,9
1784544,1373755,2024-02-01,House,"House - Third Reading",55,0,1,0,56
1784544,1400406,2024-02-29,Senate,"Senate Natural Resources, Energy and Water Committee Action (DP)",5,0,2,0,7
1784544,1407026,2024-03-11,Senate,"Senate Rules Committee Action (PFC)",0,0,0,0,0
1784544,1414603,2024-03-25,Senate,"Senate - Third Reading",28,0,2,0,30
1784555,1382509,2024-02-12,House,"House Land, Agriculture & Rural Affairs Committee Action (DPA)",9,0,0,0,9
1784555,1388485,2024-02-20,House,"House Rules Committee Action (C&P)",9,0,0,0,9
1784555,1390161,2024-02-21,House,"House - Committee of the Whole (DPA)",0,0,0,0,0
1784555,1391797,2024-02-22,House,"House - Third Reading",47,11,1,0,59
1784555,1405013,2024-03-07,Senate,"Senate Natural Resources, Energy and Water Committee Action (DP)",5,0,2,0,7
1784555,1406874,2024-03-11,Senate,"Senate Rules Committee Action (PFC)",0,0,0,0,0
1784555,1416313,2024-03-27,Senate,"Senate - Third Reading",26,3,1,0,30
1784560,1370930,2024-01-29,House,"House Land, Agriculture & Rural Affairs Committee Action (DP)",5,4,0,0,9
1784560,1376011,2024-02-05,House,"House Rules Committee Action (C&P)",9,0,0,0,9
1784560,1384454,2024-02-14,House,"House - Third Reading",31,27,0,0,58
1784560,1402129,2024-03-04,Senate,"Senate Finance and Commerce Committee Action (DP)",4,3,0,0,7
1784560,1407095,2024-03-11,Senate,"Senate Rules Committee Action (PFC)",0,0,0,0,0
1784560,1440800,2024-05-08,Senate,"Senate - Committee of the Whole (DPA)",0,0,0,0,0
1784560,1440801,2024-05-08,Senate,"Motion Sundareshan to include the Sundareshan flr amend (ref Bill)",13,15,2,0,30
1784560,1456660,2024-06-12,Senate,"Senate - Third Reading",18,10,2,0,30
1784560,1457657,2024-06-14,House,"House - Concurrence",0,0,0,0,0
1784560,1457658,2024-06-14,House,"House - Third Reading",38,20,2,0,60
1784565,1372008,2024-01-30,House,"House Natural Resources, Energy & Water Committee Action (DP)",9,0,0,0,9
1784577,1367857,2024-01-23,House,"House Natural Resources, Energy & Water Committee Action (DPA)",6,3,0,0,9
1784577,1370893,2024-01-29,House,"House Rules Committee Action (C&P)",8,0,1,0,9
1784577,1389056,2024-02-20,House,"House - Committee of the Whole (DPA)",0,0,0,0,0
1784577,1396035,2024-02-27,House,"House - Third Reading",43,15,1,0,59
1784577,1413551,2024-03-21,Senate,"Senate Natural Resources, Energy and Water Committee Action (DP)",4,3,0,0,7
1784577,1418070,2024-04-01,Senate,"Senate Rules Committee Action (PFC)",0,0,0,0,0
1784577,1429773,2024-04-17,Senate,"Senate - Committee of the Whole (DP)",0,0,0,0,0
1784577,1456636,2024-06-12,Senate,"Senate - Third Reading",18,9,3,0,30
