bill_id,people_id,position
1784068,4343,14
1784068,10699,2
1784068,10704,9
1784068,14704,13
1784068,15258,8
1784068,18569,6
1784068,22290,12
1784068,23027,10
1784068,23038,7
1784068,24183,4
1784068,24232,3
1784068,24253,1
1784068,24255,11
1784068,24497,5
1784069,24946,1
1784536,10708,1
1784538,10708,1
1784544,10708,1
1784548,10708,1
1784555,10708,1
1784560,10708,1
1784565,10708,1
1784571,10708,1
1784577,10708,1
1784582,10708,1
1784587,10708,1
1784649,10708,1
1784663,10708,1
1784676,10708,1
1784688,10708,1
1785256,10708,1
1785266,10708,1
1785275,10708,1
1785282,10708,1
1785290,10708,1
1785301,10708,1
1785311,10708,1
1785316,10708,1
1789562,10708,1
1789569,10708,1
1789574,10708,1
1789579,10708,1
1789585,10708,1
1789591,10708,1
1789597,10708,1
1789658,4262,13
1789658,10696,14
1789658,11744,12
1789658,20573,7
1789658,20751,5
1789658,21904,10
1789658,23023,8
1789658,23641,2
1789658,24231,11
1789658,24240,4
1789658,24245,1
1789658,24254,6
1789658,24370,3
1789658,24939,9
1789659,14709,2
1789659,22290,1
1789659,24245,3
1791166,4260,2
1791166,18652,1
1791178,18652,1
1791178,24242,2
1791190,18652,1
1791190,24243,2
1791203,18652,1
1791217,18652,1
1791217,20573,3
1791217,20754,8
1791217,23023,4
1791217,24241,2
1791217,24242,5
1791217,24243,6
1791217,24245,7
1791229,18652,1
1791242,18652,1
1791242,20573,2
1791242,24243,3
1791253,18652,1
1791253,24243,2
1791425,18607,2
1791425,20573,1
1791425,22290,4
1791425,24231,3
1791428,21903,1
1791431,23641,1
1791436,21903,1
1791439,21903,1
1791440,23641,1
1791443,22291,2
1791443,23641,1
1791443,24231,3
1791449,23641,1
1791452,23641,1
1791454,23641,1
1791458,23641,1
1791462,23641,1
1791464,18607,1
1791466,18607,1
1791559,19572,1
1791563,19572,1
1791570,19572,1
1791578,19572,1
1791587,19572,1
1791594,19572,1
1791602,19572,1
1793713,21899,1
1793714,4260,3
1793714,21899,1
1793714,21901,7
1793714,24239,4
1793714,24240,5
1793714,24249,6
1793714,24371,2
1793716,4260,5
1793716,21898,3
1793716,21899,1
1793716,21901,9
1793716,24237,4
1793716,24239,6
1793716,24249,7
1793716,24250,8
1793716,24371,2
1793717,4260,7
1793717,14707,3
1793717,16507,2
1793717,21898,5
1793717,21899,1
1793717,21901,12
1793717,24237,6
1793717,24239,8
1793717,24240,9
1793717,24244,13
1793717,24249,10
1793717,24250,11
1793717,24371,4
1793719,21899,1
1793721,4260,4
1793721,21899,1
1793721,21901,8
1793721,24237,3
1793721,24239,5
1793721,24249,6
1793721,24250,7
1793721,24371,2
1793723,4260,4
1793723,21899,1
1793723,21901,9
1793723,24237,3
1793723,24239,5
1793723,24240,6
1793723,24249,7
1793723,24250,8
1793723,24371,2
1793724,4260,5
1793724,21898,3
1793724,21899,1
1793724,21901,9
1793724,24237,4
1793724,24239,6
1793724,24240,7
1793724,24249,8
1793724,24371,2
1793726,4260,4
1793726,21899,1
1793726,21901,9
1793726,24237,3
1793726,24239,5
1793726,24240,6
1793726,24249,7
1793726,24250,8
1793726,24371,2
1793727,4260,5
1793727,21898,3
1793727,21899,1
1793727,21901,10
1793727,24237,4
1793727,24239,6
1793727,24240,7
1793727,24249,8
1793727,24250,9
1793727,24371,2
1793729,4260,5
1793729,21898,3
1793729,21899,1
1793729,21901,9
1793729,24237,4
1793729,24239,6
1793729,24249,7
1793729,24250,8
1793729,24371,2
1793741,4262,1
1793753,4262,1
1793764,4262,1
1793785,10708,1
1793793,10699,2
1793793,10704,7
1793793,14554,12
1793793,14555,17
1793793,14704,9
1793793,15258,6
1793793,18569,5
1793793,20571,15
1793793,22290,1
1793793,22292,20
1793793,23023,19
1793793,24183,4
1793793,24230,10
1793793,24232,3
1793793,24233,13
1793793,24234,14
1793793,24241,18
1793793,24243,21
1793793,24245,22
1793793,24247,11
1793793,24248,16
1793793,24255,8
1793793,24950,23
1793803,10708,1
1793811,10708,1
1793816,10708,1
1793823,23641,1
1793826,23641,1
1793829,14709,1
1793829,18652,3
1793829,20573,4
1793829,22290,2
1793829,24245,5
1793832,4230,4
1793832,14709,1
1793832,20571,3
1793832,24183,2
1793836,23641,1
1793839,23641,1
1793843,23641,1
1793846,23641,1
1793850,10708,1
1793853,23641,1
1793856,23641,1
1793859,14709,1
1793859,18652,3
1793859,20573,4
1793859,22290,2
1793859,24245,5
1793862,23641,1
1794096,24254,1
1794119,24254,1
1794140,24254,1
1794150,4262,1
1794153,4262,1
1794157,4262,1
1794157,24245,2
1794160,4262,1
1794167,4260,1
1794167,24250,2
1794174,4260,1
1794179,4260,1
1794184,4260,1
1794184,24250,2
1794188,4260,1
1794188,18652,2
1794194,4260,1
1794194,24250,2
1794197,4260,1
1794197,24250,2
1794203,24250,1
1794210,4260,1
1794210,24250,2
1794216,4260,1
1794222,4260,1
1794227,4260,1
1794231,4260,1
1794231,24250,2
1794239,4260,1
1794239,24250,2
1794243,4260,1
1794248,4260,1
1794251,4260,1
1794251,24250,2
1794338,24250,1
1794351,24250,1
1794587,24250,1
1794698,24250,1
1794708,24250,1
1795141,4262,1
1795185,4262,1
1795436,10708,1
1795436,21901,2
1795479,10708,1
1795522,10708,1
1795565,10708,1
1795607,10708,1
1796212,18663,1
1796257,18663,1
1796300,18652,1
1796347,18663,1
1796391,18663,1
1796436,18663,1
1796486,18652,1
1796539,18663,1
1796540,4260,1
1796547,24939,1
1796549,14709,3
1796549,23641,2
1796549,24939,1
1796557,24939,1
1796563,24939,1
1796566,24939,1
1796573,23641,2
1796573,24939,1
1796577,24939,1
1796582,20749,4
1796582,23641,2
1796582,24240,1
1796582,24244,3
1796591,18652,2
1796591,22290,1
1796594,18652,2
1796594,22290,1
1796594,24245,3
1796599,23641,2
1796599,24939,1
1796826,4260,1
1797216,4260,3
1797216,23641,2
1797216,24254,1
1797283,4260,5
1797283,18652,3
1797283,23641,2
1797283,24184,4
1797283,24254,1
1797346,18652,2
1797346,24241,1
1797424,24244,1
1797436,10708,1
1797444,14709,1
1797457,4260,7
1797457,10708,5
1797457,16507,2
1797457,21898,4
1797457,21899,1
1797457,21901,12
1797457,24237,6
1797457,24239,8
1797457,24240,9
1797457,24244,13
1797457,24249,10
1797457,24250,11
1797457,24371,3
1797467,10708,1
1797478,10708,1
1797488,14709,1
1797500,24244,1
1797511,10708,1
1797520,23642,2
1797520,24244,1
1797532,22290,2
1797532,24231,1
1797532,24371,3
1797544,14709,1
1797552,10708,1
1797562,14709,1
1797573,10708,1
1797584,10708,1
1797594,4343,3
1797594,22290,2
1797594,24231,1
1797594,24371,4
1797605,14709,1
1797614,14709,1
1797623,14709,1
1797632,10708,1
1797644,24250,1
1797653,14709,1
1797663,24244,1
1797671,4260,5
1797671,16507,1
1797671,21899,2
1797671,21901,10
1797671,24237,4
1797671,24239,6
1797671,24240,7
1797671,24249,8
1797671,24250,9
1797671,24371,3
1798491,24939,1
1798513,24939,1
1798542,19572,1
1798567,19572,1
1798589,24939,1
1798611,19572,1
1799056,14709,1
1799062,24240,1
1799068,18652,1
1799068,23883,2
1799068,24241,3
1799068,24245,4
1799068,24246,5
1799075,24240,1
1799080,18652,1
1799086,18652,1
1799086,23038,2
1799093,18652,1
1799093,23038,2
1799100,23641,1
1799107,23641,1
1799112,4262,8
1799112,18652,4
1799112,20249,2
1799112,23050,3
1799112,24237,5
1799112,24240,1
1799112,24244,7
1799112,24249,6
1799112,24371,9
1799119,24240,1
1799127,23641,1
1799133,18652,1
1799133,23883,2
1799138,24240,1
1799144,18652,1
1799144,22290,5
1799144,23038,4
1799144,24245,2
1799144,24246,3
1799153,24240,1
1799159,23641,1
1799168,14709,1
1799168,23642,2
1799172,4260,1
