Date,State,Bill No,Title,Action
"June 13, 2023",AZ,SB 1595,Amends Rules Concerning Early Ballot ID Requirements,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (16 - 12)"
"June 13, 2023",AZ,SB 1471,Requires Hand Tabulation for Ballots,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (16 - 12)"
"June 13, 2023",AZ,SB 1332,Requires the Publication of Certain Cast Vote Records,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (16 - 12)"
"June 13, 2023",AZ,SB 1013,Extends Expanded Free Speech Protections to College Campuses,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (23 - 5)"
"June 13, 2023",AZ,SB 1432,Establishes Updated Water Regulations for Arizona,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (20 - 8)"
"June 13, 2023",AZ,SB 1095,Amends Rules Concerning Early Ballot Envelopes,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (16 - 12)"
"June 13, 2023",AZ,SB 1588,Establishes a criminal Justice Data Collection System,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (16 - 12)"
"June 13, 2023",AZ,SB 1598,Amends Rules Concerning Election Observers,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (16 - 12)"
"June 12, 2023",AZ,SB 1588,Establishes a criminal Justice Data Collection System,"Bill Passed
                           - House
                      

                      
                          (39 - 21)"
"June 12, 2023",AZ,SB 1432,Establishes Updated Water Regulations for Arizona,"Bill Passed
                           - House
                      

                      
                          (40 - 20)"
"May 15, 2023",AZ,HB 2305,Authorizes Party Officials Observe the Entire Ballot Signature Verification Process,"Concurrence Vote Passed
                           - House
                      

                      
                          (31 - 26)"
"May 15, 2023",AZ,HB 2308,Requires the Secretary of State Recuse Themselves from Overseeing Elections in Which they are a Candidate,"Concurrence Vote Passed
                           - House
                      

                      
                          (31 - 26)"
"May 15, 2023",AZ,SB 1595,Amends Rules Concerning Early Ballot ID Requirements,"Bill Passed
                           - House
                      

                      
                          (31 - 27)"
"May 15, 2023",AZ,SB 1598,Amends Rules Concerning Election Observers,"Bill Passed
                           - House
                      

                      
                          (31 - 27)"
"May 15, 2023",AZ,SB 1332,Requires the Publication of Certain Cast Vote Records,"Bill Passed
                           - House
                      

                      
                          (31 - 27)"
"May 15, 2023",AZ,SB 1471,Requires Hand Tabulation for Ballots,"Bill Passed
                           - House
                      

                      
                          (31 - 27)"
"May 15, 2023",AZ,SB 1095,Amends Rules Concerning Early Ballot Envelopes,"Bill Passed
                           - House
                      

                      
                          (33 - 25)"
"May 15, 2023",AZ,SB 1201,Reduces the Number of Signatures Election Officials Could Use to Verify Ballot Signatures,"Bill Passed
                           - House
                      

                      
                          (31 - 27)"
"May 15, 2023",AZ,SB 1141,Requires Voter ID at Polling Places and for Absentee Ballot Submission,"Bill Failed
                           - House
                      

                      
                          (29 - 28)"
"May 15, 2023",AZ,HB 2560,Authorizes the State to Release More Voter Registration and Ballot Image Data to the Public,"Bill Passed
                           - Senate
                      

                      
                          (19 - 9)"
"May 15, 2023",AZ,SB 1597,Requires On-Site Tabulation of All Election Ballots,"Bill Passed
                           - House
                      

                      
                          (31 - 26)"
"May 15, 2023",AZ,SB 1180,Prohibits an Individual From Being Paid on the Basis of How Many Voter Registration Forms They Collect,"Bill Passed
                           - House
                      

                      
                          (35 - 23)"
"May 15, 2023",AZ,SB 1264,Prohibits Election Officials or Workers from Being in Political Action Committees,"Bill Passed
                           - House
                      

                      
                          (42 - 16)"
"May 15, 2023",AZ,SB 1135,Authorizes the State to Exit the Electronic Registration Information Center,"Bill Passed
                           - House
                      

                      
                          (31 - 27)"
"May 15, 2023",AZ,SB 1066,Requires All Nongovernmental Entities Sending Election-Related Information Specify Their Status,"Bill Passed
                           - House
                      

                      
                          (38 - 20)"
"May 15, 2023",AZ,SB 1221,Amends Biometric Laws Regarding Fingerprinting,"Bill Passed
                           - House
                      

                      
                          (41 - 17)"
"May 15, 2023",AZ,HB 2560,Authorizes the State to Release More Voter Registration and Ballot Image Data to the Public,"Bill Passed
                           - House
                      

                      
                          (31 - 27)"
"May 10, 2023",AZ,HB 2482,Expands Arizona Criminal Justice Commission's Automated Crime Victim Notification System,"Bill Passed
                           - Senate
                      

                      
                          (26 - 4)"
"May 10, 2023",AZ,HB 2613,Requires 100% of a Voting Machine be Manufactured in the United States,"Bill Passed
                           - Senate
                      

                      
                          (16 - 14)"
"May 10, 2023",AZ,HB 2561,Amends Water Provider Regulations for Arizona Municipalities,"Bill Passed
                           - House
                      

                      
                          (43 - 10)"
"April 13, 2023",AZ,HB 2509,"Authorizes the Individual Sale of ""Cottage Foods"" or Home Baked Goods","Concurrence Vote Passed
                           - House
                      

                      
                          (45 - 11)"
"April 12, 2023",AZ,SB 1021,Requires the Arizona Attorney General Defend the Constitutionality of Any Bill Signed into Law,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (16 - 13)"
"April 12, 2023",AZ,HB 2691,Requires a Video Livestream of Ballots During the Signature Matching Process,"Bill Passed
                           - Senate
                      

                      
                          (16 - 13)"
"April 12, 2023",AZ,HB 2394,"Prohibits Any County or Municipality in Arizona from Enacting New Taxes, Levies or Fees on Firearms or Ammunition","Bill Passed
                           - Senate
                      

                      
                          (16 - 14)"
"April 12, 2023",AZ,HB 2474,Prohibits Schools from Requiring Students Receive Vaccines Approved via Emergency Authorization,"Bill Passed
                           - Senate
                      

                      
                          (17 - 12)"
"April 11, 2023",AZ,HB 2305,Authorizes Party Officials Observe the Entire Ballot Signature Verification Process,"Bill Passed
                           - Senate
                      

                      
                          (16 - 13)"
"April 11, 2023",AZ,HB 2319,Amends How Judges Interpret Election Laws,"Bill Passed
                           - Senate
                      

                      
                          (16 - 13)"
"April 11, 2023",AZ,SB 1260,Reduces the Arizona Small Business Tax Rate from 2.8% to 2.5%,"Bill Passed
                           - House
                      

                      
                          (36 - 11)"
"April 10, 2023",AZ,SB 1565,Prohibits Arizona Counties from Using Artificial Intelligence in Verifying a Voter's Signature,"Bill Passed
                           - House
                      

                      
                          (31 - 26)"
"April 5, 2023",AZ,SB 1021,Requires the Arizona Attorney General Defend the Constitutionality of Any Bill Signed into Law,"Bill Passed
                           - House
                      

                      
                          (31 - 27)"
"April 5, 2023",AZ,HB 2509,"Authorizes the Individual Sale of ""Cottage Foods"" or Home Baked Goods","Bill Passed
                           - Senate
                      

                      
                          (26 - 4)"
"April 5, 2023",AZ,HB 2552,Prohibits Ranked Choice Voting,"Bill Passed
                           - Senate
                      

                      
                          (16 - 14)"
"April 4, 2023",AZ,HB 2308,Requires the Secretary of State Recuse Themselves from Overseeing Elections in Which they are a Candidate,"Bill Passed
                           - Senate
                      

                      
                          (16 - 14)"
"April 4, 2023",AZ,HB 2415,Authorizes the Removal of Voters from Arizona's Permanent Mail-In Voting List,"Bill Passed
                           - Senate
                      

                      
                          (16 - 14)"
"April 4, 2023",AZ,HB 2322,Amends and Codifies Outdated Signature Verification Guidelines,"Bill Passed
                           - Senate
                      

                      
                          (16 - 14)"
"March 29, 2023",AZ,HB 2477,Specifies the Importance of the Electoral College to United States Elections,"Bill Passed
                           - Senate
                      

                      
                          (16 - 13)"
"March 21, 2023",AZ,SB 1017,Expands Coverage of Cochlear Implants to Adults Through Arizona's Medicaid Program,"Bill Passed
                           - Senate
                      

                      
                          (23 - 6)"
"March 21, 2023",AZ,SB 1135,Authorizes the State to Exit the Electronic Registration Information Center,"Bill Passed
                           - Senate
                      

                      
                          (16 - 13)"
"March 16, 2023",AZ,SB 1030,"Amends Restrictions on Adult Oriented Businesses to Include  ""Sexually Explicit Performances""","Bill Passed
                           - Senate
                      

                      
                          (16 - 12)"
"March 16, 2023",AZ,SB 1028,Prohibits Adult Cabaret Performances in Public Locations,"Bill Passed
                           - Senate
                      

                      
                          (16 - 12)"
"March 16, 2023",AZ,SB 1221,Amends Biometric Laws Regarding Fingerprinting,"Bill Passed
                           - Senate
                      

                      
                          (23 - 4)"
"March 7, 2023",AZ,HB 2613,Requires 100% of a Voting Machine be Manufactured in the United States,"Bill Passed
                           - House
                      

                      
                          (31 - 29)"
"March 7, 2023",AZ,SB 1597,Requires On-Site Tabulation of All Election Ballots,"Bill Passed
                           - Senate
                      

                      
                          (16 - 14)"
"March 2, 2023",AZ,SB 1698,"Prohibits Minor Exposure to ""Drag Shows""","Bill Passed
                           - Senate
                      

                      
                          (16 - 14)"
