bill_id,session,version_status,original_sponsor,current_sponsor,requested_by,title,bill_url
SB0001,2023_2024_RS,As introduced,Senator Steffen,Senator Steffen,,Prohibiting internet social media terms of service that permit censorship of speech and making violations subject to civil fines under the Kansas consumer protection act.,http://kslegislature.org/li/b2023_24/measures/sb1/
SB0002,2023_2024_RS,As Amended by Senate Committee; As introduced,Senator Faust-Goudeau,Senator Faust-Goudeau,,Authorizing certain individuals with revoked driver’s licenses to be eligible for restricted driving privileges.,http://kslegislature.org/li/b2023_24/measures/sb2/
SB0003,2023_2024_RS,"Enrolled - Law effective July 1, 2023; As introduced",Senator Bowers,Senator Bowers,,Designating Silvisaurus condrayi as the official state land fossil.,http://kslegislature.org/li/b2023_24/measures/sb3/
SB0004,2023_2024_RS,As introduced,Senator Fagg,Senator Fagg,,Providing for a sales tax exemption for construction or repair of buildings used for human habitation by the Kansas state school for the blind and the Kansas state school for the deaf.,http://kslegislature.org/li/b2023_24/measures/sb4/
SB0005,2023_2024_RS,As introduced,Senator Steffen,Senator Steffen,,Prohibiting the prescribing of drugs intended to cause an abortion using telemedicine and restricting the governor's power during a state of emergency to alter such prohibitions.,http://kslegislature.org/li/b2023_24/measures/sb5/
SB0006,2023_2024_RS,As introduced,Senator Steffen,Senator Steffen,,Restricting the authority of the secretary of health and environment and local health officers to prevent the introduction and spread of infectious or contagious diseases; repealing the authority of the secretary to quarantine individuals and impose associated penalties.,http://kslegislature.org/li/b2023_24/measures/sb6/
SB0007,2023_2024_RS,As introduced,Senator Steffen,Senator Steffen,,Reducing income tax rates for resident individuals domiciled in a rural equity decline county.,http://kslegislature.org/li/b2023_24/measures/sb7/
SB0008,2023_2024_RS,"Enrolled; As Amended by House Committee; As Amended by Senate Committee; As introduced; Thu, Apr 6, 2023",Senator Steffen,Senator Steffen,,"Reducing penalties for the late filing of and the failure to file personal property renditions and the discovery of escaped personal property, requiring filing only an initial statement with county appraiser for personal property, decreasing the penalties for failing to timely remit withholding income taxes of employees by employers, extending reimbursement from the taxpayer notification costs fund for printing and postage costs for county clerks for calendar year 2024, modifying and prescribing the contents of the revenue neutral rate public hearing notice, providing two prior years' values on the annual valuation notice, allowing for filing of an appraisal by a certified residential real property appraiser for appeal purposes, discontinuing the prohibition of paying taxes under protest after a valuation notice appeal, accounting for adverse influences in the valuation of agricultural land, including properties used for registered agritourism activities as land devoted to agricultural use for purposes of classification, providing a property tax exemption for certain business property operated in competition with property owned or operated by a governmental entity, providing income tax subtraction modifications to permit the carryforward of certain net operating losses for individuals and for the federal work opportunity tax credit and the employee retention credit disallowances, increasing the tax credit amount for adoption expenses and making the credit refundable, increasing the amount of income tax credits available for purchases under the disability employment act from qualified vendors, continuing in existence such credits beyond tax year 2023 and defining qualifying vendors and eligible employees, establishing a tax credit for contributions to eligible charitable organizations operating pregnancy centers or residential maternity facilities, clarifying the determination of taxable income of an electing pass-through entity and providing for the passing through of tax credits to electing pass-through entity owners for purposes of the salt parity act, excluding social security payments from household income and expanding eligibility for seniors and disabled veterans related to increased property tax homestead refund claims, providing a sales tax exemption for sales of property and services used in the provision of communications services and excluding manufacturers' coupons from the sales or selling price.",http://kslegislature.org/li/b2023_24/measures/sb8/
SB0009,2023_2024_RS,As introduced,Senator Steffen,Senator Steffen,,Adding tianeptine to schedule I of the uniform controlled substances act.,http://kslegislature.org/li/b2023_24/measures/sb9/
SB0010,2023_2024_RS,As introduced,Senator Hawk,Senator Hawk,,"Increasing the daily rate of compensation and eliminating the annualization of compensation in determining KPERS benefits and contributions for legislators first serving on or after January 13, 2025, and providing a compensation and KPERS benefits election for legislators with service prior to January 13, 2025.",http://kslegislature.org/li/b2023_24/measures/sb10/
SB0011,2023_2024_RS,"Enrolled - Law effective March 16, 2023; As introduced",Senator Bowers,Senator Bowers,,"Reauthorizing the placement of a life-size version of the ""Ad Astra"" sculpture on state capitol grounds, transferring the approval authority to the capitol preservation committee and making appropriations for the department of administration for FY 2023.",http://kslegislature.org/li/b2023_24/measures/sb11/
SB0012,2023_2024_RS,As introduced,Senator Thompson; Senator Steffen,Senator Thompson; Senator Steffen,,Enacting the Kansas child mutilation prevention act to criminalize performing gender reassignment surgery or prescription of hormone replacement therapy on certain persons and providing grounds for unprofessional conduct for healing arts licensees.,http://kslegislature.org/li/b2023_24/measures/sb12/
SB0013,2023_2024_RS,As Amended by House Committee; As Amended by Senate Committee; As introduced,Senator Hawk; Senator Billinger,Senator Hawk; Senator Billinger,,Permitting certain local broadcasters to provide broadcast services of a school's postseason activities notwithstanding if the state high school activities association enters into an exclusive broadcast agreement for postseason activities.,http://kslegislature.org/li/b2023_24/measures/sb13/
SB0014,2023_2024_RS,"As Amended by House Committee; As introduced; Thu, Apr 4, 2024; Wed, Apr 5, 2023",Committee on Financial Institutions and Insurance,Committee on Financial Institutions and Insurance,"Eric Turek, Kansas Insurance Department",Updating the version of risk-based capital instructions in effect.,http://kslegislature.org/li/b2023_24/measures/sb14/
SB0015,2023_2024_RS,"Enrolled; As Amended by House Committee; As introduced; Mon, Jan 29, 2024",Committee on Financial Institutions and Insurance,Committee on Financial Institutions and Insurance,"Eric Turek, Kansas Insurance Department","Increasing the maximum amount of yearly income tax credits available for purchases under the disability employment act from qualified vendors, continuing in existence such credits beyond tax year 2023 of eligible purchases available for such credit and further defining qualifying vendors and employees eligible for the credit, establishing a grant program to facilitate transitions by employers to minimum wage employment for persons with disabilities and creating the Kansas sheltered workshop transition fund.",http://kslegislature.org/li/b2023_24/measures/sb15/
SB0016,2023_2024_RS,As introduced,Committee on Financial Institutions and Insurance,Committee on Financial Institutions and Insurance,"Eric Turek, Kansas Insurance Department",Discontinuing certain exemptions from the pharmacy benefits manager act.,http://kslegislature.org/li/b2023_24/measures/sb16/
SB0017,2023_2024_RS,"Enrolled; As Amended by House Committee; As introduced; Thu, Apr 6, 2023",Committee on Financial Institutions and Insurance,Committee on Financial Institutions and Insurance,"Eric Turek, Kansas Insurance Department","Expanding the use of bond proceeds under the Kansas reinvestment housing incentive district act and the transferability of income, privilege and premium tax credits issued under the Kansas housing investor tax credit act.",http://kslegislature.org/li/b2023_24/measures/sb17/
SB0018,2023_2024_RS,"Enrolled; As Amended by House Committee; As introduced; Thu, Apr 4, 2024",Committee on Financial Institutions and Insurance,Committee on Judiciary,"Eric Turek, Kansas Insurance Department","Enacting the Kansas campus restoration act to address deferred maintenance and demolition of facilities at postsecondary educational institutions, establishing the Kansas campus restoration fund in the state treasury and authorizing certain transfers from the state general fund to such fund.",http://kslegislature.org/li/b2023_24/measures/sb18/
SB0019,2023_2024_RS,"Enrolled; As Amended by House Committee; As introduced; Fri, Apr 5, 2024",Committee on Financial Institutions and Insurance,Committee on Financial Institutions and Insurance,"Eric Turek, Kansas Insurance Department",Establishing the Kansas national guard educational master's for enhanced readiness and global excellence (EMERGE) program and the EMERGE program repayment fund and requiring school districts to establish requirements for cardiac emergency response plans.,http://kslegislature.org/li/b2023_24/measures/sb19/
SB0020,2023_2024_RS,As introduced,Senator Steffen; Senator Thompson,Senator Steffen; Senator Thompson,,"Requiring child care facilities, elementary, secondary, postsecondary educational institutions and employers to grant exemptions from vaccine requirements without inquiring into the sincerity of the request and repealing the meningitis vaccine requirement to live in student housing.",http://kslegislature.org/li/b2023_24/measures/sb20/
SB0021,2023_2024_RS,As introduced,Committee on Assessment and Taxation,Committee on Assessment and Taxation,Senator Faust-Goudeau,Providing an annual sales tax holiday for sales of certain school supplies.,http://kslegislature.org/li/b2023_24/measures/sb21/
