bill_id,session,version_status,original_sponsor,current_sponsor,requested_by,title,bill_url
SB0001,2024_SS,Enrolled; As introduced,Senator Masterson; Senator Alley; Senator Erickson; Senator Kloos; Senator Wilborn,Senator Masterson; Senator Alley; Senator Erickson; Senator Kloos; Senator Wilborn,,"Modifying income tax rates for individuals, exempting all social security benefits from Kansas income tax, increasing the Kansas standard deduction and the Kansas personal exemption, increasing the income tax credit amount for household and dependent care expenses, decreasing the privilege tax normal tax, excluding internal revenue code section 1031 exchange transactions as indicators of fair market value for property tax valuation purposes, increasing the extent of property tax exemption for residential property from the statewide school levy, providing for certain transfers to the state school district finance fund and abolishing the local ad valorem tax reduction fund and the county and city revenue sharing fund.",http://kslegislature.org/li_2024s/b2023_24/measures/sb1/
SB0002,2024_SS,As introduced,Senator Holland; Senator Francisco,Senator Holland; Senator Francisco,,"Eliminating the income limit to qualify for the subtraction modification exempting social security benefits, increasing the income tax credit amount for household and dependent care expenses, establishing the veterans' valor property tax relief act providing for an income tax credit or refund for eligible individuals, citing the increased property tax homestead refund claim section as the homeowners' property tax freeze program, decreasing the normal privilege tax rate, increasing the extent of property tax exemption for residential property from the statewide school levy, decreasing the rate of ad valorem tax imposed by a school district; providing for certain transfers to the state school district finance fund, reducing the state rate of tax on sales of food and food ingredients and modifying the percent credited to the state highway fund from revenue collected.",http://kslegislature.org/li_2024s/b2023_24/measures/sb2/
SB0003,2024_SS,As introduced,Senator Thompson,Senator Thompson,,Clarifying the procedures and restrictions on accepting a nomination for an elected office.,http://kslegislature.org/li_2024s/b2023_24/measures/sb3/
SB0004,2024_SS,As introduced,Senator Thompson,Senator Thompson,,Requiring all advance voting ballots be returned by 7:00 p.m. on election day.,http://kslegislature.org/li_2024s/b2023_24/measures/sb4/
SB0005,2024_SS,As introduced,Senator Haley,Senator Haley,,Authorizing counties to impose an earnings tax.,http://kslegislature.org/li_2024s/b2023_24/measures/sb5/
SB0006,2024_SS,As introduced,Senator Haley,Senator Haley,,Providing a sales tax exemption for sales of electricity to residential premises by municipally owned or operated utilities.,http://kslegislature.org/li_2024s/b2023_24/measures/sb6/
SB0007,2024_SS,As introduced,Senator Pyle,Senator Pyle,,"Authorizing federally licensed firearm dealers, in addition to county sheriffs, to receive applications for concealed carry licenses and forward such applications to the attorney general, prohibiting sheriffs from assessing any fee related to application services and allowing dealers to assess a fee related to application services not to exceed $20.",http://kslegislature.org/li_2024s/b2023_24/measures/sb7/
SB0008,2024_SS,As introduced,Senator Claeys,Senator Claeys,,"Exempting the sale of firearms, firearms accessories, ammunition, firearm safes and firearm safety devices from the retatilers' sales tax.",http://kslegislature.org/li_2024s/b2023_24/measures/sb8/
HB2001,2024_SS,"Enrolled - Law effective July 1, 2024; As introduced",Representative Hawkins,Representative Hawkins,,"Authorizing the secretary of commerce to enter into agreements with major professional sports franchises to establish STAR bond projects for a major professional sports complex, providing for additional revenue sources, expanding the powers and discretion of the secretary and making other changes to the STAR bonds financing act to facilitate such projects, limiting the secretary’s authority to approve such projects to one year unless extended by the legislative coordinating council, authorizing the Kansas development finance authority to issue STAR bonds for such projects, transferring funds under certain circumstances from the state gaming revenues fund to the attracting professional sports to Kansas fund for the fiscal year ending June 30, 2025, and, if approved by the legislative coordinating council, for the fiscal year ending June 30, 2026.",http://kslegislature.org/li_2024s/b2023_24/measures/hb2001/
HB2002,2024_SS,As introduced,Representative Stogsdill,Representative Stogsdill,,Expanding medical assistance eligibility and enacting the cutting healthcare costs for all Kansans act.,http://kslegislature.org/li_2024s/b2023_24/measures/hb2002/
HB2003,2024_SS,As introduced,Representative Proctor; Representative Buehler; Representative Butler; Representative Collins; Representative Ellis,Representative Proctor; Representative Buehler; Representative Butler; Representative Collins; Representative Ellis,,"Establishing the veterans' valor property tax relief act providing for an income tax credit or refund for eligible individuals, modifying the definition of household income and increasing the appraised value threshold for eligibility of seniors and disabled veterans related to increased property tax claims and citing the section as the homeowners' property tax freeze program, providing property tax exemptions for certain personal property including watercraft, marine equipment, off-road vehicles, motorized bicycles and certain trailers, excluding internal revenue code section 1031 exchange transactions as indicators of fair market value, providing for certain exclusions from the prohibition of paying taxes under protest after a valuation notice appeal and providing four prior years' values on the annual valuation notice.",http://kslegislature.org/li_2024s/b2023_24/measures/hb2003/
HB2004,2024_SS,As introduced,Representative Curtis; Representative Oropeza; Representative Winn,Representative Curtis; Representative Oropeza; Representative Winn,,Authorizing counties to propose an earnings tax for ballot question.,http://kslegislature.org/li_2024s/b2023_24/measures/hb2004/
SR1701,2024_SS,Enrolled; As introduced,Senator Masterson; Senator Alley; Senator Sykes,Senator Masterson; Senator Alley; Senator Sykes,,Providing for the organization of the Senate for the 2024 special session of the Legislature.,http://kslegislature.org/li_2024s/b2023_24/measures/sr1701/
SR1702,2024_SS,Enrolled; As introduced,Senator Haley; Senator Baumgardner,Senator Haley; Senator Baumgardner,,"A resolution honoring the life, career and trailblazing achievements of Kansas icon Ed Dwight.",http://kslegislature.org/li_2024s/b2023_24/measures/sr1702/
SR1703,2024_SS,Enrolled; As introduced,Senator Faust-Goudeau,Senator Faust-Goudeau,,"Recognizing November 14, 2024, as Ruby Bridges Walk to School Day.",http://kslegislature.org/li_2024s/b2023_24/measures/sr1703/
HR6001,2024_SS,Enrolled; As introduced,"Representative Hawkins; Representative Croft; Representative Miller, V.","Representative Hawkins; Representative Croft; Representative Miller, V.",,Providing for the organization of the House of Representatives for the 2024 special session of the Legislature.,http://kslegislature.org/li_2024s/b2023_24/measures/hr6001/
HR6002,2024_SS,Enrolled; As introduced,"Representative Hawkins; Representative Croft; Representative Miller, V.","Representative Hawkins; Representative Croft; Representative Miller, V.",,Providing for assignment of seats in the House of Representatives for the 2024 special session of the Legislature.,http://kslegislature.org/li_2024s/b2023_24/measures/hr6002/
SCR1601,2024_SS,Enrolled; As introduced,Senator Masterson; Senator Alley; Senator Sykes,Senator Masterson; Senator Alley; Senator Sykes,,Informing the Governor that the two houses of the Legislature are organized and ready to receive communications.,http://kslegislature.org/li_2024s/b2023_24/measures/scr1601/
SCR1602,2024_SS,As introduced,Senator Haley,Senator Haley,,Approving the creation of a port authority in Wyandotte County Kansas.,http://kslegislature.org/li_2024s/b2023_24/measures/scr1602/
SCR1603,2024_SS,As introduced,Senator Holland,Senator Holland,,Proposing to amend section 1 of article 11 of the constitution of the state of Kansas to limit property tax valuation increases for residential property.,http://kslegislature.org/li_2024s/b2023_24/measures/scr1603/
SCR1604,2024_SS,As introduced,Senator Tyson; Senator Baumgardner; Senator Blasi; Senator Claeys; Senator Kerschen,Senator Tyson; Senator Baumgardner; Senator Blasi; Senator Claeys; Senator Kerschen,,Proposing to amend section 1 of article 11 of the constitution of the state of Kansas to limit property tax valuation increases for real property and personal property mobile homes.,http://kslegislature.org/li_2024s/b2023_24/measures/scr1604/
