bill_id,term,session,title,commem
SB0039,2023_2024,2023-2024-RS,Directing the capitol preservation committee to develop and approve plans for a mural honoring the 1st Kansas (Colored) Voluntary Infantry regiment.,1
HB2088,2023_2024,2023-2024-RS,Directing the capitol preservation committee to develop and approve plans for a mural honoring the 1st Kansas (Colored) Voluntary Infantry regiment.,1
HB2507,2023_2024,2023-2024-RS,Designating a bridge in Sumner county as the SrA Derek Scott Martin memorial bridge.,1
SB0357,2023_2024,2023-2024-RS,Designating a portion of United States highway 81 as the Merle Miller memorial highway.,1
HB2014,2023_2024,2023-2024-RS,Designating a portion of United States highway 69 in Crawford county as the Robert Lessen memorial highway.,1
HB2298,2023_2024,2023-2024-RS,Designating a portion of interstate 435 as the Officer Donald Burton Gamblin Jr memorial highway and a portion of United States highway 69 as the Robert Lessen memorial highway.,1
HB2481,2023_2024,2023-2024-RS,"Designating portions of K-96 highway as the PFC Henry Lee Fisher memorial highway and the 96th Infantry Division memorial highway, a portion of United States highway 69 as the Ken W Brock memorial highway, a portion of United States highway 81 as the Merle Miller memorial highway and a portion of United States highway 281 as the first responders memorial highway, redesignating a current portion of the American Legion memorial highway for United States highway 281 and redesignating a current portion of the Frank Carlson memorial highway for United States highway 81, designating bridge No. 160-96-293.72 in Sumner county as the SrA Derek Scott Martin memorial bridge and designating the Atchison, Topeka and Santa Fe #3415 as the official state steam locomotive and the Abilene & Smoky Valley Railroad as the official state heritage railroad.",1
HB2575,2023_2024,2023-2024-RS,"Designating a portion of K-96 highway as the 96th ""Deadeye"" Infantry Division memorial highway.",1
HB2799,2023_2024,2023-2024-RS,Designating a portion of United States highway 281 in Russell county as the first responders memorial highway and redesignating a portion of the American Legion memorial highway.,1
SB0334,2023_2024,2023-2024-RS,Designating the Abilene & Smoky Valley Railroad as the official state heritage railroad.,1
HB2502,2023_2024,2023-2024-RS,Designating the Abilene & Smoky Valley Railroad as the official state heritage railroad.,1
SB0337,2023_2024,2023-2024-RS,"Designating the Atchison, Topeka and Santa Fe #3415 as the official state steam locomotive.",1
SB0003,2023_2024,2023-2024-RS,Designating Silvisaurus condrayi as the official state land fossil.,1
