bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1641874,2622196,text,64792,application/pdf,Introduced,https://legiscan.com/KS/text/HB2001/id/2622196,https://kslegislature.org/li/b2023_24/measures/documents/hb2001_00_0000.pdf
1641608,2621931,text,65268,application/pdf,Introduced,https://legiscan.com/KS/text/HB2002/id/2621931,https://kslegislature.org/li/b2023_24/measures/documents/hb2002_00_0000.pdf
1641608,2761412,text,147042,application/pdf,Amended,https://legiscan.com/KS/text/HB2002/id/2761412,https://kslegislature.org/li/b2023_24/measures/documents/hb2002_01_0000.pdf
1641608,2764605,text,172515,application/pdf,Amended,https://legiscan.com/KS/text/HB2002/id/2764605,https://kslegislature.org/li/b2023_24/measures/documents/hb2002_02_0000.pdf
1641608,2800904,text,310026,application/pdf,Enrolled,https://legiscan.com/KS/text/HB2002/id/2800904,https://kslegislature.org/li/b2023_24/measures/documents/hb2002_enrolled.pdf
1641613,2621936,text,78200,application/pdf,Introduced,https://legiscan.com/KS/text/HB2003/id/2621936,https://kslegislature.org/li/b2023_24/measures/documents/hb2003_00_0000.pdf
1641837,2622159,text,76208,application/pdf,Introduced,https://legiscan.com/KS/text/HB2004/id/2622159,https://kslegislature.org/li/b2023_24/measures/documents/hb2004_00_0000.pdf
1643898,2624116,text,96244,application/pdf,Introduced,https://legiscan.com/KS/text/HB2005/id/2624116,https://kslegislature.org/li/b2023_24/measures/documents/hb2005_00_0000.pdf
1644060,2624247,text,82924,application/pdf,Introduced,https://legiscan.com/KS/text/HB2006/id/2624247,https://kslegislature.org/li/b2023_24/measures/documents/hb2006_00_0000.pdf
1644113,2624289,text,85626,application/pdf,Introduced,https://legiscan.com/KS/text/HB2007/id/2624289,https://kslegislature.org/li/b2023_24/measures/documents/hb2007_00_0000.pdf
1644801,2624995,text,74914,application/pdf,Introduced,https://legiscan.com/KS/text/HB2008/id/2624995,https://kslegislature.org/li/b2023_24/measures/documents/hb2008_00_0000.pdf
1645244,2625344,text,231436,application/pdf,Introduced,https://legiscan.com/KS/text/HB2009/id/2625344,https://kslegislature.org/li/b2023_24/measures/documents/hb2009_00_0000.pdf
1644949,2625110,text,85051,application/pdf,Introduced,https://legiscan.com/KS/text/HB2010/id/2625110,https://kslegislature.org/li/b2023_24/measures/documents/hb2010_00_0000.pdf
1644949,2684531,text,118113,application/pdf,Amended,https://legiscan.com/KS/text/HB2010/id/2684531,https://kslegislature.org/li/b2023_24/measures/documents/hb2010_01_0000.pdf
1644949,2758026,text,513092,application/pdf,"Comm Sub",https://legiscan.com/KS/text/HB2010/id/2758026,https://kslegislature.org/li/b2023_24/measures/documents/hb2010_02_0000.pdf
1644949,2800475,text,489029,application/pdf,Enrolled,https://legiscan.com/KS/text/HB2010/id/2800475,https://kslegislature.org/li/b2023_24/measures/documents/hb2010_enrolled.pdf
1645097,2625227,text,113639,application/pdf,Introduced,https://legiscan.com/KS/text/HB2011/id/2625227,https://kslegislature.org/li/b2023_24/measures/documents/hb2011_00_0000.pdf
1654112,2634396,text,136743,application/pdf,Introduced,https://legiscan.com/KS/text/HB2012/id/2634396,https://kslegislature.org/li/b2023_24/measures/documents/hb2012_00_0000.pdf
1654407,2634656,text,62660,application/pdf,Introduced,https://legiscan.com/KS/text/HB2013/id/2634656,https://kslegislature.org/li/b2023_24/measures/documents/hb2013_00_0000.pdf
1653819,2636599,text,62247,application/pdf,Introduced,https://legiscan.com/KS/text/HB2014/id/2636599,https://kslegislature.org/li/b2023_24/measures/documents/hb2014_00_0000.pdf
1653819,2736247,text,76017,application/pdf,Amended,https://legiscan.com/KS/text/HB2014/id/2736247,https://kslegislature.org/li/b2023_24/measures/documents/hb2014_01_0000.pdf
1653819,2780769,text,83441,application/pdf,Enrolled,https://legiscan.com/KS/text/HB2014/id/2780769,https://kslegislature.org/li/b2023_24/measures/documents/hb2014_enrolled.pdf
1653783,2636607,text,69192,application/pdf,Introduced,https://legiscan.com/KS/text/HB2015/id/2636607,https://kslegislature.org/li/b2023_24/measures/documents/hb2015_00_0000.pdf
1653783,2745902,text,83043,application/pdf,Amended,https://legiscan.com/KS/text/HB2015/id/2745902,https://kslegislature.org/li/b2023_24/measures/documents/hb2015_01_0000.pdf
1653783,2754899,text,89845,application/pdf,Amended,https://legiscan.com/KS/text/HB2015/id/2754899,https://kslegislature.org/li/b2023_24/measures/documents/hb2015_02_0000.pdf
1653783,2780486,text,59721,application/pdf,Enrolled,https://legiscan.com/KS/text/HB2015/id/2780486,https://kslegislature.org/li/b2023_24/measures/documents/hb2015_enrolled.pdf
1654189,2636666,text,72594,application/pdf,Introduced,https://legiscan.com/KS/text/HB2016/id/2636666,https://kslegislature.org/li/b2023_24/measures/documents/hb2016_00_0000.pdf
1654189,2762820,text,108341,application/pdf,Amended,https://legiscan.com/KS/text/HB2016/id/2762820,https://kslegislature.org/li/b2023_24/measures/documents/hb2016_02_0000.pdf
1654189,2756418,text,80695,application/pdf,"Comm Sub",https://legiscan.com/KS/text/HB2016/id/2756418,https://kslegislature.org/li/b2023_24/measures/documents/hb2016_01_0000.pdf
1654189,2773948,text,82276,application/pdf,Enrolled,https://legiscan.com/KS/text/HB2016/id/2773948,https://kslegislature.org/li/b2023_24/measures/documents/hb2016_enrolled.pdf
1654263,2634528,text,103016,application/pdf,Introduced,https://legiscan.com/KS/text/HB2017/id/2634528,https://kslegislature.org/li/b2023_24/measures/documents/hb2017_00_0000.pdf
1653892,2636618,text,69214,application/pdf,Introduced,https://legiscan.com/KS/text/HB2018/id/2636618,https://kslegislature.org/li/b2023_24/measures/documents/hb2018_00_0000.pdf
1654077,2634365,text,62170,application/pdf,Introduced,https://legiscan.com/KS/text/HB2019/id/2634365,https://kslegislature.org/li/b2023_24/measures/documents/hb2019_00_0000.pdf
1654077,2750444,text,78589,application/pdf,Amended,https://legiscan.com/KS/text/HB2019/id/2750444,https://kslegislature.org/li/b2023_24/measures/documents/hb2019_01_0000.pdf
1654077,2780497,text,146821,application/pdf,Enrolled,https://legiscan.com/KS/text/HB2019/id/2780497,https://kslegislature.org/li/b2023_24/measures/documents/hb2019_enrolled.pdf
1654038,2634331,text,64740,application/pdf,Introduced,https://legiscan.com/KS/text/HB2020/id/2634331,https://kslegislature.org/li/b2023_24/measures/documents/hb2020_00_0000.pdf
1654038,2745965,text,78607,application/pdf,Amended,https://legiscan.com/KS/text/HB2020/id/2745965,https://kslegislature.org/li/b2023_24/measures/documents/hb2020_01_0000.pdf
1654038,2780416,text,59246,application/pdf,Enrolled,https://legiscan.com/KS/text/HB2020/id/2780416,https://kslegislature.org/li/b2023_24/measures/documents/hb2020_enrolled.pdf
1654150,2636651,text,150027,application/pdf,Introduced,https://legiscan.com/KS/text/HB2021/id/2636651,https://kslegislature.org/li/b2023_24/measures/documents/hb2021_00_0000.pdf
1654150,2691305,text,160551,application/pdf,Amended,https://legiscan.com/KS/text/HB2021/id/2691305,https://kslegislature.org/li/b2023_24/measures/documents/hb2021_01_0000.pdf
1654150,2761085,text,191642,application/pdf,Amended,https://legiscan.com/KS/text/HB2021/id/2761085,https://kslegislature.org/li/b2023_24/measures/documents/hb2021_02_0000.pdf
1654150,2800500,text,180992,application/pdf,Enrolled,https://legiscan.com/KS/text/HB2021/id/2800500,https://kslegislature.org/li/b2023_24/measures/documents/hb2021_enrolled.pdf
1654298,2636638,text,89412,application/pdf,Introduced,https://legiscan.com/KS/text/HB2022/id/2636638,https://kslegislature.org/li/b2023_24/measures/documents/hb2022_00_0000.pdf
1654334,2634590,text,91354,application/pdf,Introduced,https://legiscan.com/KS/text/HB2023/id/2634590,https://kslegislature.org/li/b2023_24/measures/documents/hb2023_00_0000.pdf
1654334,2699976,text,102978,application/pdf,Amended,https://legiscan.com/KS/text/HB2023/id/2699976,https://kslegislature.org/li/b2023_24/measures/documents/hb2023_01_0000.pdf
1656345,2637649,text,84084,application/pdf,Introduced,https://legiscan.com/KS/text/HB2024/id/2637649,https://kslegislature.org/li/b2023_24/measures/documents/hb2024_00_0000.pdf
1656345,2674745,text,112243,application/pdf,Amended,https://legiscan.com/KS/text/HB2024/id/2674745,https://kslegislature.org/li/b2023_24/measures/documents/hb2024_01_0000.pdf
1656345,2706488,text,119606,application/pdf,Amended,https://legiscan.com/KS/text/HB2024/id/2706488,https://kslegislature.org/li/b2023_24/measures/documents/hb2024_02_0000.pdf
1656345,2746155,text,132841,application/pdf,Amended,https://legiscan.com/KS/text/HB2024/id/2746155,https://kslegislature.org/li/b2023_24/measures/documents/hb2024_03_0000.pdf
1656345,2780266,text,153597,application/pdf,Enrolled,https://legiscan.com/KS/text/HB2024/id/2780266,https://kslegislature.org/li/b2023_24/measures/documents/hb2024_enrolled.pdf
1656808,2638087,text,90101,application/pdf,Introduced,https://legiscan.com/KS/text/HB2025/id/2638087,https://kslegislature.org/li/b2023_24/measures/documents/hb2025_00_0000.pdf
1656730,2638011,text,63185,application/pdf,Introduced,https://legiscan.com/KS/text/HB2026/id/2638011,https://kslegislature.org/li/b2023_24/measures/documents/hb2026_00_0000.pdf
