bill_id,date,chamber,sequence,action
1641608,2023-01-09,House,1,"House Prefiled for Introduction on Wednesday, December 14, 2022"
1641608,2023-01-09,House,2,"House Introduced"
1641608,2023-01-09,House,3,"House Referred to Committee on Taxation"
1641608,2023-01-24,House,4,"House Hearing: Tuesday, January 24, 2023, 3:30 PM Room 346-S"
1641608,2023-02-09,House,5,"House Committee Report recommending bill be passed by Committee on Taxation"
1641608,2023-03-09,House,6,"House Committee of the Whole - Be passed"
1641608,2023-03-09,House,7,"House Emergency Final Action - Passed;  Yea: 114 Nay: 7"
1641608,2023-03-09,Senate,8,"Senate Received and Introduced"
1641608,2023-03-10,Senate,9,"Senate Referred to Committee on Assessment and Taxation"
1641608,2023-03-20,Senate,10,"Senate Hearing: Monday, March 20, 2023, 9:30 AM Room 548-S"
1641608,2023-03-27,Senate,11,"Senate Committee Report recommending bill be passed as amended by Committee on Assessment and Taxation"
1641608,2023-03-29,Senate,12,"Senate Committee of the Whole - Committee Report be adopted"
1641608,2023-03-29,Senate,13,"Senate Committee of the Whole - Motion to Amend - Offered by  Senator Tyson"
1641608,2023-03-29,Senate,14,"Senate Committee of the Whole - Amendment by  Senator Tyson was adopted"
1641608,2023-03-29,Senate,15,"Senate Committee of the Whole - Be passed as further amended"
1641608,2023-03-29,Senate,16,"Senate Emergency Final Action - Passed as amended;  Yea: 34 Nay: 6"
1641608,2023-04-03,House,17,"House Nonconcurred with amendments; Conference Committee requested; appointed Representative Smith, A. , Representative Bergkamp and Representative Sawyer as conferees"
1641608,2023-04-05,Senate,18,"Senate Motion to accede adopted;  Senator Tyson,  Senator Peck and  Senator Holland appointed as conferees"
1641608,2023-04-06,Senate,19,"Senate Conference committee report now available"
1641608,2023-04-06,Senate,20,"Senate Conference Committee Report was adopted;  Yea: 37 Nay: 0"
1641608,2023-04-27,House,21,"House Motion to suspend Joint Rule 4 (k) to allow consideration adopted;"
1641608,2023-04-27,House,22,"House Conference Committee Report was adopted;  Yea: 122 Nay: 0"
1641608,2023-04-28,House,23,"House Enrolled and presented to Governor on Friday, May 5, 2023"
1641608,2023-04-28,House,24,"House Approved by Governor on Wednesday, May 10, 2023"
1641613,2023-01-09,House,1,"House Prefiled for Introduction on Tuesday, December 20, 2022"
1641613,2023-01-09,House,2,"House Introduced"
1641613,2023-01-09,House,3,"House Referred to Committee on Education"
1641613,2023-01-19,House,4,"House Hearing: Thursday, January 19, 2023, 1:30 PM Room 218-N"
