bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1641608,1272585,2023-03-09,House,"House Emergency Final Action - Passed - Yea: 114 Nay: 7",114,7,0,4,125
1641608,1288720,2023-03-29,Senate,"Senate Emergency Final Action - Passed as amended - Yea: 34 Nay: 6",34,6,0,0,40
1641608,1295863,2023-04-06,Senate,"Senate Conference Committee Report was adopted - Yea: 37 Nay: 0",37,0,0,3,40
1641608,1314041,2023-04-27,House,"House Conference Committee Report was adopted - Yea: 122 Nay: 0",122,0,0,3,125
1641663,1259633,2023-02-23,Senate,"Senate Final Action - Passed - Yea: 40 Nay: 0",40,0,0,0,40
1641663,1285548,2023-03-27,House,"House Emergency Final Action - Passed - Yea: 119 Nay: 4",119,4,0,2,125
1641697,1260845,2023-02-23,Senate,"Senate Emergency Final Action - Passed as amended - Yea: 39 Nay: 0",39,0,0,1,40
1641697,1287937,2023-03-29,House,"House Final Action - Passed as amended - Yea: 122 Nay: 2",122,2,0,1,125
1641697,1295842,2023-04-06,House,"House Conference Committee Report was adopted - Yea: 76 Nay: 43",76,43,0,6,125
1641697,1313020,2023-04-27,Senate,"Senate Conference Committee Report was adopted - Yea: 26 Nay: 13",26,13,1,0,40
1641802,1259756,2023-02-23,Senate,"Senate Final Action - Passed - Yea: 27 Nay: 12",27,12,1,0,40
1642151,1259472,2023-02-23,Senate,"Senate Final Action - Passed - Yea: 22 Nay: 18",22,18,0,0,40
1644006,1247362,2023-02-09,Senate,"Senate Consent Calendar Passed - Yea: 39 Nay: 0",39,0,0,1,40
1644006,1259416,2023-02-23,House,"House Final Action - Passed - Yea: 122 Nay: 0",122,0,0,3,125
1644949,1246856,2023-02-09,House,"House Final Action - Passed as amended - Yea: 118 Nay: 0",118,0,0,7,125
1644949,1286494,2023-03-28,Senate,"Senate Final Action - Substitute passed - Yea: 38 Nay: 2",38,2,0,0,40
1644949,1314289,2023-04-28,House,"House Concurred with amendments in conference - Yea: 120 Nay: 0",120,0,0,5,125
1645596,1260735,2023-02-23,Senate,"Senate Emergency Final Action - Passed as amended - Yea: 39 Nay: 0",39,0,0,1,40
1648870,1236206,2023-01-26,House,"House Final Action - Adopted - Yea: 80 Nay: 39",80,39,0,6,125
1648870,1241147,2023-02-02,Senate,"Senate Emergency Final Action - Adopted - Yea: 31 Nay: 4",31,4,2,3,40
1649183,1235556,2023-01-25,House,"House Committee of the Whole - Amendment by  Representative Fairchild was rejected - Yea: 49 Nay: 73",49,73,0,3,125
1649183,1235557,2023-01-25,House,"House Committee of the Whole - Amendment by  Representative Houser was rejected - Yea: 39 Nay: 73",39,73,0,13,125
1649183,1235558,2023-01-25,House,"House Committee of the Whole - Amendment by  Representative Miller, V. was rejected - Yea: 49 Nay: 70",49,70,0,6,125
1649183,1236419,2023-01-26,House,"House Final Action - Adopted as amended - Yea: 79 Nay: 41",79,41,0,5,125
1650473,1247314,2023-02-09,Senate,"Senate Emergency Final Action - Passed - Yea: 39 Nay: 0",39,0,0,1,40
1650473,1285928,2023-03-27,House,"House Emergency Final Action - Passed as amended - Yea: 117 Nay: 6",117,6,0,2,125
1650473,1295415,2023-04-06,House,"House Conference Committee Report was adopted - Yea: 63 Nay: 59",63,59,1,2,125
1650473,1295416,2023-04-06,Senate,"Senate Conference Committee Report was adopted - Yea: 31 Nay: 9",31,9,0,0,40
1650552,1247536,2023-02-09,Senate,"Senate Emergency Final Action - Passed - Yea: 39 Nay: 0",39,0,0,1,40
1650552,1282859,2023-03-23,House,"House Emergency Final Action - Passed as amended - Yea: 104 Nay: 18",104,18,0,3,125
1650552,1372418,2024-01-31,House,"House Conference Committee Report was adopted - Yea: 117 Nay: 1",117,1,0,7,125
1650552,1373337,2024-01-31,Senate,"Senate Conference Committee Report was adopted - Yea: 34 Nay: 0",34,0,1,5,40
1650893,1247417,2023-02-09,Senate,"Senate Emergency Final Action - Passed - Yea: 39 Nay: 0",39,0,0,1,40
1650893,1277308,2023-03-16,House,"House Emergency Final Action - Passed as amended - Yea: 121 Nay: 0",121,0,0,4,125
1650893,1421536,2024-04-05,House,"House Conference Committee Report was adopted - Yea: 119 Nay: 3",119,3,1,2,125
1650893,1421537,2024-04-05,Senate,"Senate Conference Committee Report was adopted - Yea: 26 Nay: 2",26,2,9,3,40
1651057,1252742,2023-02-15,Senate,"Senate Emergency Final Action - Passed - Yea: 38 Nay: 0",38,0,0,2,40
1651057,1282359,2023-03-23,House,"House Emergency Final Action - Passed as amended - Yea: 104 Nay: 18",104,18,0,3,125
1651057,1421099,2024-04-04,House,"House Conference Committee Report was adopted - Yea: 86 Nay: 37",86,37,0,2,125
1651057,1421100,2024-04-04,Senate,"Senate Conference Committee Report was adopted - Yea: 32 Nay: 7",32,7,0,1,40
1651140,1247315,2023-02-09,Senate,"Senate Emergency Final Action - Passed - Yea: 39 Nay: 0",39,0,0,1,40
1651140,1277223,2023-03-16,House,"House Emergency Final Action - Passed as amended - Yea: 121 Nay: 0",121,0,0,4,125
1651140,1421051,2024-04-04,House,"House Conference Committee Report was adopted - Yea: 73 Nay: 48",73,48,0,4,125
1651140,1421297,2024-04-04,Senate,"Senate Conference Committee Report not adopted - Yea: 20 Nay: 19",20,19,0,1,40
1653783,1239446,2023-02-01,House,"House Final Action - Passed - Yea: 116 Nay: 6",116,6,0,3,125
1653783,1281480,2023-03-22,Senate,"Senate Final Action - Passed as amended - Yea: 33 Nay: 5",33,5,0,2,40
1653783,1294592,2023-04-05,Senate,"Senate Conference Committee Report was adopted - Yea: 32 Nay: 8",32,8,0,0,40
1653783,1294593,2023-04-05,House,"House Conference Committee Report was adopted - Yea: 117 Nay: 6",117,6,0,2,125
1653819,1247082,2023-02-09,House,"House Final Action - Passed - Yea: 118 Nay: 0",118,0,0,7,125
1653819,1276762,2023-03-15,Senate,"Senate Emergency Final Action - Passed as amended - Yea: 36 Nay: 0",36,0,0,4,40
1653819,1295418,2023-04-06,Senate,"Senate Conference Committee Report was adopted - Yea: 40 Nay: 0",40,0,0,0,40
1653819,1295419,2023-04-06,House,"House Conference Committee Report was adopted - Yea: 122 Nay: 1",122,1,0,2,125
1653856,1386787,2024-02-15,Senate,"Senate Emergency Final Action - Passed as amended - Yea: 24 Nay: 13",24,13,3,0,40
1653892,1239456,2023-02-01,House,"House Final Action - Passed - Yea: 120 Nay: 2",120,2,0,3,125
1653927,1259570,2023-02-23,Senate,"Senate Final Action - Passed - Yea: 39 Nay: 1",39,1,0,0,40
1653927,1282906,2023-03-23,House,"House Emergency Final Action - Passed as amended - Yea: 106 Nay: 16",106,16,0,3,125
1653927,1421435,2024-04-05,House,"House Conference Committee Report was adopted - Yea: 78 Nay: 44",78,44,0,3,125
1653927,1421436,2024-04-05,Senate,"Senate Conference Committee Report was adopted - Yea: 26 Nay: 12",26,12,1,1,40
1653927,1436068,2024-04-29,Senate,"Senate Motion to override line item veto prevailed; Line item veto 29b, 120a, 121a overridden - Yea: 28 Nay: 12",28,12,0,0,40
1653927,1436069,2024-04-29,Senate,"Senate Motion to override line item veto prevailed; Line item veto 35a overridden - Yea: 28 Nay: 11",28,11,1,0,40
1653927,1436070,2024-04-29,Senate,"Senate Motion to override line item veto prevailed; Line item veto 83dd, 83ee overridden - Yea: 28 Nay: 12",28,12,0,0,40
