bill_id,people_id,position
1641608,22586,1
1641613,22010,1
1641629,22115,1
1641663,6694,1
1641697,22115,1
1641767,22113,1
1641802,22115,1
1641837,6816,3
1641837,12674,2
1641837,20149,1
1641837,21084,4
1641874,22586,1
1641909,22115,1
1641982,22115,1
1642066,6836,1
1642151,22115,1
1643898,16173,1
1643951,6711,1
1644006,6694,1
1644060,16173,1
1644113,20149,6
1644113,22009,5
1644113,22439,4
1644113,22586,1
1644113,23743,2
1644113,23744,3
1644117,21512,1
1644117,22115,2
1644801,19297,5
1644801,22008,4
1644801,22009,1
1644801,22010,3
1644801,23779,2
1644949,6754,1
1645097,12681,12
1645097,15679,24
1645097,16223,15
1645097,18837,23
1645097,18842,3
1645097,18849,8
1645097,18855,13
1645097,20149,22
1645097,21069,6
1645097,22008,19
1645097,22009,1
1645097,22010,14
1645097,22439,18
1645097,22585,7
1645097,22593,17
1645097,22596,21
1645097,22853,10
1645097,22977,5
1645097,23743,2
1645097,23744,11
1645097,23779,4
1645097,23780,9
1645097,23781,16
1645097,23782,20
1645097,23783,26
1645097,23784,27
1645097,24862,25
1645244,15646,1
1645596,6711,1
1645596,12663,2
1646314,6838,1
1646314,18651,3
1646314,18963,2
1646480,6838,1
1646480,18651,3
1646480,18963,2
1646584,15658,1
1646584,18440,3
1646584,21070,2
1646965,15658,1
1646965,18440,3
1646965,21070,2
1647344,6838,1
1647344,18651,3
1647344,18963,2
1647724,15658,1
1647724,18440,3
1647724,21070,2
1648106,15658,1
1648106,18440,3
1648106,21070,2
1648486,6838,1
1648486,18651,3
1648486,18963,2
1648870,15658,1
1648870,18440,3
1648870,21070,2
1649183,15658,1
1649183,18440,3
1649183,21070,2
1650473,6848,1
1650552,6848,1
1650635,6853,1
1650719,6853,1
1650805,21512,2
1650805,22115,1
1650893,6848,1
1650974,6848,1
1651057,6840,1
1651140,6848,1
1653783,6754,1
1653819,21069,1
1653856,12914,1
1653892,6754,1
1653927,6848,1
1653964,6848,1
1654004,6848,1
1654038,6675,1
1654077,6675,1
1654112,20149,1
1654112,22586,2
1654112,23744,3
1654150,6686,1
1654189,6754,1
1654223,6848,1
1654263,6754,1
1654298,6686,1
1654334,15647,1
1654334,15658,2
1654370,6853,1
1654407,6689,1
1654443,6694,2
1654443,6774,1
1654443,6836,5
1654443,6871,6
1654443,15645,3
1654443,15651,4
1654476,6848,1
1656345,24399,1
1656423,6754,1
1656500,6845,1
1656575,6754,1
1656652,6853,1
1656730,6853,1
1656808,12914,1
1656886,6845,1
1656962,6803,2
1656962,21086,1
1658047,6686,1
1658156,19127,1
1658275,6686,1
1658385,6686,1
1660675,6688,1
1660732,6688,1
1660789,15682,1
1660848,6688,1
1660908,6689,1
1660966,24490,1
1661027,15056,1
1661086,6688,1
1661147,6751,1
1661208,19127,1
1661268,6689,1
1661329,6683,1
1661386,6673,1
1661446,6853,1
1661502,6689,1
1661511,6841,1
1661643,19039,1
1661774,6841,1
1661912,6853,1
1662044,6853,1
1662184,6841,1
1662319,6841,1
1662460,6841,1
1665447,6686,1
1665466,6683,1
1665487,6842,1
1665507,6689,1
1665529,6673,1
1665550,15658,1
1665550,18440,3
1665550,21070,2
1665575,6689,1
1665615,6686,1
1665637,6674,1
1665656,23057,1
1665678,17392,1
1665678,22008,2
1665698,6751,1
1665723,15056,1
1665744,6848,1
1665766,6673,1
1665787,6847,1
1665807,6688,1
1665827,15056,1
1665853,6686,1
1665871,15658,1
1665871,18440,3
1665871,21070,2
1665892,6754,1
1665912,6754,1
1665935,20818,3
1665935,21060,2
1665935,22979,1
1665954,6688,1
1665975,6835,1
1666000,6754,1
1666042,6688,1
1666062,6674,1
1666084,6673,1
1666105,6839,1
1666125,6689,1
1666150,21062,1
1666171,6689,1
1666193,6688,1
1666213,6686,1
1666234,22596,1
1666253,6845,1
1666271,6686,1
1666282,6694,3
1666282,6774,1
1666282,15645,4
1666282,15651,7
1666282,18442,9
1666282,18847,6
1666282,22114,8
1666282,22492,5
1666282,24658,2
1666395,6831,2
1666395,6836,1
1666508,6853,1
1666624,6853,1
1666738,6847,1
1666851,21334,2
1666851,21512,3
1666851,22115,1
1666967,6853,1
1667081,6853,1
1667195,6853,1
1667310,6848,1
1667423,6853,1
1668737,6684,1
1668767,6743,1
1668797,6673,1
1668829,6673,1
1668863,19039,1
1668897,6689,1
1668930,6751,1
1668964,6684,1
1668997,6673,1
1669029,6684,1
1669062,6684,1
1669097,6677,1
1669130,6688,1
1669164,6677,1
1669198,6684,1
1669234,6751,1
1669264,6684,1
1669300,19039,1
1669332,6686,1
1669369,22009,1
1669401,6673,1
1669434,6816,2
1669434,17392,3
1669434,22439,1
1669468,6689,1
1669500,6684,1
1669534,6684,1
1669568,6673,1
1669600,6684,1
1669633,6684,1
1669668,19039,1
1669702,15637,2
1669702,15648,4
1669702,15683,8
1669702,17578,6
1669702,18440,1
1669702,22583,3
1669702,24664,5
1669702,24784,7
1669735,19039,1
1669767,6732,17
1669767,6743,22
1669767,6761,4
1669767,6768,11
1669767,17393,14
1669767,17579,1
1669767,18869,20
1669767,18870,21
1669767,18966,7
1669767,20149,16
1669767,21082,2
1669767,22010,10
1669767,22439,13
1669767,22587,6
1669767,22596,15
1669767,22597,18
1669767,22853,5
1669767,23744,9
1669767,24660,3
1669767,24664,8
1669767,24670,12
1669767,24674,19
1669767,24678,23
1669798,6673,1
1669840,6853,1
1669908,22492,1
1669980,6856,2
1669980,18963,1
1670052,15645,3
1670052,18442,5
1670052,21334,6
1670052,22492,1
1670052,22494,4
1670052,24658,2
1670126,22492,1
1670202,6848,1
1670275,6835,1
1670345,6840,1
1670419,6845,1
1670490,22492,1
1670564,6853,1
1670634,6847,1
1670708,16897,1
1670782,6841,1
1672155,6840,1
1672337,6840,1
1672513,6848,1
1672561,16125,1
1672600,6689,1
1672642,6689,1
1672681,6688,1
1672726,16125,1
1672766,6689,1
1672811,6689,1
1672847,6689,1
1672888,6689,1
1672934,15056,1
1672973,16125,1
1673015,6754,1
1673053,15056,1
1673090,16125,1
1675263,6754,1
1675302,6673,1
1675345,6673,1
1675389,6816,29
1675389,12674,11
1675389,12681,14
1675389,15644,6
1675389,15679,1
1675389,17259,5
1675389,18836,30
1675389,18850,8
1675389,18871,31
1675389,21070,7
1675389,21079,23
1675389,21082,32
1675389,21086,35
1675389,22008,22
1675389,22439,21
1675389,22582,3
1675389,22586,10
1675389,22588,15
1675389,22590,17
1675389,22592,19
1675389,22593,20
1675389,22594,24
1675389,22597,27
1675389,23045,16
1675389,23743,2
1675389,23744,13
1675389,23780,9
1675389,23782,25
1675389,23783,34
1675389,24663,12
1675389,24666,18
1675389,24673,26
1675389,24674,28
1675389,24677,36
1675389,24818,4
1675389,24862,33
1675432,18856,5
1675432,20149,9
1675432,22009,8
1675432,22439,6
1675432,22586,1
1675432,22595,7
1675432,23743,2
1675432,24661,3
1675432,24663,4
1675432,24673,10
1675432,24674,11
1675478,24853,1
1675520,24853,1
1675563,6673,1
1675606,6754,1
1675653,6754,1
1675695,6673,1
1675738,19039,1
1675779,6754,1
1675826,6674,1
1675869,6754,1
1675912,6751,1
1675955,6751,1
1676042,6853,1
1676082,6694,6
1676082,6767,1
1676082,6772,16
1676082,6774,18
1676082,6836,11
1676082,6838,14
1676082,6863,15
1676082,6866,21
1676082,6871,19
1676082,12663,4
1676082,12698,26
1676082,12703,13
1676082,14861,20
1676082,15651,8
1676082,15677,22
1676082,16248,3
1676082,17011,28
1676082,18847,7
1676082,18963,2
1676082,21071,9
1676082,21085,27
1676082,21334,24
1676082,21512,25
1676082,22113,10
1676082,22114,12
1676082,22115,23
1676082,22494,17
1676082,24658,5
1676122,6851,1
1676169,6845,1
1676209,6845,1
1676252,6841,1
1676293,6853,1
1676335,6847,1
1676376,6848,1
1676415,19127,1
1676457,6853,1
1676492,6856,1
1677635,6688,1
1677651,6675,1
1677670,18835,1
1677689,6845,1
1677709,6857,1
1677727,6675,1
1677746,6683,1
1677766,6841,1
1677787,24856,1
1677805,6698,6
1677805,6724,22
1677805,6732,30
1677805,6733,32
1677805,6743,39
1677805,6803,4
1677805,15637,2
1677805,15646,33
1677805,15683,38
1677805,16173,7
1677805,16233,9
1677805,17392,14
1677805,17393,26
1677805,17602,35
1677805,17848,13
1677805,18440,1
1677805,18441,23
1677805,18870,36
1677805,19540,28
1677805,20818,40
1677805,21060,31
1677805,21062,41
1677805,21067,3
1677805,22007,12
1677805,22116,37
1677805,22587,10
1677805,22589,16
1677805,22596,27
1677805,22979,19
1677805,22980,25
1677805,24660,5
1677805,24664,11
1677805,24665,15
1677805,24667,17
1677805,24668,18
1677805,24669,20
1677805,24670,21
1677805,24671,24
1677805,24784,34
1677805,24819,29
1677805,24857,8
1677826,18835,1
1677847,18835,1
1677865,6688,1
1677886,6842,1
1677906,6841,1
1677924,6751,1
1677943,6675,1
1677963,18854,1
1677982,6754,1
1678002,6853,1
1678022,6751,1
1678043,12674,1
1678060,6675,1
1678082,6755,1
1678103,24490,1
1678121,12674,1
1678142,6816,18
1678142,12674,6
1678142,12681,8
1678142,15648,1
1678142,15679,21
1678142,15682,25
1678142,16223,10
1678142,17578,12
1678142,17579,26
1678142,17847,15
1678142,17848,7
1678142,18836,19
1678142,18837,20
1678142,18849,4
1678142,18856,9
1678142,18871,22
1678142,20149,16
1678142,21084,24
1678142,22008,11
1678142,22009,14
1678142,22586,5
1678142,22595,13
1678142,22597,17
1678142,22977,3
1678142,23779,2
1678142,23783,23
1678161,6853,1
1678182,6846,1
1678201,6683,1
1678220,15056,1
1678239,6847,1
1678258,6841,1
1679738,6674,1
1679764,6688,1
1679795,20818,1
1679795,21060,3
1679795,22979,2
1679826,20818,1
1679826,21060,3
1679826,22979,2
1679862,6688,1
1679894,20818,1
1679894,21060,3
1679894,22979,2
1679922,6689,1
1679955,20149,1
1679955,24673,2
1679993,15056,1
1680025,6698,18
1680025,6724,76
1680025,6732,94
1680025,6733,97
1680025,6743,122
1680025,6761,31
1680025,6768,62
1680025,6803,6
1680025,6816,102
1680025,12674,40
1680025,12681,50
1680025,15637,2
1680025,15644,21
1680025,15646,98
1680025,15647,25
1680025,15648,26
1680025,15658,46
1680025,15661,53
1680025,15679,107
1680025,15682,117
1680025,15683,118
1680025,16173,19
1680025,16223,65
1680025,16233,28
1680025,17259,20
1680025,17389,39
1680025,17392,48
1680025,17393,80
1680025,17578,82
1680025,17579,120
1680025,17602,104
1680025,17847,89
1680025,17848,47
1680025,18440,71
1680025,18441,77
1680025,18836,103
1680025,18837,105
1680025,18839,5
1680025,18842,11
1680025,18846,29
1680025,18849,33
1680025,18850,34
1680025,18855,58
1680025,18856,59
1680025,18869,101
1680025,18870,106
1680025,18871,108
1680025,18966,42
1680025,19297,90
1680025,19540,87
1680025,19553,9
1680025,20149,91
1680025,20436,51
1680025,20818,123
1680025,21060,95
1680025,21062,124
1680025,21067,3
1680025,21069,24
1680025,21070,27
1680025,21079,81
1680025,21082,1
1680025,21084,115
1680025,21086,116
1680025,22007,45
1680025,22008,75
1680025,22009,88
1680025,22010,60
1680025,22116,114
1680025,22439,74
1680025,22581,4
1680025,22582,8
1680025,22583,13
1680025,22585,30
1680025,22586,37
1680025,22587,38
1680025,22588,54
1680025,22589,57
1680025,22590,61
1680025,22592,72
1680025,22593,73
1680025,22594,83
1680025,22595,85
1680025,22596,86
1680025,22597,96
1680025,22598,112
1680025,22853,36
1680025,22977,23
1680025,22978,56
1680025,22979,68
1680025,22980,79
1680025,23045,55
1680025,23743,7
1680025,23744,49
1680025,23779,16
1680025,23780,35
1680025,23781,66
1680025,23782,84
1680025,23783,111
1680025,23784,113
1680025,24491,17
1680025,24659,12
1680025,24660,14
1680025,24661,32
1680025,24662,41
1680025,24663,43
1680025,24664,44
1680025,24665,52
1680025,24666,63
1680025,24667,64
1680025,24668,67
1680025,24669,69
1680025,24670,70
1680025,24671,78
1680025,24673,93
1680025,24674,100
1680025,24675,110
1680025,24676,119
1680025,24677,121
1680025,24678,125
1680025,24784,99
1680025,24818,15
1680025,24819,92
1680025,24856,10
1680025,24857,22
1680025,24862,109
1680056,6677,1
1680089,6683,1
1680118,6673,1
1680152,6686,1
1680184,12674,3
1680184,18856,1
1680184,20149,7
1680184,22439,6
1680184,22586,2
1680184,23744,5
1680184,24663,4
1680216,6689,1
1680254,6754,1
1680287,6754,1
1680314,6689,1
