bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1882796,2147,HB2001,4,Passed,2024-06-18,"Authorizing the secretary of commerce to enter into agreements with major professional sports franchises to establish STAR bond projects for a major professional sports complex, providing for additional revenue sources, expanding the powers and discretion of the secretary and making other changes to the STAR bonds financing act to facilitate such projects, limiting the secretary’s authority to approve such projects to one year unless extended by the legislative coordinating council, authorizing the Kansas development finance authority to issue STAR bonds for such projects, transferring funds under certain circumstances from the state gaming revenues fund to the attracting professional sports to Kansas fund for the fiscal year ending June 30, 2025, and, if approved by the legislative coordinating council, for the fiscal year ending June 30, 2026.","Authorizing the secretary of commerce to enter into agreements with major professional sports franchises to establish STAR bond projects for a major professional sports complex, providing for additional revenue sources, expanding the powers and discretion of the secretary and making other changes to the STAR bonds financing act to facilitate such projects, limiting the secretary’s authority to approve such projects to one year unless extended by the legislative coordinating council, authorizing the Kansas development finance authority to issue STAR bonds for such projects, transferring funds under certain circumstances from the state gaming revenues fund to the attracting professional sports to Kansas fund for the fiscal year ending June 30, 2025, and, if approved by the legislative coordinating council, for the fiscal year ending June 30, 2026.",0,,2024-06-18,"House Approved by Governor on Thursday, June 20, 2024",https://legiscan.com/KS/bill/HB2001/2024/X1,https://kslegislature.gov/li_2024s/b2023_24/measures/hb2001/
1882824,2147,HB2002,6,Failed,2024-06-18,"Expanding medical assistance eligibility and enacting the cutting healthcare costs for all Kansans act.","Expanding medical assistance eligibility and enacting the cutting healthcare costs for all Kansans act.",0,,2024-06-18,"House Died on Calendar",https://legiscan.com/KS/bill/HB2002/2024/X1,https://kslegislature.gov/li_2024s/b2023_24/measures/hb2002/
1882808,2147,HB2003,6,Failed,2024-06-18,"Establishing the veterans' valor property tax relief act providing for an income tax credit or refund for eligible individuals, modifying the definition of household income and increasing the appraised value threshold for eligibility of seniors and disabled veterans related to increased property tax claims and citing the section as the homeowners' property tax freeze program, providing property tax exemptions for certain personal property including watercraft, marine equipment, off-road vehicles, motorized bicycles and certain trailers, excluding internal revenue code section 1031 exchange transactions as indicators of fair market value, providing for certain exclusions from the prohibition of paying taxes under protest after a valuation notice appeal and providing four prior years' values on the annual valuation notice.","Establishing the veterans' valor property tax relief act providing for an income tax credit or refund for eligible individuals, modifying the definition of household income and increasing the appraised value threshold for eligibility of seniors and disabled veterans related to increased property tax claims and citing the section as the homeowners' property tax freeze program, providing property tax exemptions for certain personal property including watercraft, marine equipment, off-road vehicles, motorized bicycles and certain trailers, excluding internal revenue code section 1031 exchange transactions as indicators of fair market value, providing for certain exclusions from the prohibition of paying taxes under protest after a valuation notice appeal and providing four prior years' values on the annual valuation notice.",0,,2024-06-18,"House Died on Calendar",https://legiscan.com/KS/bill/HB2003/2024/X1,https://kslegislature.gov/li_2024s/b2023_24/measures/hb2003/
1882801,2147,HB2004,6,Failed,2024-06-18,"Authorizing counties to propose an earnings tax for ballot question.","Authorizing counties to propose an earnings tax for ballot question.",0,,2024-06-18,"House Died on Calendar",https://legiscan.com/KS/bill/HB2004/2024/X1,https://kslegislature.gov/li_2024s/b2023_24/measures/hb2004/
1882855,2147,HR6001,4,Passed,2024-06-18,"Providing for the organization of the House of Representatives for the 2024 special session of the Legislature.","Providing for the organization of the House of Representatives for the 2024 special session of the Legislature.",0,,2024-06-18,"House Enrolled on Wednesday, June 19, 2024",https://legiscan.com/KS/bill/HR6001/2024/X1,https://kslegislature.gov/li_2024s/b2023_24/measures/hr6001/
1882858,2147,HR6002,4,Passed,2024-06-18,"Providing for assignment of seats in the House of Representatives for the 2024 special session of the Legislature.","Providing for assignment of seats in the House of Representatives for the 2024 special session of the Legislature.",0,,2024-06-18,"House Enrolled on Wednesday, June 19, 2024",https://legiscan.com/KS/bill/HR6002/2024/X1,https://kslegislature.gov/li_2024s/b2023_24/measures/hr6002/
1882814,2147,HCR5001,6,Failed,2024-06-18,"Proposing a constitutional amendment to add the right to vote in section 2 of the bill of rights of the constitution of the state of Kansas.","Proposing a constitutional amendment to add the right to vote in section 2 of the bill of rights of the constitution of the state of Kansas.",0,,2024-06-18,"House Died on Calendar",https://legiscan.com/KS/bill/HCR5001/2024/X1,https://kslegislature.gov/li_2024s/b2023_24/measures/hcr5001/
1882818,2147,HCR5002,4,Passed,2024-06-18,"Providing for the adjournment sine die of the 2024 special session of the Legislature.","Providing for the adjournment sine die of the 2024 special session of the Legislature.",0,,2024-06-18,"House Enrolled and presented to Secretary of State on Thursday, June 20, 2024",https://legiscan.com/KS/bill/HCR5002/2024/X1,https://kslegislature.gov/li_2024s/b2023_24/measures/hcr5002/
1882862,2147,SB1,4,Passed,2024-06-18,"Modifying income tax rates for individuals, exempting all social security benefits from Kansas income tax, increasing the Kansas standard deduction and the Kansas personal exemption, increasing the income tax credit amount for household and dependent care expenses, decreasing the privilege tax normal tax, excluding internal revenue code section 1031 exchange transactions as indicators of fair market value for property tax valuation purposes, increasing the extent of property tax exemption for residential property from the statewide school levy, providing for certain transfers to the state school district finance fund and abolishing the local ad valorem tax reduction fund and the county and city revenue sharing fund.","Modifying income tax rates for individuals, exempting all social security benefits from Kansas income tax, increasing the Kansas standard deduction and the Kansas personal exemption, increasing the income tax credit amount for household and dependent care expenses, decreasing the privilege tax normal tax, excluding internal revenue code section 1031 exchange transactions as indicators of fair market value for property tax valuation purposes, increasing the extent of property tax exemption for residential property from the statewide school levy, providing for certain transfers to the state school district finance fund and abolishing the local ad valorem tax reduction fund and the county and city revenue sharing fund.",0,,2024-06-18,"Senate Approved by Governor on Thursday, June 20, 2024",https://legiscan.com/KS/bill/SB1/2024/X1,https://kslegislature.gov/li_2024s/b2023_24/measures/sb1/
1882811,2147,SB2,6,Failed,2024-06-18,"Eliminating the income limit to qualify for the subtraction modification exempting social security benefits, increasing the income tax credit amount for household and dependent care expenses, establishing the veterans' valor property tax relief act providing for an income tax credit or refund for eligible individuals, citing the increased property tax homestead refund claim section as the homeowners' property tax freeze program, decreasing the normal privilege tax rate, increasing the extent of property tax exemption for residential property from the statewide school levy, decreasing the rate of ad valorem tax imposed by a school district; providing for certain transfers to the state school district finance fund, reducing the state rate of tax on sales of food and food ingredients and modifying the percent credited to the state highway fund from revenue collected.","Eliminating the income limit to qualify for the subtraction modification exempting social security benefits, increasing the income tax credit amount for household and dependent care expenses, establishing the veterans' valor property tax relief act providing for an income tax credit or refund for eligible individuals, citing the increased property tax homestead refund claim section as the homeowners' property tax freeze program, decreasing the normal privilege tax rate, increasing the extent of property tax exemption for residential property from the statewide school levy, decreasing the rate of ad valorem tax imposed by a school district; providing for certain transfers to the state school district finance fund, reducing the state rate of tax on sales of food and food ingredients and modifying the percent credited to the state highway fund from revenue collected.",0,,2024-06-18,"Senate Died on Calendar",https://legiscan.com/KS/bill/SB2/2024/X1,https://kslegislature.gov/li_2024s/b2023_24/measures/sb2/
