bill_id,date,chamber,sequence,action
1882796,2024-06-18,House,1,"House Introduced"
1882796,2024-06-18,House,2,"House Motion to advance to Emergency Final Action Subject to Amendment and debate adopted."
1882796,2024-06-18,House,3,"House Motion to Amend - Offered by Representative Helgerson."
1882796,2024-06-18,House,4,"House  Representative Tarwater raised a question of germaneness. The amendment was ruled not germane."
1882796,2024-06-18,House,5,"House Motion to Amend - Offered by Representative Miller, V."
1882796,2024-06-18,House,6,"House Amendment by Representative Miller, V. was rejected."
1882796,2024-06-18,House,7,"House Emergency Final Action - Passed;  Yea: 84 Nay: 38"
1882796,2024-06-18,Senate,8,"Senate Received and Introduced"
1882796,2024-06-18,Senate,9,"Senate Motion to advance to EFA, subject to amendment, debate and roll call. Motion carried."
1882796,2024-06-18,Senate,10,"Senate Emergency Final Action - Passed;  Yea: 27 Nay: 8"
1882796,2024-06-18,House,11,"House Enrolled and presented to Governor on Thursday, June 20, 2024"
1882796,2024-06-18,House,12,"House Approved by Governor on Thursday, June 20, 2024"
1882798,2024-06-18,Senate,1,"Senate Introduced"
1882798,2024-06-18,Senate,2,"Senate Adopted without roll call"
1882798,2024-06-18,Senate,3,"Senate Enrolled on Thursday, June 20, 2024"
1882801,2024-06-18,House,1,"House Introduced"
1882801,2024-06-18,House,2,"House Died on Calendar"
1882804,2024-06-18,Senate,1,"Senate Introduced"
1882804,2024-06-18,Senate,2,"Senate Died on Calendar"
1882808,2024-06-18,House,1,"House Introduced"
1882808,2024-06-18,House,2,"House Died on Calendar"
1882811,2024-06-18,Senate,1,"Senate Introduced"
1882811,2024-06-18,Senate,2,"Senate Died on Calendar"
1882814,2024-06-18,House,1,"House Introduced"
1882814,2024-06-18,House,2,"House Died on Calendar"
1882818,2024-06-18,House,1,"House Introduced"
1882818,2024-06-18,House,2,"House Adopted without roll call"
1882818,2024-06-18,Senate,3,"Senate Received and Introduced"
1882818,2024-06-18,Senate,4,"Senate Adopted without roll call"
1882818,2024-06-18,House,5,"House Enrolled and presented to Secretary of State on Thursday, June 20, 2024"
1882821,2024-06-18,Senate,1,"Senate Introduced"
1882821,2024-06-18,Senate,2,"Senate Adopted without roll call"
1882821,2024-06-18,Senate,3,"Senate Enrolled on Thursday, June 20, 2024"
1882824,2024-06-18,House,1,"House Introduced"
1882824,2024-06-18,House,2,"House Died on Calendar"
1882828,2024-06-18,Senate,1,"Senate Introduced"
1882828,2024-06-18,Senate,2,"Senate Died on Calendar"
1882833,2024-06-18,Senate,1,"Senate Introduced"
1882833,2024-06-18,Senate,2,"Senate Died on Calendar"
1882835,2024-06-18,Senate,1,"Senate Introduced"
1882835,2024-06-18,Senate,2,"Senate Died on Calendar"
1882839,2024-06-18,Senate,1,"Senate Introduced"
1882839,2024-06-18,Senate,2,"Senate Adopted without roll call"
1882839,2024-06-18,Senate,3,"Senate Enrolled on Thursday, June 20, 2024"
1882842,2024-06-18,Senate,1,"Senate Introduced"
1882842,2024-06-18,Senate,2,"Senate Died on Calendar"
1882845,2024-06-18,Senate,1,"Senate Introduced"
1882845,2024-06-18,Senate,2,"Senate Died on Calendar"
1882848,2024-06-18,Senate,1,"Senate Introduced"
1882848,2024-06-18,Senate,2,"Senate Adopted without roll call"
1882848,2024-06-18,House,3,"House Received and Introduced"
1882848,2024-06-18,House,4,"House Adopted without roll call"
1882848,2024-06-18,Senate,5,"Senate Enrolled and presented to Secretary of State on Thursday, June 20, 2024"
1882854,2024-06-18,Senate,1,"Senate Introduced"
1882854,2024-06-18,Senate,2,"Senate Died on Calendar"
1882855,2024-06-18,House,1,"House Introduced"
1882855,2024-06-18,House,2,"House Adopted without roll call"
1882855,2024-06-18,House,3,"House Enrolled on Wednesday, June 19, 2024"
1882858,2024-06-18,House,1,"House Introduced"
1882858,2024-06-18,House,2,"House Adopted without roll call"
1882858,2024-06-18,House,3,"House Enrolled on Wednesday, June 19, 2024"
1882862,2024-06-18,Senate,1,"Senate Introduced"
1882862,2024-06-18,Senate,2,"Senate Motion to advance to EFA, subject to amendment, debate and roll call. Motion carried."
1882862,2024-06-18,Senate,3,"Senate Call the Question. Motion carried.  Yea: 22 Nay: 16"
1882862,2024-06-18,Senate,4,"Senate Emergency Final Action - Passed;  Yea: 34 Nay: 4"
1882862,2024-06-18,House,5,"House Received and Introduced"
1882862,2024-06-18,House,6,"House Motion to advance to Emergency Final Action Subject to Amendment and debate adopted."
1882862,2024-06-18,House,7,"House Motion to Amend - Offered by Representative Miller, V."
1882862,2024-06-18,House,8,"House Amendment by Representative Miller, V. was rejected."
1882862,2024-06-18,House,9,"House Emergency Final Action - Passed;  Yea: 121 Nay: 2"
1882862,2024-06-18,Senate,10,"Senate Enrolled and presented to Governor on Thursday, June 20, 2024"
1882862,2024-06-18,Senate,11,"Senate Approved by Governor on Thursday, June 20, 2024"
1882865,2024-06-18,Senate,1,"Senate Introduced"
1882865,2024-06-18,Senate,2,"Senate Died on Calendar"
1882868,2024-06-18,Senate,1,"Senate Introduced"
1882868,2024-06-18,Senate,2,"Senate Died on Calendar"
