people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
6694,"Elaine Bowers",Elaine,S.,Bowers,,,2,R,2,Sen,SD-036,13000542,68331,,Elaine_Bowers,249060,0
6698,"Sydney Carlin",Sydney,,Carlin,,,1,D,1,Rep,HD-066,6408970,18618,,Sydney_Carlin,212289,0
6724,"Cindy Neighbor",Cindy,,Neighbor,,,1,D,1,Rep,HD-018,6474268,34808,,Cindy_Neighbor,212280,0
6732,"Louis Ruiz",Louis,E.,Ruiz,,,1,D,1,Rep,HD-031,6464705,34820,,Louis_Ruiz,226766,0
6733,"Tom Sawyer",Tom,,Sawyer,,,1,D,1,Rep,HD-095,6409235,7023,,Tom_Sawyer_(Kansas),212277,0
6743,"Valdenia Winn",Valdenia,C.,Winn,,,1,D,1,Rep,HD-034,6409411,34866,,Valdenia_Winn,208517,0
6767,"Dan Kerschen",Dan,,Kerschen,,,2,R,2,Sen,SD-026,6677569,107298,,Dan_Kerschen,268167,0
6768,"Brenda Landwehr",Brenda,,Landwehr,,,2,R,1,Rep,HD-105,6612446,6985,,Brenda_Landwehr,194683,0
6772,"Robert Olson",Robert,,Olson,,Rob,2,R,2,Sen,SD-023,6612577,34452,,Robert_Olson,226762,0
6774,"Virgil Peck",Virgil,,Peck,Jr.,,2,R,2,Sen,SD-015,6612606,34716,,"Virgil_Peck,_Jr.",226757,0
6803,"Barbara Ballard",Barbara,W.,Ballard,,,1,D,1,Rep,HD-044,6408945,6927,,Barbara_Ballard,194636,0
6816,"Joe Seiwert",Joe,,Seiwert,,,2,R,1,Rep,HD-101,6677634,107323,,Joe_Seiwert,268174,0
6831,"David Haley",David,,Haley,,,1,D,2,Sen,SD-004,6409048,6965,,David_Haley,194626,0
6836,"Oletha Faust-Goudeau",Oletha,,Faust-Goudeau,,,1,D,2,Sen,SD-029,6409034,34890,,Oletha_Faust-Goudeau,268213,0
6838,"Ty Masterson",Ty,,Masterson,,,2,R,2,Sen,SD-016,6671671,57517,,Ty_Masterson,241430,0
6856,"Marci Francisco",Marci,,Francisco,,,1,D,2,Sen,SD-002,6464512,34489,,Marci_Francisco,226794,0
6857,"Tom Holland",Thomas,,Holland,,Tom,1,D,2,Sen,SD-003,6409084,34760,,Tom_Holland,212293,0
6863,"Carolyn McGinn",Carolyn,,McGinn,,,2,R,2,Sen,SD-031,8850968,34688,,Carolyn_McGinn,226811,0
6866,"Dennis Pyle",Dennis,D.,Pyle,,,2,R,2,Sen,SD-001,13000500,12606,,Dennis_Pyle,208519,0
6871,"Mike Petersen",Mike,,Petersen,,,2,R,2,Sen,SD-028,6625947,12657,,Mike_Petersen_(Kansas),226809,0
12663,"Richard Billinger",Richard,,Billinger,,Rick,2,R,2,Sen,SD-040,6700179,128532,,Rick_Billinger,329063,0
12674,"Randy Garber",Randy,,Garber,,,2,R,1,Rep,HD-062,6690879,125129,,Randy_Garber,311288,0
12681,"Kyle Hoffman",Kyle,D.,Hoffman,,,2,R,1,Rep,HD-116,6690980,125232,,Kyle_Hoffman,293943,0
12698,"Caryn Tyson",Caryn,,Tyson,,,2,R,2,Sen,SD-012,6665784,34467,,Caryn_Tyson,293826,0
12703,"Jeff Longbine",Jeff,,Longbine,,,2,R,2,Sen,SD-017,13011945,128208,,Jeff_Longbine,310269,0
14861,"Pat Pettey",Pat,Huggins,Pettey,,,1,D,2,Sen,SD-006,6421497,7013,,Pat_Pettey,424106,0
