bill_id,people_id,position
1882796,15658,1
1882798,6836,1
1882801,6743,3
1882801,16233,1
1882801,24671,2
1882804,6857,1
1882808,18849,5
1882808,21069,4
1882808,22008,7
1882808,22009,1
1882808,22010,6
1882808,23779,2
1882808,23783,8
1882808,23784,9
1882808,24491,3
1882811,6856,2
1882811,6857,1
1882814,6698,2
1882814,20818,13
1882814,21060,11
1882814,21062,14
1882814,22587,4
1882814,22589,5
1882814,22596,10
1882814,22979,7
1882814,22980,9
1882814,24668,6
1882814,24670,1
1882814,24671,8
1882814,24784,12
1882814,24857,3
1882818,15658,1
1882818,18440,3
1882818,21070,2
1882821,6831,1
1882821,16248,2
1882828,6831,1
1882833,6831,1
1882835,21512,1
1882839,6838,1
1882839,18651,3
1882839,18963,2
1882842,15645,1
1882845,6831,1
1882848,6838,1
1882848,18651,3
1882848,18963,2
1882854,21512,1
1882855,15658,1
1882855,18440,3
1882855,21070,2
1882858,15658,1
1882858,18440,3
1882858,21070,2
1882862,6838,1
1882862,17011,5
1882862,18963,2
1882862,21071,3
1882862,22114,4
1882865,6866,1
1882868,6767,5
1882868,6774,7
1882868,6871,8
1882868,12698,1
1882868,15645,4
1882868,16248,2
1882868,18442,9
1882868,21512,10
1882868,22114,6
1882868,24658,3
