"state","term","sponsor","legiscan_id","chamber","party","district","not_actually_in_chamber","notes"
"KS","2023_2024","Allison Hougland","24665","H","D","HD-015",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Angela Stiens","25176","H","R","HD-039",TRUE,"Did not serve full term - excluded"
"KS","2023_2024","Avery Anderson","22581","H","R","HD-072",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Brad Boyd","24660","H","D","HD-049",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Cindy Neighbor","6724","H","D","HD-018",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Duane Droge","24661","H","R","HD-013",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Emil Bergquist","19553","H","R","HD-091",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Gary White","24676","H","R","HD-115",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Jesse Borjon","22583","H","R","HD-052",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Kirk Haskins","24664","H","D","HD-053",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Lewis Bloom","24659","H","R","HD-064",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Lori Shultz","25206","H","R","HD-073",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Marvin Robinson","24819","H","D","HD-035",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Mike Amyx","21067","H","D","HD-045",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Samantha Poetter Parshall","22595","H","R","HD-006",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Virgil Weigel","15683","H","D","HD-056",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Beverly Gossage","22493","S","R","SD-009",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Mary Ware","20250","S","D","SD-025",FALSE,"Served full term - included with LES=0"
"KS","2023_2024","Ronald Ryckman","15677","S","R","SD-038",TRUE,"Did not serve full term - excluded"
