bill_number,session_year,session_type,title,sponsors,summary,bill_url
HR99,2023,RS,A RESOLUTION encouraging the Legislative Research Commission to appoint a task force during the 2023 interim to examine the applicability and acceptance of military occupational experience as it relates to the licensure qualifications of occupations licensed in Kentucky.,DJ Johnson; R. Bridges; W. Thomas,Encourage the Legislative Research Commission to appoint a task force during the 2023 interim to examine the applicability and acceptance of military occupational experience as it relates to the licensure qualifications of occupations licensed in Kentucky.,https://apps.legislature.ky.gov/record/23rs/HR99.html
HR100,2023,RS,"A RESOLUTION recognizing the University of Louisville for its efforts to accelerate adoption of cybersecurity systems in Kentucky by combining assets of higher education, state and federal agencies, and private sector companies.",K. Bratcher,Recognize the University of Louisville for its efforts regarding adoption of cybersecurity systems in Kentucky.,https://apps.legislature.ky.gov/record/23rs/HR100.html
SR267,2023,RS,A RESOLUTION encouraging the Legislative Research Commission to appoint a task force during the 2023 interim to examine the applicability and acceptance of military occupational experience as it relates to the licensure qualifications of occupations licensed in Kentucky.,B. Storm,Encourage the Legislative Research Commission to appoint a task force during the 2023 interim to examine the applicability and acceptance of military occupational experience as it relates to the licensure qualifications of occupations licensed in Kentucky.,https://apps.legislature.ky.gov/record/23rs/SR267.html
SR268,2023,RS,"A RESOLUTION recognizing May 12, 2023, as Child Care Provider Appreciation Day.",R. Thomas,"Recognize May 12, 2023, as Child Care Provider Appreciation Day.",https://apps.legislature.ky.gov/record/23rs/SR268.html
SR269,2023,RS,A RESOLUTION recognizing workforce and training initiatives.,M. Nemes,Recognize the University of Louisville for its efforts regarding adoption of cybersecurity systems in Kentucky.,https://apps.legislature.ky.gov/record/23rs/SR269.html
SR270,2023,RS,A RESOLUTION confirming the appointment of Jerry Low Ravenscraft to the Fish and Wildlife Resources Commission.,S. West,"Confirm the appointment of Jerry Low Ravenscraft to the Kentucky Fish and Wildlife Resources Commission for a term expiring December 31, 2026.",https://apps.legislature.ky.gov/record/23rs/SR270.html
SR271,2023,RS,A RESOLUTION encouraging the Interim Joint Committee on Economic Development and Workforce Investment to address cybersecurity challenges and associated workforce opportunities.,J. Howell; M. Nemes,Encourage the interim joint committee for Economic Development and Workforce Investment to address cybersecurity challenges and associated workforce opportunities by inviting all interested parties to present during the upcoming interim session.,https://apps.legislature.ky.gov/record/23rs/SR271.html
HCR92,2023,RS,A CONCURRENT RESOLUTION adjourning the 2023 Regular Session of the General Assembly sine die.,S. Rudy,Adjourn the 2023 Regular Session of the General Assembly sine die.,https://apps.legislature.ky.gov/record/23rs/HCR92.html
HR93,2023,RS,A RESOLUTION requesting the Transportation Cabinet to study the benefits of increased use of recycled asphalt.,J. Blanton,Request the Transportation Cabinet to study the increased use of recycled asphalt and report findings to the Interim Joint Committee on Transportation.,https://apps.legislature.ky.gov/record/23rs/HR93.html
HR94,2023,RS,"A RESOLUTION recognizing April 2, 2023, as World Autism Awareness Day and April 2023 as Autism Acceptance Month.",T. Bojanowski,"Recognize April 2, 2023, as World Autism Awareness Day and April 2023 as Autism Acceptance Month.",https://apps.legislature.ky.gov/record/23rs/HR94.html
