bill_number,session_year,session_type,action_date,action,order
HR99,2023,RS,2023-03-30,introduced in House,1
HR99,2023,RS,2023-03-30,to Committee on Committees (H),2
HR100,2023,RS,2023-03-30,introduced in House,1
HR100,2023,RS,2023-03-30,to Committee on Committees (H),2
SR267,2023,RS,2023-03-30,introduced in Senate,1
SR267,2023,RS,2023-03-30,to Committee on Committees (S),2
SR267,2023,RS,2023-03-30,adopted,3
SR268,2023,RS,2023-03-30,introduced in Senate,1
SR268,2023,RS,2023-03-30,to Committee on Committees (S),2
SR268,2023,RS,2023-03-30,adopted by voice vote,3
SR269,2023,RS,2023-03-30,introduced in Senate,1
SR269,2023,RS,2023-03-30,to Committee on Committees (S),2
SR269,2023,RS,2023-03-30,adopted by voice vote,3
SR270,2023,RS,2023-03-30,introduced in Senate,1
SR270,2023,RS,2023-03-30,to Committee on Committees (S),2
SR271,2023,RS,2023-03-30,introduced in Senate,1
SR271,2023,RS,2023-03-30,to Committee on Committees (S),2
SR271,2023,RS,2023-03-30,adopted,3
HCR92,2023,RS,2023-03-29,introduced in House,1
HCR92,2023,RS,2023-03-29,to Committee on Committees (H),2
HCR92,2023,RS,2023-03-29,taken from Committee on Committees (H),3
HCR92,2023,RS,2023-03-29,placed in the Orders of the Day,4
HCR92,2023,RS,2023-03-30,passed 94-0,5
HCR92,2023,RS,2023-03-30,received in Senate,6
HR93,2023,RS,2023-03-29,introduced in House,1
HR93,2023,RS,2023-03-29,to Committee on Committees (H),2
HR93,2023,RS,2023-03-29,to Transportation (H),3
HR93,2023,RS,2023-03-30,reported favorably,4
HR93,2023,RS,2023-03-30,to House Floor,5
HR93,2023,RS,2023-03-30,adopted by voice vote,6
HR94,2023,RS,2023-03-29,introduced in House,1
HR94,2023,RS,2023-03-29,to Committee on Committees (H),2
HR94,2023,RS,2023-03-29,to House Floor,3
HR94,2023,RS,2023-03-30,adopted by voice vote,4
HR95,2023,RS,2023-03-29,introduced in House,1
HR95,2023,RS,2023-03-29,to Committee on Committees (H),2
HR96,2023,RS,2023-03-29,introduced in House,1
HR96,2023,RS,2023-03-29,to Committee on Committees (H),2
HR96,2023,RS,2023-03-29,to House Floor,3
HR96,2023,RS,2023-03-30,adopted by voice vote,4
HR97,2023,RS,2023-03-29,introduced in House,1
HR97,2023,RS,2023-03-29,to Committee on Committees (H),2
HR97,2023,RS,2023-03-30,to House Floor,3
HR97,2023,RS,2023-03-30,adopted by voice vote,4
HR98,2023,RS,2023-03-29,introduced in House,1
HR98,2023,RS,2023-03-29,to Committee on Committees (H),2
HR98,2023,RS,2023-03-29,"to Licensing, Occupations, & Administrative Regulations (H)",3
HR98,2023,RS,2023-03-30,reported favorably,4
HR98,2023,RS,2023-03-30,to House Floor,5
HR98,2023,RS,2023-03-30,adopted by voice vote,6
SCR244,2023,RS,2023-03-29,introduced in Senate,1
SCR244,2023,RS,2023-03-29,to Committee on Committees (S),2
SCR244,2023,RS,2023-03-30,adopted by voice vote,3
SR243,2023,RS,2023-03-29,introduced in Senate,1
SR243,2023,RS,2023-03-29,to Committee on Committees (S),2
SR243,2023,RS,2023-03-30,adopted by voice vote,3
SR245,2023,RS,2023-03-29,introduced in Senate,1
SR245,2023,RS,2023-03-29,to Committee on Committees (S),2
SR245,2023,RS,2023-03-30,adopted by voice vote,3
SR246,2023,RS,2023-03-29,introduced in Senate,1
SR246,2023,RS,2023-03-29,to Committee on Committees (S),2
SR246,2023,RS,2023-03-29,adopted by voice vote,3
SR247,2023,RS,2023-03-29,introduced in Senate,1
SR247,2023,RS,2023-03-29,to Committee on Committees (S),2
SR247,2023,RS,2023-03-29,adopted by voice vote,3
SR248,2023,RS,2023-03-29,introduced in Senate,1
SR248,2023,RS,2023-03-29,to Committee on Committees (S),2
SR248,2023,RS,2023-03-29,adopted by voice vote,3
SR249,2023,RS,2023-03-29,introduced in Senate,1
SR249,2023,RS,2023-03-29,to Committee on Committees (S),2
