bill_id,term,session,title,summary,commem
HB0005,2023_2024,2023-RS,AN ACT relating to fiscal matters and declaring an emergency.,"Amend KRS 132.140 to allow an exemption of the property tax on distilled spirits stored or aging in barrels located in a bonded warehouse or premises; amend KRS 141.389 to allow the distilled spirits income tax credit only to taxable years beginning prior to January 1, 2024, but allow the accumulated credit to be claimed after that date; prohibit the Department of Revenue from considering any settlement agreement between the department and any taxpayer having distilled spirits in a bonded warehouse to be null and void; allow the agreement to be renegotiated; require the renegotiated agreement to be promulgated in an administrative regulation following the renegotiation process.",0
HB0006,2023_2024,2023-RS,AN ACT relating to peace officer certification.,Amend KRS 15.392 to include gender-neutral language.,0
HB0007,2023_2024,2023-RS,AN ACT relating to state government.,"Amend KRS 61.101, relating to government employment, to insert gender-neutral language.",0
HB0008,2023_2024,2023-RS,AN ACT relating to local government.,Amend KRS 67.160 to make technical change.,0
HB0009,2023_2024,2023-RS,AN ACT relating to economic relief for local communities of the Commonwealth and making an appropriation therefor.,"Create new sections of KRS Chapter 147A to enable the Department for Local Government to enter a partnership with the Kentucky Council of Area Development Districts for create and administer the Government Resources Accelerating Needed Transformation Program; define terms; require the Department for Local Government in partnership with the Kentucky Council of Area Development Districts to create and administer the program; establish the duties of the Department for Local Government and the Kentucky Council of Area Development Districts in the implementation of the program; establish a sunset provision of December 31, 2026; establish requirements for grant applications; create a fund for the program; establish project evaluation and scoring requirements; establish program reporting requirements; cite as the Government Resources Accelerating Needed Transformation Act.",0
HB0494,2023_2024,2023-RS,AN ACT relating to crimes and punishments.,Amend KRS 523.070 to make technical corrections.,0
HB0495,2023_2024,2023-RS,AN ACT relating to coverage for cancer detection.,"Create a new section of Subtitle 17A of KRS Chapter 304 to require coverage for screenings, tests, and procedures performed for the purpose of detecting cancer that occur prior to diagnosis; create new sections of Subtitles 17C and 38A of KRS Chapter 304 and amend KRS 205.522, 164.2871, and 18A.225 to require limited health service benefit plans, limited health service organizations, Medicaid, self-insured employer group health plans provided by the governing board of a state postsecondary education institution, and the state employee health plan to comply with the cancer coverage requirement; provide when various sections apply to health insurance policies, certificates, plans, or contracts; require the Department of Insurance and the Cabinet for Health and Family Services to obtain federal waivers under certain circumstances; EFFECTIVE, in part, January 1, 2024.",0
HB0496,2023_2024,2023-RS,AN ACT relating to motorboats and making an appropriation therefor.,"Create a new section of KRS Chapter 132 to exempt federally documented vessels from property taxation; create new sections of KRS Chapter 235 to establish the waterway usage fee and the distribution of revenue generated from the fee; establish the waterway usage fund; create a new section of KRS Chapter 148 to establish the Kentucky lakes and rivers tourism fund; require grants of money from the fund to go to marinas qualifying through an application process; amend KRS 235.990 to establish a penalty for nonpayment of the waterway usage fee; amend KRS 235.999 and 150.160 to distribute the money collected from the penalty; amend KRS 132.020 and 132.200 to make conforming changes; EFFECTIVE January 1, 2024; APPROPRIATION.",0
HB0497,2023_2024,2023-RS,AN ACT relating to tourism.,Amend KRS 148.0211 to include gender-neutral pronouns.,0
HB0498,2023_2024,2023-RS,AN ACT relating to expulsion of students.,Amend KRS 158.150 to include possession of any intoxicating tetrahydrocannabinol product as a cause for suspension or expulsion from school; require a local board of education to expel a student for at least 12 months if a student makes threats that pose a danger to other students or staff; require a local board of education to conduct an expulsion review process to determine whether a student's expulsion shall continue or end; amend KRS 158.155 and 158.444 to conform.,0
HB0499,2023_2024,2023-RS,AN ACT relating to custody.,Amend KRS 405.020 to allow people other than parents to petition for custody of child if the parents are claimed to be unfit or have waived their superior rights to custody.,0
HB0500,2023_2024,2023-RS,AN ACT relating to agricultural land.,"Create a new section of KRS Chapter 247 to prohibit a nonresident alien, foreign business, agent, trustee, or fiduciary associated with the government of any prohibited country as referenced in 22 C.F.R. sec. 126.1 from the purchase, lease, or acquisition of agricultural lands in Kentucky or participation in programs administered by the Department of Agriculture, Agricultural Development Board, and Kentucky Agricultural Finance Corporation.",0
HB0501,2023_2024,2023-RS,AN ACT relating to elections.,Amend KRS 118.185 to insert gender-neutral language.,0
HB0502,2023_2024,2023-RS,AN ACT relating to health care services agencies.,"Amend KRS 216.718 to define ""permanent direct care staff"" and ""temporary direct care staff""; amend KRS 216.772, 216.724, 216.726, and 216.728  to conform.",0
HB0503,2023_2024,2023-RS,AN ACT relating to consolidated emergency services districts.,Create a new section of KRS Chapter 75A to require that employees of a consolidated emergency services district pursuant to KRS Chapter 75 but now are employees pursuant to KRS Chapter 75A who were employees of a fire protection district are entitled to the same benefits as employees pursuant to KRS Chapter 75.,0
HB0504,2023_2024,2023-RS,AN ACT relating to school funding.,"Repeal, reenact, and amend KRS 157.320, 157.069, 157.200, 157.350, 157.360, 157.370, 157.390, 157.420, 157.621, 157.660, 158.030, 158.070, 159.035, 159.075, 159.090, 160.107, 160.345, 160.486, 160.593, 160.6152, 160.644. and 164.380 to transition the school funding model from using average daily attendance to average daily membership; make conforming changes; EFFECTIVE July 1, 2024.",0
HB0505,2023_2024,2023-RS,AN ACT relating to a leave of absence for service to the General Assembly.,Amend KRS 161.545 to provide that administrative regulations adopted by the Teachers' Retirement System board shall not limit the amount of approved leave of absence service a member may purchase for service to the General Assembly.,0
HB0506,2023_2024,2023-RS,AN ACT relating to post-retirement options for state and local employees.,"Amend KRS 61.635 to establish a partial lump sum option (PLSO), with and without survivor rights, as a payment option for retiring members of the Kentucky Employees Retirement System (KERS), County Employees Retirement System (CERS), or State Police Retirement System (SPRS); provide that the PLSO shall include a lump-sum payment of 12, 24, 36, 48, or 60 months of payments and a lifetime benefit that is actuarially reduced to reflect the lump-sum payment; require the systems to develop information to assist the member in evaluating the PLSO as a potential payment option; amend KRS 61.637 and 78.5540 to change the required break in employment before a KERS, CERS, or SPRS retiree may return to work with a participating employer from 1 or 3 months, depending upon the position, to 1 month; make technical changes; EFFECTIVE January 1, 2024.",0
HB0507,2023_2024,2023-RS,AN ACT relating to jail construction and declaring an emergency.,"Create a new section of KRS 441.420 to 441.450 to place a moratorium on building, constructing, remodeling, or making other physical changes to local correctional facilites, and the remodeling of local correctional facilities if that remodeling is financed with debt; include an exception in the case that a court of law orders specific construction; provide that the provisions be repealed effective December 31, 2028; EMERGENCY.",0
HB0508,2023_2024,2023-RS,AN ACT relating to residential planned communities.,"Create a new section of KRS Chapter 381 to allow the appointment of a receiver for a planned community homeowners' association when that association fails to maintain the infrastructure, common area, storm water detention or retention area, or other facility that it is legally obligated to maintain; allow a city to recover funds expended to repair, renovate, maintain, or otherwise bring violations up to code.",0
HB0509,2023_2024,2023-RS,AN ACT relating to criminal procedure.,Amend KRS 533.220 to include gender-neutral language.,0
