bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1642024,2024,HB1,4,Passed,2023-02-17,"AN ACT relating to income taxation.","Amend KRS 141.020 to reduce the individual income tax to 4.5% for taxable years beginning January 1, 2023, and to 4% for taxable years beginning January 1, 2024.",0,,2023-02-17,"signed by Governor (Acts Ch. 3)",https://legiscan.com/KY/bill/HB1/2023,https://apps.legislature.ky.gov/record/23RS/hb1.html
1642011,2024,HB2,4,Passed,2023-02-15,"AN ACT relating to the Bowling Green Veterans Center, making an appropriation therefor, and declaring an emergency.","Provide General Fund moneys in the amount of $16,630,000 in fiscal year 2022-2023 from the Budget Reserve Trust Fund Account to the Department of Veterans' Affairs for construction of the Bowling Green Veterans Center; APPROPRIATION; EMERGENCY.",0,,2023-02-15,"signed by Governor (Acts Ch. 2)",https://legiscan.com/KY/bill/HB2/2023,https://apps.legislature.ky.gov/record/23RS/hb2.html
1698815,2024,HB3,4,Passed,2023-03-27,"AN ACT relating to juvenile justice and making an appropriation therefor.","Amend KRS 610.030 to require a report to the court of truancy cases when there is no action implemented by the response team within 90 days; require a court-designated worker to make a finding if diversion is failed due to lack of parental cooperation; allow a court to refer cases back to the court-designated worker and order parental cooperation; amend KRS 610.990 to establish penalty; amend KRS 610.265 to require children charged with serious felony offenses to be detained pending a detention hearing and to be evaluated for treatment; amend KRS 610.340 to provide that confidentiality does not apply to cases in which a child has admitted to or been adjudicated for a violent felony offense for five years; direct renovations to the Jefferson County Youth Detention Center; APPROPRIATION.",0,,2023-03-27,"signed by Governor (Acts Ch. 105)",https://legiscan.com/KY/bill/HB3/2023,https://apps.legislature.ky.gov/record/23RS/hb3.html
1704079,2024,HB4,4,Passed,2023-03-30,"AN ACT relating to merchant electric generating facilities and making an appropriation therefor.","Amend KRS 278.702 to provide that the terms of service for the ad hoc members of the Kentucky State Board on Electric Generation and Transmission Siting end when the merchant electric generating facility for which they were appointed has been constructed and has begun generating electricity for sale or its construction certificate expires; amend KRS 278.704 to lengthen the period of time that a construction certificate for a merchant electric generating facility is valid from 2 years to 3 years; include decommissioning requirements within the requirements over which local planning and zoning requirements shall have primacy; remove outdated language; amend KRS 278.706 to require that a decommissioning plan be included in an application for construction of a merchant electric generating facility; establish minimum requirements for a decommissioning plan; require as part of a decommission plan that a bond or similar security be secured to assure that the decommissioning plan is accomplished; establish requirements for how the bond is set and how the beneficiaries of the bond are to be determined; require that certain components of the decommissioning plan be incorporated into the construction certificate applicant's leases with landowners; amend KRS 278.708 to reference the transfer of the enforcement authority for mitigation measures that are conditions of application approval from the board to the Energy and Environment Cabinet; amend KRS 278.710 to include whether the decommissioning plan is complete and complies with the requirements of the Act in the criteria for approval of a construction certificate for a merchant electric generating facility; require a person that has received a construction certificate for a merchant electric generating facility file with the Energy and Environment Cabinet the copy of the bond or similar security no later than the date that construction commences for the facility; require that an updated copy of the bond or similar security be refiled at least once every 5 years thereafter; require notice to be filed with the Energy and Environment Cabinet when the construction of the merchant electric generating facility is complete and has begun producing electricity for sale; require that notice be given of any transaction involving the sale or transfer of ownership of the facility to the Energy and Environment Cabinet and local officials within 10 days of finalizing the transaction; require a person who has acquired a merchant electric generating facility to file with the Energy and Environment Cabinet written consent to assume the obligations in the decommissioning plan for the facility and to adopt or replace the required decommissioning bond; provide that the transferor of control of a merchant electric generating facility remain liable for its decommissioning obligations until the transferee completes the documentation required by the Act and the secretary of the Energy and Environment cabinet accepts it as complete; provide that application approval conditions that require approval of transfer of control shall be void and unenforceable, subject to the requirements of the section; provide that after the application for a construction certificate for a merchant electric generating facility has been approved, the bond required by the Act has been posted, the facility has been constructed, and it has begun generating electricity for sale, the secretary of the Energy and Environment Cabinet shall ensure the facility's ongoing compliance with the requirements of KRS 278.700 to 278.716 and the conditions of its construction certificate approval, including updating its decommissioning plan and bond amounts at least once every 5 years; transfer the enforcement authority for mitigation measures that are conditions of application approval from the board to the Energy and Environment Cabinet once the facility is constructed and begins generating electricity for sale; require that while the electric merchant generating facility is operational, if solar panels are removed and discarded, the discarded solar panels be removed from the site within 90 days of the completion of the work; amend KRS 278.718 to provide that an ordinance, permit, or license issued by a local government shall have primacy over the requirements of KRS 278.700 and Sections 2, 3, and 4 of this Act; amend KRS 224.10-100 to authorize the Energy and Environment Cabinet to monitor and enforce compliance of merchant electric generating entities with the requirements of the Act; authorize the Energy and Environment Cabinet to draw upon a decommissioning bond or other similar security for which it is named a beneficiary to complete an approved decommissioning plan; amend KRS 224.99-010 to give jurisdiction to the Circuit Court in any county where a merchant electric generating facility is located for actions arising from or related to certain provisions of the Act; allow for a civil penalty not to exceed $2,500 per day to be imposed for violation of the bonding and bond transfer requirements in the Act; allow for the suspension of a merchant electric generating facility's operations for failing to pay civil penalties or complying with the bonding transfer requirements of the Act; allow for the decommissioning of the facility if it is still noncompliant after 90 days of suspension of its operation; create a new section of Subchapter 10 of KRS Chapter 224 to require that if a merchant electric facility fails to complete its decommissioning plan within 18 months of ceasing to produce electricity for sale, then the cabinet shall draw upon the decommissioning bond and implement the decommissioning plan; require the Energy and Environment Cabinet within 90 days of the effective date of the Act to promulgate administrative regulations to establish the monitoring and enforcement of the bonding and bond transfer requirements of the Act; allow the Energy and Environment Cabinet to establish a fee structure to cover the costs of its enforcement responsibilities; establish the merchant electric generating facility monitoring and enforcement fund to receive the fees and penalties collected by the Energy and Environment Cabinet pursuant to their monitoring and enforcement responsibilities under the Act; require that the funds collected only be used to defray the Energy and Environment Cabinet's costs related to their monitoring and enforcement responsibilities under the Act; require that all expenses for the determination of the bond amount and for the procurement of decommissioning services by the Energy and Environment be paid by the owner of the merchant electric generating facility; APPROPRIATION.",0,,2023-03-30,"delivered to Secretary of State (Acts Ch. 140)",https://legiscan.com/KY/bill/HB4/2023,https://apps.legislature.ky.gov/record/23RS/hb4.html
1718794,2024,HB5,4,Passed,2023-03-31,"AN ACT relating to fiscal matters and declaring an emergency.","Amend KRS 132.140 to allow an exemption of the property tax on distilled spirits stored or aging in barrels located in a bonded warehouse or premises; amend KRS 141.389 to allow the distilled spirits income tax credit only to taxable years beginning prior to January 1, 2024, but allow the accumulated credit to be claimed after that date; prohibit the Department of Revenue from considering any settlement agreement between the department and any taxpayer having distilled spirits in a bonded warehouse to be null and void; allow the agreement to be renegotiated; require the renegotiated agreement to be promulgated in an administrative regulation following the renegotiation process.",0,,2023-03-31,"signed by Governor (Acts Ch. 148)",https://legiscan.com/KY/bill/HB5/2023,https://apps.legislature.ky.gov/record/23RS/hb5.html
1718808,2024,HB6,1,Introduced,2023-02-22,"AN ACT relating to peace officer certification.","Amend KRS 15.392 to include gender-neutral language.",317,"House Committee On Committees",2023-03-02,"returned to Committee on Committees (H)",https://legiscan.com/KY/bill/HB6/2023,https://apps.legislature.ky.gov/record/23RS/hb6.html
1718724,2024,HB7,1,Introduced,2023-02-22,"AN ACT relating to state government.","Amend KRS 61.101, relating to government employment, to insert gender-neutral language.",317,"House Committee On Committees",2023-03-02,"returned to Committee on Committees (H)",https://legiscan.com/KY/bill/HB7/2023,https://apps.legislature.ky.gov/record/23RS/hb7.html
1718484,2024,HB8,1,Introduced,2023-02-22,"AN ACT relating to local government.","Amend KRS 67.160 to make technical change.",317,"House Committee On Committees",2023-03-02,"returned to Committee on Committees (H)",https://legiscan.com/KY/bill/HB8/2023,https://apps.legislature.ky.gov/record/23RS/hb8.html
1718691,2024,HB9,4,Passed,2023-04-07,"AN ACT relating to economic relief for local communities of the Commonwealth and making an appropriation therefor.","Create new sections of KRS Chapter 147A to enable the Department for Local Government to enter a partnership with the Kentucky Council of Area Development Districts for create and administer the Government Resources Accelerating Needed Transformation Program; define terms; require the Department for Local Government in partnership with the Kentucky Council of Area Development Districts to create and administer the program; establish the duties of the Department for Local Government and the Kentucky Council of Area Development Districts in the implementation of the program; establish a sunset provision of December 31, 2026; establish requirements for grant applications; create a fund for the program; establish project evaluation and scoring requirements; establish program reporting requirements; cite as the Government Resources Accelerating Needed Transformation Act.",0,,2023-04-07,"signed by Governor (Acts Ch. 186)",https://legiscan.com/KY/bill/HB9/2023,https://apps.legislature.ky.gov/record/23RS/hb9.html
1642063,2024,HB10,1,Introduced,2023-01-03,"AN ACT relating to registration of professional employer organizations and declaring an emergency.","Amend KRS 336.236 to change the registration period for existing professional employer organizations as of July 14, 2022, to register with the Department of Workers' Claims by July 15, 2024; amend KRS 336.248 to require professional employer organizations to report and pay all unemployment insurance fund contributions using the state employer identification number and contribution rate of the client between the effective date of the Act and December 31, 2024; provide that after January 1, 2025, the professional employer organization shall report and pay all unemployment insurance fund contributions using the state employer identification number and contribution rate of the professional employer organization; amend KRS 336.250 to prohibit professional employer organizations from operating in Kentucky after July 15, 2024, without registering with the Department of Workers' Claims; provide that provisions in KRS 336.230 to 336.250 not amended in this Act are not changed; prohibit the Education and Labor Cabinet from requiring or enforcing certain reporting or payment for the period between July 14, 2022, and when this Act takes effect; EMERGENCY.",321,"House Appropriations and Revenue",2023-02-07,"recommitted to Appropriations & Revenue (H)",https://legiscan.com/KY/bill/HB10/2023,https://apps.legislature.ky.gov/record/23RS/hb10.html
