bill_id,people_id,position
1641989,19375,1
1641990,18494,1
1641990,23617,2
1641991,1123,3
1641991,14432,1
1641991,20482,2
1641991,23563,4
1641992,18251,5
1641992,20557,8
1641992,22053,3
1641992,22062,7
1641992,22064,1
1641992,22068,13
1641992,23563,11
1641992,23619,9
1641992,23620,6
1641992,23622,10
1641992,23623,12
1641992,23689,2
1641992,23692,4
1641994,23564,2
1641994,23565,1
1641996,16669,1
1641996,18428,5
1641996,22068,6
1641996,23011,7
1641996,23566,8
1641996,23617,2
1641996,23620,4
1641996,23689,3
1641997,1141,7
1641997,1182,14
1641997,11086,12
1641997,18336,1
1641997,18430,9
1641997,18493,15
1641997,20269,2
1641997,20483,17
1641997,20555,4
1641997,22052,5
1641997,22061,11
1641997,23561,10
1641997,23562,8
1641997,23566,18
1641997,23618,3
1641997,23624,16
1641997,23690,6
1641997,23695,13
1641998,21423,1
1642003,1223,1
1642003,16603,2
1642004,16667,2
1642004,20556,1
1642004,22053,3
1642005,11095,1
1642010,1226,2
1642010,1238,1
1642010,1246,12
1642010,11095,17
1642010,16603,18
1642010,16606,4
1642010,17672,14
1642010,18252,8
1642010,18253,9
1642010,18339,10
1642010,21348,15
1642010,22127,11
1642010,23014,6
1642010,23560,3
1642010,23564,13
1642010,23565,16
1642010,23628,5
1642010,23721,7
1642011,1179,18
1642011,1182,19
1642011,11086,1
1642011,14431,11
1642011,17926,9
1642011,18248,21
1642011,18336,4
1642011,18392,14
1642011,18427,24
1642011,18432,10
1642011,18489,2
1642011,18493,22
1642011,20373,17
1642011,20387,16
1642011,20483,23
1642011,20555,5
1642011,21424,12
1642011,22055,7
1642011,22068,25
1642011,23011,26
1642011,23561,13
1642011,23562,8
1642011,23618,3
1642011,23623,20
1642011,23625,6
1642011,23694,15
1642011,23698,27
1642012,18392,2
1642012,18427,1
1642012,23566,4
1642012,23619,3
1642015,16111,1
1642019,20473,5
1642019,22053,2
1642019,22056,1
1642019,22067,4
1642019,22069,7
1642019,23011,6
1642019,23563,3
1642021,1141,8
1642021,1179,19
1642021,1182,20
1642021,1191,23
1642021,11086,18
