bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1814231,2884282,text,89702,application/pdf,Introduced,https://legiscan.com/KY/text/HB1/id/2884282,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb1/orig_bill.pdf
1814231,2912534,text,93794,application/pdf,Engrossed,https://legiscan.com/KY/text/HB1/id/2912534,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb1/bill.pdf
1814231,2970819,text,191066,application/pdf,Enrolled,https://legiscan.com/KY/text/HB1/id/2970819,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb1/bill.pdf
1814231,2980579,text,191730,application/pdf,Chaptered,https://legiscan.com/KY/text/HB1/id/2980579,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb1/bill.pdf
1814231,3014128,text,157182,application/pdf,Chaptered,https://legiscan.com/KY/text/HB1/id/3014128,https://apps.legislature.ky.gov/law/acts/24RS/documents/0173.pdf
1829611,2904465,text,21924,application/pdf,Introduced,https://legiscan.com/KY/text/HB2/id/2904465,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb2/orig_bill.pdf
1829611,2959549,text,22023,application/pdf,Engrossed,https://legiscan.com/KY/text/HB2/id/2959549,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb2/bill.pdf
1829611,3013994,text,20745,application/pdf,Chaptered,https://legiscan.com/KY/text/HB2/id/3013994,https://apps.legislature.ky.gov/law/acts/24RS/documents/0008.pdf
1854617,2941373,text,62479,application/pdf,Introduced,https://legiscan.com/KY/text/HB3/id/2941373,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb3/orig_bill.pdf
1854617,2959537,text,66686,application/pdf,Engrossed,https://legiscan.com/KY/text/HB3/id/2959537,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb3/bill.pdf
1854617,3013999,text,53673,application/pdf,Chaptered,https://legiscan.com/KY/text/HB3/id/3013999,https://apps.legislature.ky.gov/law/acts/24RS/documents/0061.pdf
1838862,2916925,text,22445,application/pdf,Introduced,https://legiscan.com/KY/text/HB4/id/2916925,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb4/orig_bill.pdf
1804193,2877158,text,304692,application/pdf,Introduced,https://legiscan.com/KY/text/HB5/id/2877158,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb5/orig_bill.pdf
1804193,2903556,text,320184,application/pdf,Engrossed,https://legiscan.com/KY/text/HB5/id/2903556,https://apps.legislature.ky.gov/recorddocuments/bill/24RS/hb5/bill.pdf
