people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
1123,"Kevin Bratcher",Kevin,D.,Bratcher,,,2,R,1,Rep,HD-029,9252615,9464,,Kevin_Bratcher,194786,0
1141,"Myron Dossett",Myron,B.,Dossett,,,2,R,1,Rep,HD-009,13000584,58221,,Myron_Dossett,249896,0
1151,"Jim Gooch",Jim,,Gooch,Jr.,,2,R,1,Rep,HD-012,6377282,4096,,Jim_Gooch_Jr.,194769,0
1152,"Derrick Graham",Derrick,W.,Graham,,,1,D,1,Rep,HD-057,6388958,35040,,Derrick_Graham,194814,0
1179,"David Osborne",David,W.,Osborne,,,2,R,1,Rep,HD-059,6668176,35099,,David_Osborne,240025,0
1182,"Ruth Palumbo",Ruth,Ann,Palumbo,,,1,D,1,Rep,HD-076,6377435,4122,,Ruth_Palumbo,194833,0
1191,"Steven Rudy",Steven,Jack,Rudy,,,2,R,1,Rep,HD-001,6656498,35156,,Steven_Rudy,227171,0
1207,"Ken Upchurch",Ken,,Upchurch,,,2,R,1,Rep,HD-052,6573664,18799,,Ken_Upchurch,194809,0
1223,"David Givens",David,P.,Givens,,,2,R,2,Sen,SD-009,13011982,102311,,David_Givens,269095,0
1224,"Denise Harper Angel",Denise,,"Harper Angel",,,1,D,2,Sen,SD-035,6452986,167540,,Denise_Harper_Angel,227167,0
1226,"Jimmy Higdon",Jimmy,,Higdon,,,2,R,2,Sen,SD-014,6585778,35042,,Jimmy_Higdon,212655,0
1232,"Gerald Neal",Gerald,A.,Neal,,,1,D,2,Sen,SD-033,6391541,4041,,Gerald_Neal,194749,0
1238,"John Schickel",John,,Schickel,,,2,R,2,Sen,SD-011,13011992,102313,,John_Schickel,269096,0
1241,"Brandon Smith",Brandon,D.,Smith,,,2,R,2,Sen,SD-030,13000832,34928,,Brandon_Smith_(Kentucky),205577,0
1244,"Robert Stivers",Robert,,Stivers,,,2,R,2,Sen,SD-025,6589415,9609,,Robert_Stivers,194742,0
1246,"Damon Thayer",Damon,,Thayer,,,2,R,2,Sen,SD-017,6656549,35109,,Damon_Thayer,213900,0
1249,"Robin Webb",Robin,L.,Webb,,,1,D,2,Sen,SD-018,6377563,18710,,Robin_Webb,194753,0
11083,"Julie Raque Adams",Julie,,Adams,,,2,R,2,Sen,SD-036,6681850,73611,,Julie_Raque_Adams,293182,0
11085,"Kim King",Kim,,King,,,2,R,1,Rep,HD-055,6681908,117329,,Kim_King,291569,0
11086,"Michael Meredith",Michael,Lee,Meredith,,,2,R,1,Rep,HD-019,6681826,117313,,Michael_Meredith,291543,0
11087,"Mike Nemes",Michael,,Nemes,,Mike,2,R,2,Sen,SD-038,6681868,117321,,Mike_Nemes,289938,0
11094,"Jared Carpenter",Jared,K.,Carpenter,,,2,R,2,Sen,SD-034,6682061,117573,,Jared_Carpenter,291530,0
11095,"Mike Wilson",Mike,,Wilson,,,2,R,2,Sen,SD-032,6682055,117300,,Mike_Wilson,291526,0
14422,"David Meade",David,,Meade,,,2,R,1,Rep,HD-080,10238671,135529,,David_Meade,393034,0
14431,"Richard Heath",Richard,,Heath,,,2,R,1,Rep,HD-002,10238659,135485,,Richard_Heath,390916,0
14432,"Russell Webber",Russell,,Webber,,,2,R,1,Rep,HD-026,6585864,18694,,Russell_Webber,291566,0
14434,"Christian McDaniel",Christian,,McDaniel,,Chris,2,R,2,Sen,SD-023,12591708,135477,,Chris_McDaniel_(Kentucky),390906,0
14435,"Whitney Westerfield",Whitney,H.,Westerfield,,,2,R,2,Sen,SD-003,12591699,139820,,Whitney_Westerfield,395235,0
16110,"Suzanne Miles",Suzanne,,Miles,,,2,R,1,Rep,HD-007,19453985,146041,,Suzanne_Miles,296038,0
16111,"Reginald Thomas",Reginald,,Thomas,,Reggie,1,D,2,Sen,SD-013,9210262,146040,,Reggie_Thomas,393204,0
16603,"George Wise",George,Maxwell,Wise,,Max,2,R,2,Sen,SD-016,11932451,148892,,Max_Wise,483101,0
16606,"Danny Carroll",Danny,,Carroll,,,2,R,2,Sen,SD-002,20876841,148875,,Danny_Carroll,481863,0
16640,"George Brown",George,A.,Brown,Jr.,,1,D,1,Rep,HD-077,21078282,148990,,George_A._Brown_Jr.,482215,0
16667,"David Hale",David,,Hale,,,2,R,1,Rep,HD-074,21078278,148984,,David_Hale_(Kentucky),484775,0
16669,"James Tipton",James,A.,Tipton,,,2,R,1,Rep,HD-053,9214003,148972,,James_A._Tipton,475178,0
17672,"Steve West",Steve,,West,,,2,R,2,Sen,SD-027,6681931,117598,,Steve_West_(Kentucky),291576,0
17926,"Daniel Elliott",Daniel,B.,Elliott,,,2,R,1,Rep,HD-054,38601755,167620,,Daniel_Elliott_(Kentucky),565824,0
18248,"Brandon Reed",William,Brandon,Reed,,Brandon,2,R,1,Rep,HD-024,6470866,56713,,Brandon_Reed,566222,0
18251,"Mark Hart",Mark,,Hart,,,2,R,1,Rep,HD-078,15925588,148992,,Mark_Hart,484124,0
18252,"Rick Girdler",Rick,,Girdler,,,2,R,2,Sen,SD-015,39494718,167526,,Rick_Girdler,561411,0
18253,"Stephen Meredith",Stephen,L.,Meredith,,,2,R,2,Sen,SD-005,9179679,135519,,Stephen_Meredith,393015,0
18336,"Danny Bentley",Danny,R.,Bentley,,,2,R,1,Rep,HD-098,2621314,167667,,Danny_Bentley,566968,0
18339,"Robert Mills",Robert,M.,Mills,,Robby,2,R,2,Sen,SD-004,39494745,167585,,Robby_Mills,560766,0
18392,"DJ Johnson",DJ,,Johnson,,,2,R,1,Rep,HD-013,39494730,167586,,D.J._Johnson_(Kentucky),565297,0
18427,"Walker Thomas",Walker,Wood,Thomas,,,2,R,1,Rep,HD-008,38601751,167582,,Walker_Thomas,566613,0
18428,"Kimberly Moser",Kimberly,Poore,Moser,,,2,R,1,Rep,HD-064,19266955,167634,,Kimberly_Poore_Moser,566971,0
18429,"Phillip Pratt",Phillip,,Pratt,,,2,R,1,Rep,HD-062,9228602,167629,,Phillip_Pratt,564914,0
18430,"Alan Gentry",Alan,,Gentry,,,1,D,1,Rep,HD-046,39494717,167608,,Alan_Gentry,560769,0
18431,"John Blanton",John,C.,Blanton,,,2,R,1,Rep,HD-092,39494679,167651,,John_Blanton,566620,0
18432,"Chris Fugate",Chris,,Fugate,,,2,R,1,Rep,HD-084,20537655,167648,,Chris_Fugate,566974,0
18489,"Jason Petrie",Jason,,Petrie,,,2,R,1,Rep,HD-016,9370460,154004,,Jason_Petrie,492693,0
18493,"Steve Riley",Steve,,Riley,,,2,R,1,Rep,HD-023,9291660,167592,,Steve_Riley_(Kentucky),564908,0
18494,"Ken Fleming",Ken,,Fleming,,,2,R,1,Rep,HD-048,9219462,73588,,Ken_Fleming,562448,0
19375,"Jason Nemes",Jason,Michael,Nemes,,,2,R,1,Rep,HD-033,9224075,175824,,Jason_Michael_Nemes,559877,0
20268,"Josie Raymond",Josie,,Raymond,,,1,D,1,Rep,HD-041,44272753,177942,,Josie_Raymond,647174,0
20269,"Lisa Willner",Lisa,,Willner,,,1,D,1,Rep,HD-035,44272762,177950,,Lisa_Willner,645090,0
20373,"Scott Lewis",Scott,,Lewis,,,2,R,1,Rep,HD-014,44272726,177916,,Scott_Lewis_(Kentucky),652419,0
20387,"Matthew Koch",Matthew,R.,Koch,,,2,R,1,Rep,HD-072,44272817,178013,,Matthew_Koch,653769,0
20389,"Chris Freeland",Chris,,Freeland,,,2,R,1,Rep,HD-006,44272715,177909,,Chris_Freeland,650299,0
20473,"Ashley Tackett Laferty",Ashley,,"Tackett Laferty",,,1,D,1,Rep,HD-095,44272851,178038,,Ashley_Tackett_Laferty,645512,0
20474,"Bobby McCool",Bobby,Wayne,McCool,,,2,R,1,Rep,HD-097,12591698,139845,,Bobby_McCool,395353,0
20476,"Cherlynn Stevenson",Cherlynn,,Stevenson,,,1,D,1,Rep,HD-088,44272836,178029,,Cherlynn_Stevenson,646740,0
20477,"Deanna Frazier Gordon",Deanna,L.,"Frazier Gordon",,,2,R,1,Rep,HD-081,44272826,178020,,Deanna_Frazier,653771,0
20482,"Nima Kulkarni",Nima,,Kulkarni,,,1,D,1,Rep,HD-040,44272771,177957,,Nima_Kulkarni,653754,0
20483,"Nancy Tate",Nancy,J.,Tate,,,2,R,1,Rep,HD-027,44272749,177937,,Nancy_Tate,647873,0
20485,"Randy Bridges",Randall,,Bridges,,Randy,2,R,1,Rep,HD-003,20877358,148927,,Randy_Bridges,484955,0
20486,"Tina Bojanowski",Tina,,Bojanowski,,,1,D,1,Rep,HD-032,44272755,177944,,Tina_Bojanowski,644691,0
20489,"Thomas Huff",Thomas,,Huff,,,2,R,1,Rep,HD-049,44272787,177970,,Thomas_Huff_(Kentucky),653325,0
20555,"Adam Bowling",Adam,,Bowling,,,2,R,1,Rep,HD-087,37957457,178027,,Adam_Bowling,643541,0
20556,"Derek Lewis",Derek,,Lewis,,,2,R,1,Rep,HD-090,44272844,178034,,Derek_Lewis_(Kentucky),643542,0
20557,"Savannah Maddox",Savannah,,Maddox,,,2,R,1,Rep,HD-061,42431074,178000,,Savannah_Maddox,651221,0
21348,"Phillip Wheeler",Phillip,,Wheeler,,,2,R,2,Sen,SD-031,9179358,167660,,Phillip_Wheeler,698871,0
21423,"Kimberly Banta",Kimberly,,Banta,,Kim,2,R,1,Rep,HD-063,47996313,187115,,Kimberly_Banta,723996,0
21424,"Samara Heavrin",Samara,Rae,Heavrin,,,2,R,1,Rep,HD-018,48057188,187200,,Samara_Heavrin,526520,0
21616,"Richard White",Richard,,White,,,2,R,1,Rep,HD-099,13012046,102319,,Richard_White_(Kentucky),729261,0
21617,"Rachel Roberts",Rachel,,Roberts,,,1,D,1,Rep,HD-067,40565523,178057,,Rachel_Roberts_(Kentucky),651803,0
22050,"Shane Baker",Shane,,Baker,,,2,R,1,Rep,HD-085,47378299,189594,,Shane_Baker,729239,0
22051,"Joshua Branscum",Joshua,,Branscum,,,2,R,1,Rep,HD-083,48878878,189592,,Joshua_Branscum,724136,0
22052,"Josh Bray",Josh,,Bray,,,2,R,1,Rep,HD-071,48878868,189584,,Josh_Bray,729236,0
22053,"Josh Calloway",Josh,,Calloway,,,2,R,1,Rep,HD-010,44272718,177911,,Josh_Calloway,653031,0
22054,"Jennifer Henson Decker",Jennifer,,"Henson Decker",,,2,R,1,Rep,HD-058,48878853,189567,,Jennifer_Decker,344749,0
22055,"Jonathan Dixon",Jonathan,,Dixon,,,2,R,1,Rep,HD-011,48878798,189523,,Jonathan_Dixon,725936,0
22056,"Ryan Dotson",Ryan,,Dotson,,,2,R,1,Rep,HD-073,6500008,117297,,Ryan_Dotson,291521,0
22057,"Daniel Fister",Daniel,A.,Fister,,Dan,2,R,1,Rep,HD-056,39494712,167625,,Daniel_Fister,566615,0
22058,"Patrick Flannery",Patrick,,Flannery,,,2,R,1,Rep,HD-096,11932283,189613,,Patrick_Flannery,727692,0
22059,"Mary Imes",Mary,Beth,Imes,,,2,R,1,Rep,HD-005,37964768,189521,,Mary_Imes,726465,0
22061,"William Lawrence",William,Lee,Lawrence,,,2,R,1,Rep,HD-070,48878866,189582,,William_Lawrence_(Kentucky),724325,0
22062,"Matt Lockett",Matt,,Lockett,,,2,R,1,Rep,HD-039,12591680,117291,,Matt_Lockett,284675,0
22063,"Shawn McPherson",Shawn,,McPherson,,,2,R,1,Rep,HD-022,13000629,109767,,Shawn_McPherson,269065,0
22064,"Felicia Rabourn",Felicia,,Rabourn,,,2,R,1,Rep,HD-047,48878843,189557,,Felicia_Rabourn,724454,0
22065,"Scott Sharp",Scott,L.,Sharp,,,2,R,1,Rep,HD-100,26415742,178054,,Scott_Sharp,653466,0
22066,"Tom Smith",Tom,Odell,Smith,,,2,R,1,Rep,HD-086,48878885,189601,,Tom_Smith_(Kentucky),729248,0
22067,"Pamela Stevenson",Pamela,D.,Stevenson,,,1,D,1,Rep,HD-043,44272780,177964,,Pamela_Stevenson,729212,0
22068,"Killian Timoney",Killian,,Timoney,,,2,R,1,Rep,HD-045,48878838,189554,,Killian_Timoney,728089,0
22069,"Billy Wesley",Billy,,Wesley,,Bill,2,R,1,Rep,HD-091,48878892,189608,,Billy_Wesley,723213,0
22070,"Brandon Storm",Brandon,Jackson,Storm,,,2,R,2,Sen,SD-021,48878811,189368,,Brandon_Storm,728763,0
22071,"Jason Howell",Jason,G.,Howell,,,2,R,2,Sen,SD-001,48878779,189351,,Jason_Howell_(Kentucky),726463,0
22127,"Adrienne Southworth",Adrienne,E.,Southworth,,,2,R,2,Sen,SD-007,48878794,189357,,Adrienne_Southworth,606260,0
22179,"Karen Berg",Karen,,Berg,,,1,D,2,Sen,SD-026,44272694,178058,,Karen_Berg,647302,0
22180,"David Yates",David,,Yates,,,1,D,2,Sen,SD-037,37966919,132043,,David_Yates,726044,0
22906,"Johnnie Turner",Johnnie,L.,Turner,,,2,R,2,Sen,SD-029,6500017,18843,,Johnnie_Turner_(Kentucky),194845,0
23010,"Michael Pollock",Michael,,Pollock,,,2,R,1,Rep,HD-051,54347734,200015,,Michael_Pollock,790594,0
23011,"Timmy Truett",Timothy,,Truett,,Timmy,2,R,1,Rep,HD-089,54347854,199722,,Timmy_Truett,790597,0
23014,"Donald Douglas",Donald,,Douglas,,,2,R,2,Sen,SD-022,54347856,200012,,Donald_Douglas,790591,0
23103,"Keturah Herron",Keturah,,Herron,,,1,D,1,Rep,HD-042,54452949,201422,,Keturah_Herron,796822,0
23560,"Gary Boswell",Gary,M.,Boswell,,,2,R,2,Sen,SD-008,20686839,201471,,Gary_Boswell,796595,0
23561,"Kevin Jackson",Kevin,,Jackson,,,2,R,1,Rep,HD-020,54452931,201509,,Kevin_Jackson,0,0
23562,"Robert Duvall",Robert,B.,Duvall,,,2,R,1,Rep,HD-017,17930626,201508,,Robert_Duvall_(Kentucky),0,0
23563,"Steve Rawlings",Steve,,Rawlings,,,2,R,1,Rep,HD-066,54452964,201565,,Steve_Rawlings,0,0
23564,"Lindsey Tichenor",Lindsey,,Tichenor,,,2,R,2,Sen,SD-006,55347508,201501,,Lindsey_Tichenor,0,0
23565,"Gex Williams",Jay,,Williams,III,Gex,2,R,2,Sen,SD-020,13000756,4055,,Gex_Williams,0,0
23566,"Wade Williams","D. Wade",,Williams,,Wade,2,R,1,Rep,HD-004,55356516,201495,,D._Wade_Williams,0,0
23617,"Jared Bauman",Jared,A.,Bauman,,,2,R,1,Rep,HD-028,55356504,201535,,Jared_Bauman,0,0
23618,"Chad Aull",Chad,,Aull,,,1,D,1,Rep,HD-079,54452972,201551,,Chad_Aull,0,0
23619,"Candy Massaroni",Candy,D.,Massaroni,,,2,R,1,Rep,HD-050,54452954,201581,,Candy_Massaroni,0,0
23620,"John Hodgson",John,F.,Hodgson,,,2,R,1,Rep,HD-036,54452945,201590,,John_Hodgson,0,0
23621,"Lindsey Burke",Lindsey,,Burke,,,1,D,1,Rep,HD-075,51110194,201554,,Lindsey_Burke,0,0
23622,"Marianne Proctor",Marianne,,Proctor,,,2,R,1,Rep,HD-060,55354108,201574,,Marianne_Proctor,0,0
23623,"Rebecca Raymer",Rebecca,,Raymer,,,2,R,1,Rep,HD-015,55356512,201507,,Rebecca_Raymer,0,0
23624,"Rachel Roarx",Rachel,,Roarx,,,1,D,1,Rep,HD-038,55356499,0,,Rachel_Roarx,0,0
23625,"Steve Bratcher",Steve,,Bratcher,,,2,R,1,Rep,HD-025,55356506,201529,,Steve_Bratcher,0,0
23626,"Stephanie Dietz",Stephanie,A.,Dietz,,,2,R,1,Rep,HD-065,55353052,0,,,0,0
