bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1795401,1393905,2024-02-23,Senate,"Senate: Third Reading W/scs1 sfa1 RSN# 2932",37,0,0,1,38
1795401,1415231,2024-03-25,House,"House: Third Reading RCS# 348",92,0,0,8,100
1795402,1364460,2024-01-16,Senate,"Senate: Third Reading RSN# 2864",33,0,0,5,38
1795402,1415235,2024-03-25,House,"House: Third Reading RCS# 336",92,0,0,8,100
1795403,1365722,2024-01-16,Senate,"Senate: Third Reading RSN# 2863",32,0,1,5,38
1795407,1397947,2024-02-28,House,"House: Third Reading RCS# 175",96,0,0,2,98
1795410,1380758,2024-02-09,House,"House: Third Reading RCS# 93",90,0,0,8,98
1795410,1414273,2024-03-22,Senate,"Senate: Third Reading W/scs1 RSN# 3035",37,0,0,1,38
1795414,1369783,2024-01-26,House,"House: Third Reading RCS# 41",87,0,0,11,98
1795414,1414265,2024-03-22,Senate,"Senate: Third Reading RSN# 3028",36,0,0,2,38
1795416,1366952,2024-01-19,House,"House: Third Reading RCS# 22",74,4,0,20,98
1795416,1417664,2024-03-28,Senate,"Senate: Third Reading RSN# 3158",38,0,0,0,38
1795435,1406198,2024-03-08,Senate,"Senate: Third Reading W/scs1 scta1 RSN# 2976",32,5,0,1,38
1795440,1377246,2024-02-06,Senate,"Senate: Third Reading W/scs1 RSN# 2893",38,0,0,0,38
1795440,1415891,2024-03-26,House,"House: Third Reading RCS# 366",96,0,0,4,100
1795446,1371144,2024-01-29,House,"House: Third Reading RCS# 44",92,1,0,5,98
1795446,1413878,2024-03-21,Senate,"Senate: Third Reading W/scs1 RSN# 3020",38,0,0,0,38
1795446,1416840,2024-03-27,House,"House: Third Reading RCS# 386",90,1,0,9,100
1795449,1370935,2024-01-29,Senate,"Senate: Third Reading RSN# 2881",35,0,0,3,38
1795449,1415876,2024-03-26,House,"House: Third Reading RCS# 363",95,0,0,5,100
1795453,1407038,2024-03-11,House,"House: Third Reading RCS# 260",75,18,0,5,98
1795456,1363348,2024-01-02,House,"House: Lay on the Clerks Desk RCS# 3",24,69,0,7,100
1795456,1363349,2024-01-02,House,"House: Adopt  RCS# 4",72,23,0,5,100
1795475,1396347,2024-02-27,House,"House: Third Reading RCS# 157",96,0,0,2,98
1795475,1417645,2024-03-28,Senate,"Senate: Third Reading RSN# 3117",34,2,0,2,38
1795478,1377475,2024-02-06,House,"House: Third Reading RCS# 80",90,5,0,3,98
1795478,1417636,2024-03-28,Senate,"Senate: Third Reading RSN# 3124",38,0,0,0,38
1795480,1373055,2024-01-31,House,"House: Third Reading RCS# 52",95,0,0,3,98
1795480,1414282,2024-03-22,Senate,"Senate: Third Reading W/scs1 scta1 RSN# 3037",37,0,0,1,38
1795480,1416815,2024-03-27,House,"House: Third Reading RCS# 380",97,0,0,3,100
