Date,State,Bill No,Title,Action
"March 30, 2023",KY,HB 135,Establishes a Legal Framework for the Use of Fully Autonomous Vehicles in Kentucky,"Concurrence Vote Passed
                           - House
                      

                      
                          (59 - 40)"
"March 30, 2023",KY,HB 5,Amends the State Bourbon Barrel Tax Exemption,"Concurrence Vote Passed
                           - House
                      

                      
                          (60 - 39)"
"March 30, 2023",KY,HB 5,Amends the State Bourbon Barrel Tax Exemption,"Bill Passed
                           - Senate
                      

                      
                          (23 - 14)"
"March 30, 2023",KY,SB 199,Prohibits Tracking Devices on Motor Vehicles Without Consent,"Bill Passed
                           - House
                      

                      
                          (86 - 10)"
"March 30, 2023",KY,HB 135,Establishes a Legal Framework for the Use of Fully Autonomous Vehicles in Kentucky,"Bill Passed
                           - Senate
                      

                      
                          (21 - 16)"
"March 30, 2023",KY,SB 268,Authorizes Restitution for Minors Whose Parents are Killed or Disabled by an Intoxicated Driver,"Bill Passed
                           - House
                      

                      
                          (84 - 12)"
"March 30, 2023",KY,HB 551,Establishes Legal Sports Betting,"Bill Passed
                           - Senate
                      

                      
                          (25 - 12)"
"March 30, 2023",KY,SB 47,Establishes Legal Medical Cannabis,"Bill Passed
                           - House
                      

                      
                          (66 - 33)"
"March 29, 2023",KY,SB 150,Prohibits Gender Affirming Care for Minors and Human Sexuality Education in Elementary School,"Veto Override Passed
                           - House
                      

                      
                          (76 - 23)"
"March 29, 2023",KY,SB 7,Prohibits Automatic Payroll Deductions Used to Pay Union Dues,"Veto Override Passed
                           - House
                      

                      
                          (68 - 29)"
"March 29, 2023",KY,SB 7,Prohibits Automatic Payroll Deductions Used to Pay Union Dues,"Veto Override Passed
                           - Senate
                      

                      
                          (24 - 11)"
"March 29, 2023",KY,SB 150,Prohibits Gender Affirming Care for Minors and Human Sexuality Education in Elementary School,"Veto Override Passed
                           - Senate
                      

                      
                          (29 - 8)"
"March 16, 2023",KY,HB 3,Appropriates $13.3 Million in Funds to Reopen Youth Detention Centers in Jefferson County,"Concurrence Vote Passed
                           - House
                      

                      
                          (76 - 16)"
"March 16, 2023",KY,SB 9,Increases Anti-Hazing Laws,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (30 - 4)"
"March 16, 2023",KY,HB 538,Authorizes K-12 Schools to Establish Policies on When Disruptive Students can be Removed,"Concurrence Vote Passed
                           - House
                      

                      
                          (85 - 11)"
"March 16, 2023",KY,HB 538,Authorizes K-12 Schools to Establish Policies on When Disruptive Students can be Removed,"Bill Passed
                           - Senate
                      

                      
                          (34 - 3)"
"March 16, 2023",KY,SB 229,Requires Interagency Communication and Agency Corporation During Child Abuse Cases,"Bill Passed
                           - House
                      

                      
                          (91 - 6)"
"March 16, 2023",KY,HB 262,Amends State Statute Laws to Add the Crime of Vehicular Homicide,"Bill Passed
                           - Senate
                      

                      
                          (35 - 2)"
"March 16, 2023",KY,SB 129,Prohibits Selling Data Obtained by Automated License Plate Readers,"Bill Passed
                           - House
                      

                      
                          (52 - 35)"
"March 16, 2023",KY,SB 4,Requires Permission from the Kentucky Public Service Commission before Retiring Fossil Fuel Electric Generators,"Bill Passed
                           - House
                      

                      
                          (66 - 28)"
"March 16, 2023",KY,SB 47,Establishes Legal Medical Cannabis,"Bill Passed
                           - Senate
                      

                      
                          (26 - 11)"
"March 16, 2023",KY,HB 547,Prohibits School Districts from Punishing an Employee for Private Religious Expression,"Bill Passed
                           - Senate
                      

                      
                          (32 - 5)"
"March 15, 2023",KY,SB 80,"Prohibits Registered Sex Offenders from Loitering or Operating a Mobile Business within 1,000 ft. of Schools, Dayc ...","Concurrence Vote Passed
                           - Senate
                      

                      
                          (32 - 2)"
"March 15, 2023",KY,SB 9,Increases Anti-Hazing Laws,"Bill Passed
                           - House
                      

                      
                          (96 - 3)"
"March 15, 2023",KY,HB 153,Prohibits Any Federal Ban or Regulation on Firearms Enacted in 2021 or After,"Bill Passed
                           - Senate
                      

                      
                          (27 - 9)"
"March 15, 2023",KY,SB 5,Requires School Boards Create a Systems to Respond to Complaints Over Sexually Explicit Materials in Public School ...,"Bill Passed
                           - House
                      

                      
                          (80 - 18)"
"March 14, 2023",KY,HB 3,Appropriates $13.3 Million in Funds to Reopen Youth Detention Centers in Jefferson County,"Bill Passed
                           - Senate
                      

                      
                          (29 - 7)"
"March 14, 2023",KY,HB 594,"Prohibits Gambling Machines Called ""Gray Machines"" or ""Skill Games""","Bill Passed
                           - Senate
                      

                      
                          (29 - 6)"
"March 13, 2023",KY,HB 236,Requires Public Pension Investments be based on Financial Risks and Returns not ESG Factors,"Bill Passed
                           - Senate
                      

                      
                          (32 - 5)"
"March 13, 2023",KY,HB 551,Establishes Legal Sports Betting,"Bill Passed
                           - House
                      

                      
                          (63 - 34)"
"March 9, 2023",KY,HB 547,Prohibits School Districts from Punishing an Employee for Private Religious Expression,"Bill Passed
                           - House
                      

                      
                          (81 - 12)"
"March 8, 2023",KY,HB 594,"Prohibits Gambling Machines Called ""Gray Machines"" or ""Skill Games""","Bill Passed
                           - House
                      

                      
                          (64 - 32)"
"March 7, 2023",KY,HB 262,Amends State Statute Laws to Add the Crime of Vehicular Homicide,"Bill Passed
                           - House
                      

                      
                          (89 - 5)"
"March 3, 2023",KY,SB 129,Prohibits Selling Data Obtained by Automated License Plate Readers,"Bill Passed
                           - Senate
                      

                      
                          (27 - 6)"
"March 2, 2023",KY,HB 470,Prohibits Gender-Affirming Care for Minors,"Bill Passed
                           - House
                      

                      
                          (75 - 22)"
"March 2, 2023",KY,HB 236,Requires Public Pension Investments be based on Financial Risks and Returns not ESG Factors,"Bill Passed
                           - House
                      

                      
                          (77 - 14)"
"March 2, 2023",KY,SB 4,Requires Permission from the Kentucky Public Service Commission before Retiring Fossil Fuel Electric Generators,"Bill Passed
                           - Senate
                      

                      
                          (25 - 8)"
"March 1, 2023",KY,SB 104,Repeals the Kentucky Public Television Board and Requires Senate Confirmation for Future Appointments,"Bill Passed
                           - Senate
                      

                      
                          (30 - 6)"
"Feb. 23, 2023",KY,SB 5,Requires School Boards Create a Systems to Respond to Complaints Over Sexually Explicit Materials in Public School ...,"Bill Passed
                           - Senate
                      

                      
                          (29 - 4)"
"Feb. 22, 2023",KY,HB 153,Prohibits Any Federal Ban or Regulation on Firearms Enacted in 2021 or After,"Bill Passed
                           - House
                      

                      
                          (78 - 19)"
"Feb. 10, 2023",KY,SB 20,Prohibits the Use of TikTok on State Government Technology,"Bill Passed
                           - Senate
                      

                      
                          (31 - 0)"
"Feb. 8, 2023",KY,HB 1,Reduces Personal Income Tax Rate,"Bill Passed
                           - Senate
                      

                      
                          (30 - 5)"
"Jan. 5, 2023",KY,HB 1,Reduces Personal Income Tax Rate,"Bill Passed
                           - House
                      

                      
                          (79 - 19)"
