bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1724489,2723131,text,1366481,application/pdf,Introduced,https://legiscan.com/MA/text/H1/id/2723131,https://malegislature.gov/Bills/193/H1.pdf
1827417,2901591,text,1589892,application/pdf,Introduced,https://legiscan.com/MA/text/H2/id/2901591,https://malegislature.gov/Bills/193/H2.pdf
1739087,2743660,text,273088,application/pdf,Introduced,https://legiscan.com/MA/text/H3/id/2743660,https://malegislature.gov/Bills/193/H3.pdf
1737558,2741589,text,117009,application/pdf,Introduced,https://legiscan.com/MA/text/H4/id/2741589,https://malegislature.gov/Bills/193/H4.pdf
1738502,2742764,text,130191,application/pdf,Introduced,https://legiscan.com/MA/text/H5/id/2742764,https://malegislature.gov/Bills/193/H5.pdf
1737567,2741604,text,106660,application/pdf,Introduced,https://legiscan.com/MA/text/H6/id/2741604,https://malegislature.gov/Bills/193/H6.pdf
1738757,2743140,text,109316,application/pdf,Introduced,https://legiscan.com/MA/text/H7/id/2743140,https://malegislature.gov/Bills/193/H7.pdf
1739222,2743829,text,185046,application/pdf,Introduced,https://legiscan.com/MA/text/H8/id/2743829,https://malegislature.gov/Bills/193/H8.pdf
1738197,2742380,text,125105,application/pdf,Introduced,https://legiscan.com/MA/text/H9/id/2742380,https://malegislature.gov/Bills/193/H9.pdf
1738593,2742911,text,103536,application/pdf,Introduced,https://legiscan.com/MA/text/H10/id/2742911,https://malegislature.gov/Bills/193/H10.pdf
1737613,2741672,text,110718,application/pdf,Introduced,https://legiscan.com/MA/text/H11/id/2741672,https://malegislature.gov/Bills/193/H11.pdf
1739297,2743921,text,102682,application/pdf,Introduced,https://legiscan.com/MA/text/H12/id/2743921,https://malegislature.gov/Bills/193/H12.pdf
1737674,2741767,text,104779,application/pdf,Introduced,https://legiscan.com/MA/text/H13/id/2741767,https://malegislature.gov/Bills/193/H13.pdf
1738199,2742383,text,104324,application/pdf,Introduced,https://legiscan.com/MA/text/H14/id/2742383,https://malegislature.gov/Bills/193/H14.pdf
1737484,2741491,text,104572,application/pdf,Introduced,https://legiscan.com/MA/text/H15/id/2741491,https://malegislature.gov/Bills/193/H15.pdf
1738858,2743269,text,5887150,application/pdf,Introduced,https://legiscan.com/MA/text/H16/id/2743269,https://malegislature.gov/Bills/193/H16.pdf
1737522,2741546,text,109853,application/pdf,Introduced,https://legiscan.com/MA/text/H17/id/2741546,https://malegislature.gov/Bills/193/H17.pdf
1738409,2742632,text,126747,application/pdf,Introduced,https://legiscan.com/MA/text/H18/id/2742632,https://malegislature.gov/Bills/193/H18.pdf
1738130,2742277,text,102742,application/pdf,Introduced,https://legiscan.com/MA/text/H19/id/2742277,https://malegislature.gov/Bills/193/H19.pdf
1738162,2742325,text,111476,application/pdf,Introduced,https://legiscan.com/MA/text/H20/id/2742325,https://malegislature.gov/Bills/193/H20.pdf
1738705,2743076,text,101580,application/pdf,Introduced,https://legiscan.com/MA/text/H21/id/2743076,https://malegislature.gov/Bills/193/H21.pdf
1738775,2743162,text,106053,application/pdf,Introduced,https://legiscan.com/MA/text/H22/id/2743162,https://malegislature.gov/Bills/193/H22.pdf
1739053,2743610,text,106579,application/pdf,Introduced,https://legiscan.com/MA/text/H23/id/2743610,https://malegislature.gov/Bills/193/H23.pdf
1738936,2743382,text,102319,application/pdf,Introduced,https://legiscan.com/MA/text/H24/id/2743382,https://malegislature.gov/Bills/193/H24.pdf
1702378,2691140,text,131436,application/pdf,Introduced,https://legiscan.com/MA/text/H25/id/2691140,https://malegislature.gov/Bills/193/H25.pdf
1702097,2690873,text,132110,application/pdf,Introduced,https://legiscan.com/MA/text/H26/id/2690873,https://malegislature.gov/Bills/193/H26.pdf
