bill_id,date,chamber,sequence,action
1644662,2023-01-05,Senate,1,"Placed on file"
1645251,2023-01-05,Senate,1,"Placed on file"
1645607,2023-01-05,Senate,1,"Placed on file"
1662606,2023-01-17,House,1,"Reported, in part, of Special Committee"
1662606,2023-01-17,House,2,"Appendix H referred to the temporary committee on House Rules"
1662606,2023-01-17,House,3,"Rules suspended"
1662606,2023-01-17,House,4,"Appendix H adopted"
1662606,2023-01-17,House,5,"Report accepted"
1682652,2023-01-26,House,1,"Referred to the temporary committee on House Ways and Means"
1682652,2023-02-01,House,2,"Transferred to the committee on House Ways and Means"
1682825,2023-01-26,House,1,"Referred to the Joint Committee on Public Service"
1682825,2023-01-30,Senate,2,"Senate concurred"
1682825,2024-04-04,House,3,"Accompanied a study order, see H4518"
1683006,2023-01-26,House,1,"Referred to the Joint Committee on Transportation"
1683006,2023-01-30,Senate,2,"Senate concurred"
1683006,2023-02-24,Joint,3,"Hearing scheduled for 03/07/2023 from 02:00 PM-03:00 PM in A-2"
1683006,2023-03-20,House,4,"Accompanied a new draft, see H3546"
1683186,2023-01-26,Senate,1,"Referred to the committee on Temporary Committee on Rules"
1685902,2023-01-30,House,1,"Referred to the Joint Committee on Public Service"
1685902,2023-02-02,Senate,2,"Senate concurred"
1685902,2024-04-04,House,3,"Accompanied a study order, see H4518"
1688026,2023-01-31,House,1,"Report on the residue from the Special Committee"
1688026,2023-01-31,House,2,"Appendix G referred to the temporary committee on House Rules"
1688026,2023-01-31,House,3,"Postponed to Wednesday, February 1, 2023"
1688026,2023-02-01,House,4,"Committee recommended ought to be adopted"
1688026,2023-02-01,House,5,"Rules suspended"
1688026,2023-02-01,House,6,"Amendment 1 rejected - 23 YEAS to 128 NAYS (See YEA and NAY No. 1 )"
1688026,2023-02-01,House,7,"Amendment 2 rejected - 22 YEAS to 129 NAYS (See YEA and NAY No. 2 )"
1688026,2023-02-01,House,8,"Report accepted - 129 YEAS to 22 NAYS (See YEA and NAY No. 3 )"
1688163,2023-01-31,House,1,"Reported from the temporary committee on House Rules"
1688163,2023-01-31,House,2,"Committee recommended ought to be adopted"
1688163,2023-01-31,House,3,"Order adopted, see H2025"
1688306,2023-01-31,House,1,"Reported from the temporary committee on House Rules"
1688306,2023-01-31,House,2,"Order adopted, see H55"
1688306,2023-01-31,House,3,"Committee recommended ought to be adopted"
1688306,2023-01-31,House,4,"Question on adoption"
1688306,2023-01-31,House,5,"Postponed to Wednesday, February 1, 2023"
1688306,2023-02-01,House,6,"Amendment 2 rejected"
1688306,2023-02-01,House,7,"Amendment 3 rejected - 23 YEAS to 130 NAYS (See YEA and NAY No. 7 )"
1688306,2023-02-01,House,8,"Amendment 9 rejected - 24 YEAS to 129 NAYS (See YEA and NAY No. 8 )"
1688306,2023-02-01,House,9,"Order adopted - 153 YEAS to 0 NAYS (See YEA and NAY No. 9 )"
1688306,2023-02-09,Senate,10,"Rules suspended"
1688306,2023-02-09,Senate,11,"Amendment (Lovely) adopted -- new text S21"
1688306,2023-02-09,Senate,12,"Order adopted, as amended"
1688306,2023-02-13,House,13,"Rules suspended"
1688306,2023-02-13,House,14,"House NON-concurred in the Senate amendment"
1688306,2023-02-13,House,15,"Committee of conference appointed - (M. Moran-Peisch-Frost)"
1688306,2023-02-13,Senate,16,"Rules suspended"
1688306,2023-02-13,Senate,17,"Senate insisted on its amendment"
1688306,2023-02-13,Senate,18,"Committee of conference appointed (Lovely-Friedman-Fattman), in concurrence"
1688306,2023-02-16,House,19,"Reported, in part, by H56"
1688438,2023-01-31,House,1,"Reported from the temporary committee on House Rules"
1688438,2023-01-31,House,2,"Committee recommended ought to be adopted"
1688438,2023-01-31,House,3,"Order adopted, see H2023"
1688574,2023-01-31,House,1,"Referred to the temporary committee on House Ways and Means"
1688574,2023-02-01,House,2,"Transferred to the committee on House Ways and Means"
1688574,2023-02-28,House,3,"Reported, in part, by H57"
1688574,2023-04-13,House,4,"Reported, in part, by H3770"
1688701,2023-01-31,House,1,"Reported from the temporary committee on House Rules"
1688701,2023-01-31,House,2,"Order adopted, see H54"
1688701,2023-01-31,House,3,"Committee recommended ought to be adopted"
