people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8743,"Troy Jackson",Troy,Dale,Jackson,,,1,D,2,Sen,SD-001,6454231,36809,,Troy_Dale_Jackson,212794,0
8747,"Margaret Craven",Margaret,M.,Craven,,,1,D,1,Rep,HD-093,6450902,37163,,Margaret_Craven,212766,0
8768,"Joseph Perry",Joseph,C.,Perry,,,1,D,1,Rep,HD-024,6374663,11101,,Joseph_Perry_(Maine),195532,0
8810,"Dean Cray",Dean,A.,Cray,,,2,R,1,Rep,HD-069,6669375,57599,,Dean_Cray,250728,0
8855,"Michel Lajoie",Michel,,Lajoie,,,1,D,1,Rep,HD-096,6486269,103527,,Michel_Lajoie,272112,0
8869,"Sawin Millett",Sawin,,Millett,Jr.,,2,R,1,Rep,HD-081,6614298,36661,,"Sawin_Millett,_Jr.",212755,0
8874,"Robert Nutting",Robert,W.,Nutting,,,2,R,1,Rep,HD-066,6570982,19500,,Robert_Nutting,272097,0
8879,"Anne Perry",Anne,C.,Perry,,,1,D,1,Rep,HD-009,6391434,36577,,Anne_Perry,212786,0
8894,"Margaret Rotundo",Margaret,R.,Rotundo,,Peggy,1,D,2,Sen,SD-021,6375129,37042,,Margaret_Rotundo,208763,0
10321,"Russell Black",Russell,J.,Black,,,2,R,2,Sen,SD-005,6683522,121044,,Russell_Black,291713,0
10326,"Benjamin Chipman",Benjamin,M.,Chipman,,,1,D,2,Sen,SD-028,6535860,127853,,Benjamin_Chipman,311481,0
10331,"James Dill",James,F.,Dill,,,1,D,1,Rep,HD-026,6501252,120946,,James_Dill_(Maine),291634,0
10334,"Larry Dunphy",Larry,Charles,Dunphy,,,2,R,1,Rep,HD-072,6681732,121042,,Larry_Dunphy,289985,0
10340,"Anne Graham",Anne,P.,Graham,,,1,D,1,Rep,HD-105,6468513,57602,,Anne_Graham,291733,0
10341,"Stacey Guerin",Stacey,K.,Guerin,,,2,R,2,Sen,SD-004,6683271,120954,,Stacey_Guerin,291641,0
10366,"Wayne Parry",Wayne,R.,Parry,,,2,R,1,Rep,HD-140,6674181,103647,,Wayne_Parry,291772,0
10372,"Jeffrey Timberlake",Jeffrey,L.,Timberlake,,,2,R,2,Sen,SD-017,9931674,121048,,Jeffrey_Timberlake,291720,0
14714,"Matthea Larsen Daughtry",Matthea,Elisabeth,"Larsen Daughtry",,,1,D,2,Sen,SD-023,16072377,142892,,Matthea_Daughtry,660564,0
14717,"Andrew Gattine",Andrew,M.,Gattine,,Drew,1,D,1,Rep,HD-126,9946504,137364,,Andrew_Gattine,403925,0
14720,"Craig Hickman",Craig,V.,Hickman,,,1,D,2,Sen,SD-014,6501432,121034,,Craig_Hickman,291709,0
14726,"Matthew Moonen",Matthew,W.,Moonen,,,1,D,1,Rep,HD-117,11022707,137356,,Matthew_Moonen,392492,0
14729,"Matthew Pouliot",Matthew,G.,Pouliot,,,2,R,2,Sen,SD-015,16072373,142890,,Matthew_Pouliot,434102,0
14737,"James Boyle",James,A.,Boyle,,,1,D,1,Rep,HD-109,11022661,137187,,James_Boyle,399467,0
14747,"Rebecca Millett",Rebecca,J.,Millett,,,1,D,1,Rep,HD-123,9946879,137189,,Rebecca_Millett,399473,0
15729,"Anne-Marie Mastraccio",Anne-Marie,,Mastraccio,,,1,D,1,Rep,HD-142,11022701,137415,,Anne-Marie_Mastraccio,396066,0
15775,"Richard Campbell",Richard,H.,Campbell,,,2,R,1,Rep,HD-019,6628372,6606,,Richard_Campbell_(Maine),293193,0
