bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1637160,1335033,2023-05-30,Senate,"Accept Majority Ought To Pass As Amended Report RC #192",26,4,0,5,35
1637160,1336934,2023-06-01,House,"Enactment RC #114",83,58,0,9,150
1637213,1230445,2022-12-07,House,"Adoption RC #2",140,3,0,8,151
1637221,1230474,2022-12-07,Senate,"Commit RC #1",9,20,0,6,35
1637221,1230475,2022-12-07,Senate,"Enact-emer 2/3 Elect RC #2",21,8,0,6,35
1639153,1230978,2023-01-04,House,"Indef Pp Of H-a (h-2) RC #3",79,64,0,8,151
1639153,1230979,2023-01-04,House,"Enactment - Emer RC #4",114,29,0,8,151
1639153,1230981,2023-01-04,Senate,"Adopt S-1 RC #3",13,21,0,1,35
1639153,1230982,2023-01-04,Senate,"Adopt B S-2 RC #4",13,21,0,1,35
1639153,1230983,2023-01-04,Senate,"Adopt C-3 RC #5",10,24,0,1,35
1640106,1286337,2023-03-28,House,"Reconsider RC #9",78,58,0,14,150
1640106,1286338,2023-03-28,House,"Reconsider RC #10",79,58,0,13,150
1640106,1286339,2023-03-28,House,"Table Until Later RC #11",118,18,0,14,150
1640106,1286340,2023-03-28,House,"Passage To Be Engrossed RC #12",122,12,0,16,150
1640108,1303707,2023-04-18,House,"Acc Maj Otp As Amended Rep RC #32",76,62,0,12,150
1640108,1306261,2023-04-20,Senate,"Accept Majority Ought To Pass As Amended Report RC #95",21,9,0,5,35
1640126,1280111,2023-03-21,House,"Acc Maj Ought To Pass Rep RC #8",81,58,0,11,150
1640126,1282654,2023-03-23,Senate,"Accept Maj Otp Rpt RC #51",20,9,0,6,35
1640129,1340954,2023-06-07,Senate,"Accept Majority Ought Not To Pass Report RC #248",21,12,0,2,35
1640132,1318694,2023-05-04,Senate,"Adopt Senate Amendment (s-65) To Committee Amendment RC #119",16,19,0,0,35
1641390,1319239,2023-05-04,House,"Commit Back To Committee RC #52",65,73,0,12,150
1641390,1319240,2023-05-04,House,"Acc Maj Ought Not To Pass Rep RC #53",75,61,0,14,150
1641390,1321007,2023-05-09,Senate,"Accept Majority Ought Not To Pass Report RC #125",19,11,0,5,35
1641420,1321197,2023-05-09,House,"Acc Maj Otp As Amended Rep RC #61",82,60,0,8,150
