bill_id,people_id,position
1637160,8743,2
1637160,18210,1
1637210,16089,1
1637211,16089,1
1637212,22238,1
1637213,8743,1
1637214,18210,1
1637215,18211,1
1637216,16089,1
1637218,16089,1
1637219,14714,1
1637220,18211,1
1637221,8743,1
1637221,18210,2
1637222,22238,1
1637223,22238,1
1637224,14714,1
1637225,14714,1
1639153,8743,2
1639153,18210,1
1639220,18211,1
1639833,21188,1
1640086,17667,2
1640086,18192,4
1640086,21194,1
1640086,21203,3
1640086,22697,5
1640087,16787,2
1640087,22241,1
1640089,21194,1
1640090,21230,1
1640092,8743,7
1640092,10331,5
1640092,14720,1
1640092,18181,4
1640092,18210,10
1640092,21167,8
1640092,21194,3
1640092,21230,9
1640092,22237,2
1640092,22718,6
1640093,14720,4
1640093,18186,9
1640093,21192,2
1640093,21194,1
1640093,21219,5
1640093,22707,8
1640093,22715,10
1640093,23233,6
1640093,23235,7
1640093,23251,3
1640095,10372,1
1640095,21273,2
1640096,16780,1
1640097,21237,1
1640099,22239,1
1640100,14729,3
1640100,22983,2
1640100,23247,1
1640104,18211,1
1640105,22867,1
1640106,14714,1
1640108,22694,1
1640109,8894,9
1640109,14720,4
1640109,17216,7
1640109,18174,2
1640109,18192,6
1640109,21194,1
1640109,22238,3
1640109,22700,8
1640109,22705,10
1640109,23261,5
1640111,21203,1
1640114,22718,1
1640117,22867,1
1640118,14729,1
1640120,14737,1
1640121,21194,1
1640122,21167,1
1640126,21226,1
1640127,21230,1
1640129,14729,1
1640130,16780,1
1640132,22240,1
1640133,18211,1
1640134,21201,1
1640136,21214,1
1640137,10372,3
1640137,14729,1
1640137,21228,2
1640139,21195,1
1640140,22239,1
1640141,18184,1
1641390,21204,1
1641390,23271,2
1641397,8810,2
1641397,10321,1
1641397,10334,3
1641397,16780,4
1641397,21212,5
1641397,23285,6
1641402,22238,1
1641411,22240,1
1641420,22706,2
1641420,23264,1
1641427,8747,1
1641427,21201,4
1641427,21209,5
1641427,21237,6
1641427,22713,2
1641427,22766,3
1641435,18201,4
1641435,18206,5
1641435,22348,1
1641435,23241,2
1641435,23244,3
1641443,17788,3
1641443,21196,2
1641443,21208,1
1641443,23271,4
1641450,10331,1
1641460,14720,1
1641468,21226,1
1641478,23233,1
1641483,16089,1
1641496,15823,2
1641496,18191,1
