Date,State,Bill No,Title,Action
"April 18, 2024",ME,LD 2238,Requires a Waiting Period for Certain Firearm Purchases in Maine,"Bill Passed
                           - House
                      

                      
                          (73 - 70)"
"April 17, 2024",ME,LD 2086,Amending Laws Governing the Disposition of Forefeited Firearms,"Conference Report Adopted
                           - Senate
                      

                      
                          (19 - 15)"
"April 17, 2024",ME,LD 2086,Amending Laws Governing the Disposition of Forefeited Firearms,"Conference Report Adopted
                           - House
                      

                      
                          (74 - 68)"
"April 17, 2024",ME,LD 2224,Increases Maine's Firearm Laws and Mental Health System,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (18 - 15)"
"April 17, 2024",ME,LD 2238,Requires a Waiting Period for Certain Firearm Purchases in Maine,"Bill Passed
                           - Senate
                      

                      
                          (18 - 17)"
"April 16, 2024",ME,LD 2086,Amending Laws Governing the Disposition of Forefeited Firearms,"""Ought to Pass as Amended"" Report Adopted
                           - House
                      

                      
                          (73 - 72)"
"April 16, 2024",ME,LD 2224,Increases Maine's Firearm Laws and Mental Health System,"Bill Passed
                           - House
                      

                      
                          (75 - 68)"
"April 15, 2024",ME,LD 1696,Establishes a Cause of Action for Persons Suffering Damages Arising from Illegal Sale of Marketing of Firearms,(71 - 69)
"April 12, 2024",ME,LD 2119,Establish the Task Force to Study the Creation of a System to Allow for the Voluntary Waiver of Firearm Rights,"""Ought to Pass as Amended"" Report Adopted
                           - Senate
                      

                      
                          (22 - 12)"
"April 12, 2024",ME,LD 227,"Establishes State Protections for Abortion, In-Vitro Fertilization (IVF), and Gender-Affirming Health Care","""Ought to Pass"" Report Adopted
                           - Senate
                      

                      
                          (21 - 13)"
"April 12, 2024",ME,LD 2086,Amending Laws Governing the Disposition of Forefeited Firearms,"Bill Passed
                           - Senate
                      

                      
                          (19 - 15)"
"April 12, 2024",ME,LD 1487,Authorizes Maine Residents Right to Repair Their Electronics,"Bill Passed
                           - Senate
                      

                      
                          (23 - 11)"
"April 11, 2024",ME,LD 2119,Establish the Task Force to Study the Creation of a System to Allow for the Voluntary Waiver of Firearm Rights,"""Ought to Pass as Amended"" Report Adopted
                           - House
                      

                      
                          (82 - 66)"
"April 10, 2024",ME,LD 227,"Establishes State Protections for Abortion, In-Vitro Fertilization (IVF), and Gender-Affirming Health Care","""Ought to Pass"" Report Adopted
                           - House
                      

                      
                          (80 - 70)"
"April 9, 2024",ME,LD 2204,Prohibits Racketeering of Various Scheduled Drugs by Certain Organizations,"""Ought Not to Pass"" Report Adopted
                           - House
                      

                      
                          (84 - 61)"
"April 3, 2024",ME,LD 1578,Requires Adoption of the Interstate Compact to Elect the President of the United States by National Popular Vote,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (18 - 12)"
"April 3, 2024",ME,LD 779,Establishes a Separate Department of Child and Family Services,"""Ought to Pass"" Report Adopted
                           - Senate
                      

                      
                          (22 - 8)"
"April 2, 2024",ME,LD 1578,Requires Adoption of the Interstate Compact to Elect the President of the United States by National Popular Vote,"Concurrence Vote Passed
                           - House
                      

                      
                          (73 - 72)"
"March 28, 2024",ME,LD 2246,Establishes a Minimum Value Threshold for Repeat Theft Offenders,"""Ought to Pass"" Report Adopted
                           - House
                      

                      
                          (77 - 65)"
"March 27, 2024",ME,LD 2246,Establishes a Minimum Value Threshold for Repeat Theft Offenders,"""Ought to Pass as Amended"" Report Adopted
                           - Senate
                      

                      
                          (19 - 15)"
"March 27, 2024",ME,LD 2102,Repeals the Law Limiting the Municipal Property Tax Levy,"Bill Passed
                           - House
                      

                      
                          (74 - 69)"
"March 27, 2024",ME,LD 1639,Requires Nurse-to-Patient Ratios in the State of Maine,"""Ought to Pass"" Report Adopted
                           - Senate
                      

                      
                          (22 - 13)"
"March 27, 2024",ME,LD 2101,Increases Shoreline Zoning Enforcement,"Bill Passed
                           - House
                      

                      
                          (107 - 36)"
"March 13, 2024",ME,LD 2102,Repeals the Law Limiting the Municipal Property Tax Levy,"Bill Passed
                           - Senate
                      

                      
                          (19 - 16)"
"Feb. 28, 2024",ME,LD 2283,Establishes Various Red Flag Gun Purchase Provisions,"Bill Passed
                           - Senate
                      

                      
                          (20 - 11)"
