bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1642990,2623226,text,216503,application/pdf,Introduced,https://legiscan.com/MN/text/HF1/id/2623226,https://www.revisor.mn.gov/bills/text.php?number=HF1&version=0&session=ls93&session_year=2023&session_number=0&format=pdf
1642804,2623054,text,1210189,application/pdf,Introduced,https://legiscan.com/MN/text/HF2/id/2623054,https://www.revisor.mn.gov/bills/text.php?number=HF2&version=0&session=ls93&session_year=2023&session_number=0&format=pdf
1642804,2667129,text,1214237,application/pdf,Engrossed,https://legiscan.com/MN/text/HF2/id/2667129,https://www.revisor.mn.gov/bills/text.php?number=HF2&version=1&session=ls93&session_year=2023&session_number=0&format=pdf
1642804,2676457,text,1216028,application/pdf,Engrossed,https://legiscan.com/MN/text/HF2/id/2676457,https://www.revisor.mn.gov/bills/text.php?number=HF2&version=2&session=ls93&session_year=2023&session_number=0&format=pdf
1642804,2683438,text,1212120,application/pdf,Engrossed,https://legiscan.com/MN/text/HF2/id/2683438,https://www.revisor.mn.gov/bills/text.php?number=HF2&version=3&session=ls93&session_year=2023&session_number=0&format=pdf
1642804,2688126,text,1227519,application/pdf,Engrossed,https://legiscan.com/MN/text/HF2/id/2688126,https://www.revisor.mn.gov/bills/text.php?number=HF2&version=4&session=ls93&session_year=2023&session_number=0&format=pdf
1642804,2777193,text,1328955,application/pdf,Engrossed,https://legiscan.com/MN/text/HF2/id/2777193,https://www.revisor.mn.gov/bills/text.php?number=HF2&version=5&session=ls93&session_year=2023&session_number=0&format=pdf
1642804,2788231,text,1329959,application/pdf,Engrossed,https://legiscan.com/MN/text/HF2/id/2788231,https://www.revisor.mn.gov/bills/text.php?number=HF2&version=6&session=ls93&session_year=2023&session_number=0&format=pdf
1642804,2790996,text,1382997,application/pdf,Engrossed,https://legiscan.com/MN/text/HF2/id/2790996,https://www.revisor.mn.gov/bills/text.php?number=HF2&version=7&session=ls93&session_year=2023&session_number=0&format=pdf
1642804,2798033,text,1392762,application/pdf,Engrossed,https://legiscan.com/MN/text/HF2/id/2798033,https://www.revisor.mn.gov/bills/text.php?number=HF2&version=8&session=ls93&session_year=2023&session_number=0&format=pdf
1642804,2813201,text,1453259,application/pdf,Engrossed,https://legiscan.com/MN/text/HF2/id/2813201,https://www.revisor.mn.gov/bills/text.php?number=HF2&version=9&session=ls93&session_year=2023&session_number=0&format=pdf
1642995,2623231,text,726801,application/pdf,Introduced,https://legiscan.com/MN/text/HF3/id/2623231,https://www.revisor.mn.gov/bills/text.php?number=HF3&version=0&session=ls93&session_year=2023&session_number=0&format=pdf
1642995,2692094,text,512496,application/pdf,Engrossed,https://legiscan.com/MN/text/HF3/id/2692094,https://www.revisor.mn.gov/bills/text.php?number=HF3&version=1&session=ls93&session_year=2023&session_number=0&format=pdf
1642995,2700386,text,531389,application/pdf,Engrossed,https://legiscan.com/MN/text/HF3/id/2700386,https://www.revisor.mn.gov/bills/text.php?number=HF3&version=2&session=ls93&session_year=2023&session_number=0&format=pdf
1642995,2729090,text,540926,application/pdf,Engrossed,https://legiscan.com/MN/text/HF3/id/2729090,https://www.revisor.mn.gov/bills/text.php?number=HF3&version=3&session=ls93&session_year=2023&session_number=0&format=pdf
1642995,2735281,text,575459,application/pdf,Engrossed,https://legiscan.com/MN/text/HF3/id/2735281,https://www.revisor.mn.gov/bills/text.php?number=HF3&version=4&session=ls93&session_year=2023&session_number=0&format=pdf
1642995,2770099,text,591624,application/pdf,Engrossed,https://legiscan.com/MN/text/HF3/id/2770099,https://www.revisor.mn.gov/bills/text.php?number=HF3&version=5&session=ls93&session_year=2023&session_number=0&format=pdf
1642995,2779948,text,589703,application/pdf,Engrossed,https://legiscan.com/MN/text/HF3/id/2779948,https://www.revisor.mn.gov/bills/text.php?number=HF3&version=6&session=ls93&session_year=2023&session_number=0&format=pdf
1643125,2623352,text,339043,application/pdf,Introduced,https://legiscan.com/MN/text/HF4/id/2623352,https://www.revisor.mn.gov/bills/text.php?number=HF4&version=0&session=ls93&session_year=2023&session_number=0&format=pdf
1643125,2636324,text,346259,application/pdf,Engrossed,https://legiscan.com/MN/text/HF4/id/2636324,https://www.revisor.mn.gov/bills/text.php?number=HF4&version=1&session=ls93&session_year=2023&session_number=0&format=pdf
1643125,2644406,text,372671,application/pdf,Engrossed,https://legiscan.com/MN/text/HF4/id/2644406,https://www.revisor.mn.gov/bills/text.php?number=HF4&version=2&session=ls93&session_year=2023&session_number=0&format=pdf
1643125,2658648,text,375462,application/pdf,Engrossed,https://legiscan.com/MN/text/HF4/id/2658648,https://www.revisor.mn.gov/bills/text.php?number=HF4&version=3&session=ls93&session_year=2023&session_number=0&format=pdf
1643125,2725636,text,387534,application/pdf,Engrossed,https://legiscan.com/MN/text/HF4/id/2725636,https://www.revisor.mn.gov/bills/text.php?number=HF4&version=4&session=ls93&session_year=2023&session_number=0&format=pdf
1642984,2623220,text,220088,application/pdf,Introduced,https://legiscan.com/MN/text/HF5/id/2623220,https://www.revisor.mn.gov/bills/text.php?number=HF5&version=0&session=ls93&session_year=2023&session_number=0&format=pdf
1642984,2666840,text,299213,application/pdf,Engrossed,https://legiscan.com/MN/text/HF5/id/2666840,https://www.revisor.mn.gov/bills/text.php?number=HF5&version=1&session=ls93&session_year=2023&session_number=0&format=pdf
1642984,2750514,text,321436,application/pdf,Engrossed,https://legiscan.com/MN/text/HF5/id/2750514,https://www.revisor.mn.gov/bills/text.php?number=HF5&version=2&session=ls93&session_year=2023&session_number=0&format=pdf
1642941,2623180,text,221524,application/pdf,Introduced,https://legiscan.com/MN/text/HF6/id/2623180,https://www.revisor.mn.gov/bills/text.php?number=HF6&version=0&session=ls93&session_year=2023&session_number=0&format=pdf
1642941,2643327,text,233730,application/pdf,Engrossed,https://legiscan.com/MN/text/HF6/id/2643327,https://www.revisor.mn.gov/bills/text.php?number=HF6&version=1&session=ls93&session_year=2023&session_number=0&format=pdf
1642941,2658663,text,236343,application/pdf,Engrossed,https://legiscan.com/MN/text/HF6/id/2658663,https://www.revisor.mn.gov/bills/text.php?number=HF6&version=2&session=ls93&session_year=2023&session_number=0&format=pdf
1643010,2623243,text,473398,application/pdf,Introduced,https://legiscan.com/MN/text/HF7/id/2623243,https://www.revisor.mn.gov/bills/text.php?number=HF7&version=0&session=ls93&session_year=2023&session_number=0&format=pdf
1643010,2652744,text,577221,application/pdf,Engrossed,https://legiscan.com/MN/text/HF7/id/2652744,https://www.revisor.mn.gov/bills/text.php?number=HF7&version=1&session=ls93&session_year=2023&session_number=0&format=pdf
1643010,2667423,text,580608,application/pdf,Engrossed,https://legiscan.com/MN/text/HF7/id/2667423,https://www.revisor.mn.gov/bills/text.php?number=HF7&version=2&session=ls93&session_year=2023&session_number=0&format=pdf
1642857,2623103,text,244145,application/pdf,Introduced,https://legiscan.com/MN/text/HF8/id/2623103,https://www.revisor.mn.gov/bills/text.php?number=HF8&version=0&session=ls93&session_year=2023&session_number=0&format=pdf
1642899,2623140,text,276312,application/pdf,Introduced,https://legiscan.com/MN/text/HF9/id/2623140,https://www.revisor.mn.gov/bills/text.php?number=HF9&version=0&session=ls93&session_year=2023&session_number=0&format=pdf
1642863,2623108,text,246659,application/pdf,Introduced,https://legiscan.com/MN/text/HF10/id/2623108,https://www.revisor.mn.gov/bills/text.php?number=HF10&version=0&session=ls93&session_year=2023&session_number=0&format=pdf
1642863,2748163,text,259255,application/pdf,Engrossed,https://legiscan.com/MN/text/HF10/id/2748163,https://www.revisor.mn.gov/bills/text.php?number=HF10&version=1&session=ls93&session_year=2023&session_number=0&format=pdf
