people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
6295,"Frank Hornstein",Frank,,Hornstein,,,1,D,1,Rep,HD-061A,338052,38589,,Frank_Hornstein,212973,0
6298,"Gene Pelowski",Gene,,Pelowski,Jr.,,1,D,1,Rep,HD-026A,6428563,3835,,Gene_Pelowski_Jr.,195887,0
6301,"Erin Murphy",Erin,P.,Murphy,,,1,D,2,Sen,SD-064,6517326,65842,,Erin_Murphy_(Minnesota),249338,0
6306,"Bobby Champion",Bobby,Joe,Champion,,,1,D,2,Sen,SD-059,13003030,109081,,Bobby_Joe_Champion,271019,0
6307,"Rick Hansen",Rick,,Hansen,,,1,D,1,Rep,HD-053B,13002934,38981,,Rick_Hansen_(Minnesota),227824,0
6310,"Mike Nelson",Michael,V.,Nelson,,Mike,1,D,1,Rep,HD-038A,6515845,38885,,Michael_V._Nelson,212965,0
6321,"Leon Lillie",Leon,Michael,Lillie,,,1,D,1,Rep,HD-044B,13002960,38900,,Leon_Lillie,227842,0
6328,"Jerry Newton",Jerry,,Newton,,,1,D,1,Rep,HD-035B,6516386,141032,,Jerry_Newton,270991,0
6344,"Melissa Hortman",Melissa,,Hortman,,,1,D,1,Rep,HD-034B,6462446,20295,,Melissa_Hortman,227836,0
6367,"Tina Liebling",Tina,,Liebling,,,1,D,1,Rep,HD-024B,13002868,38468,,Tina_Liebling,227797,0
6370,"Dean Urdahl",Dean,,Urdahl,,,2,R,1,Rep,HD-016A,6597622,38738,,Dean_Urdahl,212938,0
6374,"Paul Torkelson",Paul,,Torkelson,,,2,R,1,Rep,HD-015B,6678649,109197,,Paul_Torkelson,270918,0
6381,"Paul H. Anderson",Paul,H.,Anderson,,,2,R,1,Rep,HD-012A,6560558,110598,,Paul_Anderson_(Minnesota),270896,0
6384,"Steve Drazkowski",Steve,,Drazkowski,,,2,R,2,Sen,SD-020,6668032,65586,,Steve_Drazkowski,258645,0
6387,"Bruce Anderson",Bruce,D.,Anderson,,,2,R,2,Sen,SD-029,6597628,3752,,Bruce_Anderson_(Minnesota),195861,0
6390,"Pat Garofalo",Pat,,Garofalo,,,2,R,1,Rep,HD-058B,6666056,38499,,Pat_Garofalo,227821,0
6392,"Gregory Davids",Gregory,M.,Davids,,Greg,2,R,1,Rep,HD-026B,13002881,3761,,Greg_Davids,195885,0
6403,"Torrey Westrom",Torrey,,Westrom,,,2,R,2,Sen,SD-012,6597542,13444,,Torrey_Westrom,195850,0
6407,"Peggy Scott",Peggy,,Scott,,,2,R,1,Rep,HD-031B,6678633,109239,,Peggy_Scott,270989,0
6408,"Jim Abeler",Jim,J.,Abeler,,,2,R,2,Sen,SD-035,6597958,20208,,Jim_Abeler,195846,0
6430,"Ann Rest",Ann,H,Rest,,,1,D,2,Sen,SD-043,13002971,3841,,Ann_Rest,195916,0
6436,"David Dibble",David,Scott,Dibble,,Scott,1,D,2,Sen,SD-061,6515414,54751,,Scott_Dibble,208318,0
6439,"Ronald Latz",Ronald,,Latz,,Ron,1,D,2,Sen,SD-046,13002962,38473,,Ron_Latz,212962,0
