bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1641626,1231106,2023-01-03,Senate,"Senate: Adopted",67,0,0,0,67
1641627,1231107,2023-01-03,Senate,"Senate: Adopted",61,6,0,0,67
1642022,1236161,2023-01-25,Senate,"Senate: Motion did not prevail to strike from General Orders and re-refer to Finance",29,34,0,0,63
1642041,1236948,2023-01-26,Senate,"Senate: Third reading Passed",57,8,0,0,65
1642041,1242145,2023-02-02,House,"House: Passage",126,1,0,0,127
1642072,1238320,2023-01-30,Senate,"Senate: Motion did not prevail to withdraw and be placed on General Orders",32,34,0,0,66
1642117,1238627,2023-01-30,Senate,"Senate: Third reading Passed",67,0,0,0,67
1642169,1272845,2023-03-09,Senate,"Senate: Motion did not prevail to withdraw and be placed on General Orders",33,34,0,0,67
1642190,1278014,2023-03-16,Senate,"Senate: Withdrawn",47,19,0,0,66
1642196,1238838,2023-01-30,Senate,"Senate: Laid on table",36,30,0,0,66
1642196,1238839,2023-01-30,Senate,"Senate: Taken from table",42,21,0,0,63
1642196,1238840,2023-01-30,Senate,"Senate: Third reading Passed",33,34,0,0,67
1642196,1244827,2023-02-06,House,"House: Niska - Amendment - S0033A1",61,70,0,0,131
1642196,1244828,2023-02-06,House,"House: 70 - Amendment to Nash Amendment - Nays",61,70,0,0,131
1642196,1244829,2023-02-06,House,"House: 70 - Amendment to Nash Amendment - Nays",60,70,0,0,130
1642196,1244830,2023-02-06,House,"House: 70 - Amendment to Nash Amendment - Nays",60,70,0,0,130
1642196,1244831,2023-02-06,House,"House: Nash - Amendment S0033A5 - S0033A5",60,70,0,0,130
1642196,1244832,2023-02-06,House,"House: Passage",73,55,0,0,128
1642211,1303000,2023-04-17,Senate,"Senate: Third reading Passed",39,27,0,0,66
1642211,1309345,2023-04-24,House,"House: Schultz - Amendment - H0010A1",60,69,0,0,129
1642211,1309346,2023-04-24,House,"House: Schultz - Amendment - H0010A2",60,69,0,0,129
1642211,1309347,2023-04-24,House,"House: Swedzinski - Amendment - H0010A4",59,70,0,0,129
1642211,1309348,2023-04-24,House,"House: Schultz - Amendment - S0010A5",59,69,0,0,128
1642211,1309349,2023-04-24,House,"House: Passage",83,46,0,0,129
1642770,1231161,2023-01-09,House,"House: H.F. NO. 31",132,0,0,0,132
1642772,1256784,2023-02-20,House,"House: Niska - Amendment - H0016A16",59,70,0,0,129
1642772,1256785,2023-02-20,House,"House: 59 - Amendment to Franson Amendment - Nays",70,59,0,0,129
1642772,1256786,2023-02-20,House,"House: Passage",81,47,0,0,128
1642772,1308182,2023-04-21,Senate,"Senate: Third reading Passed",36,27,0,0,63
1642777,1257161,2023-02-20,House,"House: Passage",128,0,0,0,128
1642777,1282296,2023-03-22,Senate,"Senate: Third reading Passed",64,0,0,0,64
1642804,1250161,2023-02-13,House,"House: H.F. NO. 2",70,60,0,0,130
1642804,1317359,2023-05-02,House,"House: Baker - Amendment - H0002DE2",64,68,0,0,132
1642804,1317360,2023-05-02,House,"House: O'Neill - Amendment - H0002A77",63,69,0,0,132
1642804,1317361,2023-05-02,House,"House: West - Amendment - H0002A74",63,69,0,0,132
1642804,1317362,2023-05-02,House,"House: Baker - Amendment - H0002A63",64,68,0,0,132
1642804,1317363,2023-05-02,House,"House: Neu Brindley - Amendment - H0002A55",64,67,0,0,131
1642804,1317364,2023-05-02,House,"House: Neu Brindley - Amendment - H0002A65",64,68,0,0,132
1642804,1317365,2023-05-02,House,"House: CALL OF THE HOUSE",132,0,0,0,132
1642804,1317366,2023-05-02,House,"House: Daudt - Amendment - H0002A54",65,67,0,0,132
1642804,1317367,2023-05-02,House,"House: Scott motion Re-Referral",63,69,0,0,132
1642804,1317369,2023-05-02,House,"House: McDonald motion Re-Referral",63,69,0,0,132
1642804,1317370,2023-05-02,House,"House: O'Driscoll motion Re-Referral",63,69,0,0,132
1642804,1317371,2023-05-02,House,"House: Nash motion Re-Referral",63,69,0,0,132
1642804,1317372,2023-05-02,House,"House: Neu Brindley motion Re-Referral",62,69,0,0,131
1642804,1317373,2023-05-02,House,"House: O'Neill motionRe-Referral",62,69,0,0,131
1642804,1317374,2023-05-02,House,"House: Passage, as amended",68,64,0,0,132
1642804,1320750,2023-05-08,Senate,"Senate: Motion did not prevail to re-refer to Commerce and Consumer Protection",33,34,0,0,67
1642804,1320751,2023-05-08,Senate,"Senate: Motion did not prevail to re-refer to Education Finance",33,34,0,0,67
1642804,1320752,2023-05-08,Senate,"Senate: Motion did not prevail to re-refer to Higher Education",33,34,0,0,67
1642804,1320753,2023-05-08,Senate,"Senate: Motion did not prevail to re-refer to Higher Education",33,34,0,0,67
