Date,State,Bill No,Title,Action
"May 19, 2024",MN,HF 5216,Appropriates Funding for Public Safety and Judiciary and Civil Law Supplemental Budget,"Conference Report Adopted
                           - Senate
                      

                      
                          (34 - 33)"
"May 19, 2024",MN,HF 4757,Amends Previously Passed Recreational Law,"Conference Report Adopted
                           - Senate
                      

                      
                          (34 - 32)"
"May 19, 2024",MN,HF 4757,Amends Previously Passed Recreational Law,"Conference Report Adopted
                           - House
                      

                      
                          (68 - 60)"
"May 18, 2024",MN,HF 5216,Appropriates Funding for Public Safety and Judiciary and Civil Law Supplemental Budget,"Conference Report Adopted
                           - House
                      

                      
                          (107 - 19)"
"May 18, 2024",MN,SF 37,Authorizes Minnesota Voters to Vote On a Constitutional Amendment Providing For Equality Under the Law,"Bill Passed
                           - House
                      

                      
                          (68 - 62)"
"May 15, 2024",MN,HF 3438,Prohibits Mandatory Hidden Fees,"Conference Report Adopted
                           - Senate
                      

                      
                          (36 - 31)"
"May 15, 2024",MN,SF 3852,Increases State Minimum Wage Among Other Various Labor Appropriations,"Conference Report Adopted
                           - House
                      

                      
                          (68 - 59)"
"May 15, 2024",MN,HF 4772,Establishes Various Election Policies and Campaign Finance Laws,"Conference Report Adopted
                           - Senate
                      

                      
                          (34 - 33)"
"May 15, 2024",MN,HF 5363,Amends State-Paid Family Leave Law,"Bill Passed
                           - House
                      

                      
                          (69 - 34)"
"May 13, 2024",MN,HF 4124,Appropriates $240 Million for the State Environmental Budget,"Conference Report Adopted
                           - Senate
                      

                      
                          (43 - 24)"
"May 13, 2024",MN,HF 3438,Prohibits Mandatory Hidden Fees,"Conference Report Adopted
                           - House
                      

                      
                          (76 - 57)"
"May 13, 2024",MN,SF 3852,Increases State Minimum Wage Among Other Various Labor Appropriations,"Conference Report Adopted
                           - Senate
                      

                      
                          (34 - 33)"
"May 13, 2024",MN,HF 4772,Establishes Various Election Policies and Campaign Finance Laws,"Conference Report Adopted
                           - House
                      

                      
                          (70 - 63)"
"May 13, 2024",MN,SF 4399,Amends and Updates Several State Human Service Policies,"Concurrence Vote Passed
                           - Senate
                      

                      
                          (60 - 7)"
"May 9, 2024",MN,HF 4124,Appropriates $240 Million for the State Environmental Budget,"Conference Report Adopted
                           - House
                      

                      
                          (115 - 13)"
"May 9, 2024",MN,HF 2609,Increases the Penalty for Straw Gun Purchasing from a Gross Misdemeanor to a Felony,"Bill Passed
                           - Senate
                      

                      
                          (34 - 33)"
"May 9, 2024",MN,SF 4699,Authorizes Various Healthcare Reforms and Improvements,"Bill Passed
                           - House
                      

                      
                          (68 - 59)"
"May 9, 2024",MN,SF 4942,Increases Timeline Schedule for State Clean Energy Transition,"Bill Passed
                           - House
                      

                      
                          (68 - 59)"
"May 9, 2024",MN,HF 3488,Requires Compensation for Minor Social Media Influencers,"Bill Passed
                           - Senate
                      

                      
                          (37 - 30)"
"May 7, 2024",MN,HF 3911,Appropriates Millions in Funding for Various Environmental Conservation Efforts,"Bill Passed
                           - Senate
                      

                      
                          (40 - 27)"
"May 7, 2024",MN,HF 5247,Expands the Child Tax Credit and Establishes a Direct Tax Filing System,"Bill Passed
                           - Senate
                      

                      
                          (55 - 10)"
"May 7, 2024",MN,HF 5299,Increases Funding Levels for State Higher Education Budgets,"Bill Passed
                           - House
                      

                      
                          (69 - 58)"
"May 7, 2024",MN,HF 3431,Appropriates Funding for Veterans State Supplemental Budget,"Bill Passed
                           - House
                      

                      
                          (69 - 60)"
"May 7, 2024",MN,HF 5216,Appropriates Funding for Public Safety and Judiciary and Civil Law Supplemental Budget,"Bill Passed
                           - House
                      

                      
                          (71 - 57)"
"May 6, 2024",MN,SF 5335,Appropriates Funding for State Human Services Budget,"Bill Passed
                           - House
                      

                      
                          (70 - 59)"
"May 6, 2024",MN,HF 5237,Appropriates Funding for State K-12 Education Budget,"Bill Passed
                           - Senate
                      

                      
                          (34 - 30)"
"May 6, 2024",MN,HF 5242,Appropriates Funding for Investments in Railroad Safety and Public Transit Systems,"Bill Passed
                           - Senate
                      

                      
                          (36 - 31)"
"May 6, 2024",MN,SF 4942,Increases Timeline Schedule for State Clean Energy Transition,"Bill Passed
                           - Senate
                      

                      
                          (36 - 30)"
"May 3, 2024",MN,SF 5289,Appropriates Funding for Employment Training Programs,"Bill Passed
                           - House
                      

                      
                          (74 - 52)"
"May 3, 2024",MN,HF 5247,Expands the Child Tax Credit and Establishes a Direct Tax Filing System,"Bill Passed
                           - House
                      

                      
                          (68 - 60)"
"May 3, 2024",MN,HF 4411,Increases Various Election Security Measures for Local Government,"Bill Passed
                           - House
                      

                      
                          (83 - 44)"
"May 3, 2024",MN,SF 4699,Authorizes Various Healthcare Reforms and Improvements,"Bill Passed
                           - Senate
                      

                      
                          (34 - 31)"
"May 3, 2024",MN,HF 2609,Increases the Penalty for Straw Gun Purchasing from a Gross Misdemeanor to a Felony,"Bill Passed
                           - House
                      

                      
                          (71 - 59)"
"May 2, 2024",MN,HF 4300,Establishes Firearm Safe Storage Requirements,"Bill Passed
                           - House
                      

                      
                          (68 - 64)"
"May 1, 2024",MN,HF 5242,Appropriates Funding for Investments in Railroad Safety and Public Transit Systems,"Bill Passed
                           - House
                      

                      
                          (69 - 60)"
"May 1, 2024",MN,HF 3911,Appropriates Millions in Funding for Various Environmental Conservation Efforts,"Bill Passed
                           - House
                      

                      
                          (68 - 63)"
"May 1, 2024",MN,HF 2476,Amends and Reforms State Child Protection System,"Bill Passed
                           - House
                      

                      
                          (68 - 62)"
"May 1, 2024",MN,HF 3488,Requires Compensation for Minor Social Media Influencers,"Bill Passed
                           - House
                      

                      
                          (103 - 26)"
"April 30, 2024",MN,HF 5237,Appropriates Funding for State K-12 Education Budget,"Bill Passed
                           - House
                      

                      
                          (68 - 61)"
"April 30, 2024",MN,SF 5335,Appropriates Funding for State Human Services Budget,"Bill Passed
                           - Senate
                      

                      
                          (53 - 13)"
"April 29, 2024",MN,SF 5289,Appropriates Funding for Employment Training Programs,"Bill Passed
                           - Senate
                      

                      
                          (34 - 33)"
"April 29, 2024",MN,HF 601,Requires Lost or Stolen Firearms be Reported to Law Enforcement,"Bill Passed
                           - House
                      

                      
                          (68 - 63)"
"April 15, 2024",MN,SF 4399,Amends and Updates Several State Human Service Policies,"Bill Passed
                           - House
                      

                      
                          (69 - 62)"
"April 11, 2024",MN,SF 3567,Amends and Establishes Media Protections for Students Grades 6-12,"Bill Passed
                           - House
                      

                      
                          (69 - 61)"
"April 8, 2024",MN,HF 4483,Amends Minnesota Statutes Regarding Local Government,"Bill Passed
                           - Senate
                      

                      
                          (66 - 1)"
"April 8, 2024",MN,SF 3492,Establishes Tenants Rights for Renters,"Bill Passed
                           - Senate
                      

                      
                          (37 - 29)"
"April 4, 2024",MN,HF 3377,Establishes Environment and Natural resources Trust Fund,"Bill Passed
                           - Senate
                      

                      
                          (41 - 25)"
"April 4, 2024",MN,SF 4225,Appropriates Resources for the Omnibus Fund,"Bill Passed
                           - Senate
                      

                      
                          (58 - 9)"
"April 2, 2024",MN,SF 3567,Amends and Establishes Media Protections for Students Grades 6-12,"Bill Passed
                           - Senate
                      

                      
                          (35 - 31)"
"March 14, 2024",MN,HF 3489,Establishes Minimum Training Requirements for School Resource Officers,"Conference Report Adopted
                           - Senate
                      

                      
                          (61 - 3)"
"March 13, 2024",MN,HF 3489,Establishes Minimum Training Requirements for School Resource Officers,"Conference Report Adopted
                           - House
                      

                      
                          (119 - 9)"
"March 7, 2024",MN,HF 3377,Establishes Environment and Natural resources Trust Fund,"Bill Passed
                           - House
                      

                      
                          (94 - 35)"
