bill_number,session,session_year,session_type,title,description,primary_sponsor,ps_url,cosponsors,outchamber_sposnor,LR_number,committees,effective_date,summary,bill_url
HB1400,102nd,2024,RS,,Modifies provisions defining terrorist organizations,"Billington, Hardy (152)",MemberDetails.aspx?district=152&year=2024&code=R ,,,3065H.01I,Special Committee on Homeland Security(H),8/28/2024,,https://house.mo.gov/BillContent.aspx?bill=HB1400&year=2024&code=R&style=new
HB1401,102nd,2024,RS,,Creates the offense of trespass by an illegal alien,"Billington, Hardy (152)",MemberDetails.aspx?district=152&year=2024&code=R ,,,3147H.01I,General Laws(H),8/28/2024,,https://house.mo.gov/BillContent.aspx?bill=HB1401&year=2024&code=R&style=new
HB1402,102nd,2024,RS,,Allows members of the general assembly and other elected officials to display the state and national flags outside of their offices,"Billington, Hardy (152)",MemberDetails.aspx?district=152&year=2024&code=R ,,,3067H.01I,General Laws(H),8/28/2024,,https://house.mo.gov/BillContent.aspx?bill=HB1402&year=2024&code=R&style=new
HB1403,102nd,2024,RS,,Modifies the offense of delivery of a controlled substance,"Billington, Hardy (152)",MemberDetails.aspx?district=152&year=2024&code=R ,,,3039H.01I,General Laws(H),8/28/2024,,https://house.mo.gov/BillContent.aspx?bill=HB1403&year=2024&code=R&style=new
HB1404,102nd,2024,RS,,Lowers the statute of limitations for certain actions,"Billington, Hardy (152)",MemberDetails.aspx?district=152&year=2024&code=R ,,,3038H.01I,General Laws(H),8/28/2024,,https://house.mo.gov/BillContent.aspx?bill=HB1404&year=2024&code=R&style=new
HB1405,102nd,2024,RS,,Enacts provisions relating to the use of identifying pronouns by school employees and independent contractors,"Billington, Hardy (152)",MemberDetails.aspx?district=152&year=2024&code=R ,,,2961H.01I,General Laws(H),8/28/2024,,https://house.mo.gov/BillContent.aspx?bill=HB1405&year=2024&code=R&style=new
HB1406,102nd,2024,RS,,Changes the law regarding catalytic converters,"Billington, Hardy (152)",MemberDetails.aspx?district=152&year=2024&code=R ,,,2955H.01I,Emerging Issues(H); Rules - Legislative Oversight(H),8/28/2024,,https://house.mo.gov/BillContent.aspx?bill=HB1406&year=2024&code=R&style=new
HB1407,102nd,2024,RS,,"Designates the ""Senator Bill Foster Bridge"" in Butler County","Billington, Hardy (152)",MemberDetails.aspx?district=152&year=2024&code=R ,,,3088H.01I,Transportation Infrastructure(H),8/28/2024,,https://house.mo.gov/BillContent.aspx?bill=HB1407&year=2024&code=R&style=new
HB1408,102nd,2024,RS,,Prohibits an employer from terminating an employee for having a firearm in the employee's vehicle on the employer's premises,"Billington, Hardy (152)",MemberDetails.aspx?district=152&year=2024&code=R ,,,3131H.01I,General Laws(H),8/28/2024,,https://house.mo.gov/BillContent.aspx?bill=HB1408&year=2024&code=R&style=new
HB1409,102nd,2024,RS,,Modifies provisions relating to titles for inoperable motor vehicles,"Billington, Hardy (152)",MemberDetails.aspx?district=152&year=2024&code=R ,,,3015H.01I,General Laws(H),8/28/2024,,https://house.mo.gov/BillContent.aspx?bill=HB1409&year=2024&code=R&style=new
