bill_number,session,session_year,session_type,chamber,action_date,action,journal_page,order
HB1400,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1400,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1400,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 175,3
HB1400,102nd,2024,RS,,2024-02-08,Referred: Special Committee on Homeland Security(H),H 492,4
HB1401,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1401,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1401,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 175,3
HB1401,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1402,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1402,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1402,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 175,3
HB1402,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1403,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1403,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1403,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1403,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1404,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1404,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1404,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1404,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1405,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1405,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1405,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1405,102nd,2024,RS,,2024-05-17,Referred: General Laws(H),H 2051,4
HB1406,102nd,2024,RS,,2023-12-01,Prefiled (H),,1
HB1406,102nd,2024,RS,,2024-01-03,Read First Time (H),H 9,2
HB1406,102nd,2024,RS,,2024-01-04,Read Second Time (H),H 176,3
HB1406,102nd,2024,RS,,2024-01-04,Referred: Emerging Issues(H),H 212,4
HB1406,102nd,2024,RS,,2024-01-10,Public Hearing Completed (H),,5
