bill_id,term,session,title,description,commem
HB1400,2023_2024,2024-RS,NA,Modifies provisions defining terrorist organizations,0
HB1401,2023_2024,2024-RS,NA,Creates the offense of trespass by an illegal alien,0
HB1402,2023_2024,2024-RS,NA,Allows members of the general assembly and other elected officials to display the state and national flags outside of their offices,0
HB1403,2023_2024,2024-RS,NA,Modifies the offense of delivery of a controlled substance,0
HB1404,2023_2024,2024-RS,NA,Lowers the statute of limitations for certain actions,0
HB1405,2023_2024,2024-RS,NA,Enacts provisions relating to the use of identifying pronouns by school employees and independent contractors,0
HB1406,2023_2024,2024-RS,NA,Changes the law regarding catalytic converters,0
HB1407,2023_2024,2024-RS,NA,"Designates the ""Senator Bill Foster Bridge"" in Butler County",1
HB1408,2023_2024,2024-RS,NA,Prohibits an employer from terminating an employee for having a firearm in the employee's vehicle on the employer's premises,0
HB1409,2023_2024,2024-RS,NA,Modifies provisions relating to titles for inoperable motor vehicles,0
HB1410,2023_2024,2024-RS,NA,Changes the law regarding primary elections,0
HB1411,2023_2024,2024-RS,NA,Changes the law regarding primary elections,0
HB1412,2023_2024,2024-RS,NA,Modifies provisions for candidate filing,0
HB1413,2023_2024,2024-RS,NA,Modifies Missouri driver's licenses and nondriver's licenses to include a symbol that indicates that the holder of the license is a United States citizen,0
HB1414,2023_2024,2024-RS,NA,"Requires the national motto to be posted in all public buildings, including public schools",0
HB1415,2023_2024,2024-RS,NA,"Establishes the ""Unmanned Aerial Systems Security Act of 2024""",0
HB1416,2023_2024,2024-RS,NA,"Establishes the ""Light Detection & Ranging Technology Security Act""",0
HB1417,2023_2024,2024-RS,NA,Modifies provisions governing the minimum school term,0
HB1418,2023_2024,2024-RS,NA,Exempts the retail sale of food from state and local sales and use tax,0
HB1419,2023_2024,2024-RS,NA,"Authorizes the ""Missouri Disabled Veterans Homestead Exemption""",0
HB1420,2023_2024,2024-RS,NA,Creates provisions relating to licensing centers for the treatment of sexually deviant behaviors,0
HB1421,2023_2024,2024-RS,NA,Modifies provisions relating to telehealth services,0
HB1422,2023_2024,2024-RS,NA,Modifies provisions relating to the retirement of certain judges,0
HB1423,2023_2024,2024-RS,NA,Modifies provisions relating to income tax deductions for private pensions,0
HB1424,2023_2024,2024-RS,NA,Creates new provisions relating to COVID-19 vaccination requirements,0
HB1425,2023_2024,2024-RS,NA,Increases liability requirements for property damage in regards to motor vehicle insurance policies,0
HB1426,2023_2024,2024-RS,NA,Establishes provisions relating to civil liability for publishing or distributing material harmful to minors on the internet,0
HB1427,2023_2024,2024-RS,NA,Modifies provisions relating to taxation,0
HB1428,2023_2024,2024-RS,NA,"Modifies the ""circuit breaker"" tax credit by increasing the maximum upper limits and adjusting the property tax credit income phase-out increment amounts",0
HB1429,2023_2024,2024-RS,NA,Prohibits counties from charging interest on entire personal property tax liabilities when a taxpayer has made installment payments,0
HB1430,2023_2024,2024-RS,NA,Modifies provisions governing tangible personal property assessments of boats,0
HB1431,2023_2024,2024-RS,NA,Establishes minimum teacher's salaries and provides grant moneys to assist school districts with increasing teacher salaries,0
HB1432,2023_2024,2024-RS,NA,Adds a condition under which a certificate of license to teach will be granted,0
HB1433,2023_2024,2024-RS,NA,Modifies the offenses of trafficking of drugs in the first and second degree,0
