people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
7561,"Denny Hoskins",Denny,L.,Hoskins,,,2,R,2,Sen,SD-021,4115771,104623,,Denny_Hoskins,271868,0
7574,"Andrew Koenig",Andrew,,Koenig,,,2,R,2,Sen,SD-015,3837616,104592,,Andrew_Koenig,271860,0
12942,"Mike Bernskoetter",Mike,,Bernskoetter,,,2,R,2,Sen,SD-006,3826702,124589,,Mike_Bernskoetter,292053,0
12944,"Rick Brattin",Rick,,Brattin,,,2,R,2,Sen,SD-031,6685174,124815,,Rick_Brattin,290178,0
12947,"Mike Cierpiot",Mike,,Cierpiot,,,2,R,2,Sen,SD-008,3722552,123854,,Mike_Cierpiot,292001,0
12949,"Sandy Crawford",Sandy,,Crawford,,,2,R,2,Sen,SD-028,3693795,124820,,Sandy_Crawford,292065,0
12968,"Karla May",Karla,,May,,,1,D,2,Sen,SD-004,3800302,66328,,Karla_May,292002,0
12974,"John Rizzo",John,Joseph,Rizzo,,,1,D,2,Sen,SD-011,4327888,39418,,John_Rizzo_(Missouri),293211,0
13002,"Lincoln Hough",Lincoln,,Hough,,,2,R,2,Sen,SD-030,3826742,124803,,Lincoln_Hough,292089,0
13872,"Tracy McCreery",Tracy,,McCreery,,,1,D,2,Sen,SD-024,6536336,134862,,Tracy_McCreery,238396,0
15520,"Caleb Rowden",Caleb,,Rowden,,,2,R,2,Sen,SD-019,11029515,139174,,Caleb_Rowden,402781,0
15708,"Elaine Gannon",Elaine,Freeman,Gannon,,,2,R,2,Sen,SD-003,11029595,139248,,Elaine_Gannon,402912,0
15974,"Holly Thompson Rehder",Holly,,"Thompson Rehder",,,2,R,2,Sen,SD-027,11029635,139281,,Holly_Rehder,403028,0
16177,"Mike Moon",Mike,,Moon,,,2,R,2,Sen,SD-029,16501211,123397,,Mike_Moon,284786,0
16564,"Deb Lavender",Deb,,Lavender,,,1,D,1,Rep,HD-098,3798991,104601,,Deb_Lavender,292032,0
16565,"Joe Adams",Joe,,Adams,,,1,D,1,Rep,HD-086,3754036,152663,,Joe_Adams_(Missouri),291927,0
16895,"Rob Vescovo",Rob,,Vescovo,,,2,R,1,Rep,HD-112,14024100,152714,,Rob_Vescovo,493492,0
17512,"Travis Fitzwater",Travis,,Fitzwater,,,2,R,2,Sen,SD-010,3710003,139297,,Travis_Fitzwater,402790,0
17640,"Lauren Arthur",Lauren,,Arthur,,,1,D,2,Sen,SD-017,14027429,152604,,Lauren_Arthur,493288,0
18051,"Crystal Quade",Crystal,,Quade,,,1,D,1,Rep,HD-132,39656803,169922,,Crystal_Quade,572117,0
18052,"Phil Christofanelli",Phil,,Christofanelli,,,2,R,1,Rep,HD-104,39656778,169828,,Phil_Christofanelli,484135,0
18054,"Nick Schroer",Nick,,Schroer,,,2,R,2,Sen,SD-002,39656782,169831,,Nick_Schroer,572195,0
18055,"Mike Henderson",Mike,,Henderson,,,2,R,1,Rep,HD-117,14763202,169897,,Mike_Henderson,576805,0
18097,"Doug Beck",Doug,,Beck,,,1,D,2,Sen,SD-001,15563004,15601,,Doug_Beck,598861,0
18098,"Peter Merideth",Peter,,Merideth,,,1,D,1,Rep,HD-080,39656745,169794,,Peter_Merideth,572162,0
18105,"William Eigel",William,,Eigel,,Bill,2,R,2,Sen,SD-023,39656678,169721,,Bill_Eigel,572088,0
18242,"Sarah Unsicker",Sarah,,Unsicker,,,1,D,1,Rep,HD-083,39656757,169803,,Sarah_Unsicker,572171,0
18243,"Steven Roberts",Steven,C.,Roberts,II,Steve,1,D,1,Rep,SD-005,14714898,169788,,Steve_Roberts_(Missouri_state_legislator),572154,0
18395,"Alan Gray",Alan,,Gray,,,1,D,1,Rep,HD-075,39656735,169784,,Alan_Gray,572149,0
18506,"Gretchen Bangert",Gretchen,,Bangert,,,1,D,1,Rep,HD-070,3933760,169775,,Gretchen_Bangert,572140,0
18815,"Donna Baringer",Donna,Mc,Baringer,,,1,D,1,Rep,HD-082,39656750,75622,,Donna_Baringer,572163,0
18816,"Jerome Barnes",Jerome,,Barnes,,,1,D,1,Rep,HD-028,39656683,169737,,Jerome_Barnes,572972,0
18817,"Richard Brown",Richard,,Brown,,,1,D,1,Rep,HD-027,13989784,169735,,Richard_Brown_(Missouri),576776,0
18818,"Rick Francis",Rick,,Francis,,,2,R,1,Rep,HD-145,39656821,169941,,Rick_Francis,572234,0
18823,"Dan Houx",Dan,,Houx,,,2,R,1,Rep,HD-054,26139221,169759,,Dan_Houx,572132,0
18824,"Mark Matthiesen",Mark,,Matthiesen,,,2,R,1,Rep,HD-107,39656727,169778,,Mark_Matthiesen,572143,0
18825,"Jay Mosley",Jay,,Mosley,,,1,D,1,Rep,HD-068,39656724,169774,,Jay_Mosley,572139,0
18827,"Greg Razer",Greg,,Razer,,,1,D,2,Sen,SD-007,39656680,169734,,Greg_Razer,345734,0
18828,"Cheri Toalson Reisch",Cheri,,"Toalson Reisch",,,2,R,1,Rep,HD-044,3803134,169752,,Cheri_Toalson_Reisch,572104,0
18829,"Cody Smith",Cody,,Smith,,,2,R,1,Rep,HD-163,39656828,169947,,Cody_Smith_(Missouri),572241,0
18830,"Dan Stacy",Dan,,Stacy,,,2,R,1,Rep,HD-031,39656688,169740,,Dan_Stacy,576784,0
18831,"Mike Stephens",Mike,,Stephens,,,2,R,1,Rep,HD-128,14751143,169916,,Mike_Stephens,572114,0
18833,"Curtis Trent",Curtis,D.,Trent,,,2,R,2,Sen,SD-020,39656807,169927,,Curtis_Trent,329247,0
18983,"Hannah Kelly",Hannah,,Kelly,,,2,R,1,Rep,HD-141,19688277,169938,,Hannah_Kelly,572223,0
19129,"Ingrid Burnett",Ingrid,Y.,Burnett,,,1,D,1,Rep,HD-019,4135998,65852,,Ingrid_Burnett,572087,0
19250,"Rusty Black",Rusty,,Black,,,2,R,1,Rep,SD-012,14024179,169725,,Rusty_Black,572081,0
19466,"Barbara Washington",Barbara,Anne,Washington,,,1,D,2,Sen,SD-009,41908542,176775,,Barbara_Anne_Washington,649344,0
19585,"Herman Morse",Herman,,Morse,,,2,R,1,Rep,HD-151,44052964,176777,,Herman_Morse,649359,0
19592,"Chris Dinkins",Chris,,Dinkins,,,2,R,1,Rep,HD-144,44076780,177256,,Chris_Dinkins,450183,0
19593,"Jeff Knight",Jeff,,Knight,,,2,R,1,Rep,HD-142,44076778,177254,,Jeff_Knight,656889,0
19633,"Peggy McGaugh",Peggy,,McGaugh,,,2,R,1,Rep,HD-007,11029510,177250,,Peggy_McGaugh,656877,0
19714,"Cindy O'Laughlin",Cindy,,O'Laughlin,,,2,R,2,Sen,SD-018,3778559,183129,,Cindy_O%27Laughlin,660963,0
19715,"Tony Luetkemeyer",Tony,,Luetkemeyer,,,2,R,2,Sen,SD-034,44490300,183139,,Tony_Luetkemeyer,660974,0
19735,"Ann Kelley",Ann,,Kelley,,,2,R,1,Rep,HD-127,44928308,183349,,Ann_Kelley,661406,0
19736,"Jim Murphy",Jim,,Murphy,,,2,R,1,Rep,HD-094,16120824,183285,,Jim_Murphy_(Missouri),661190,0
19920,"Ben Baker",Ben,,Baker,,,2,R,1,Rep,HD-160,44928200,183488,,Ben_Baker,661502,0
19939,"Adam Schnelting",Adam,,Schnelting,,,2,R,1,Rep,HD-069,39656717,169769,,Adam_Schnelting,538882,0
19941,"Mike McGirl",Michael,P.,McGirl,,Mike,2,R,1,Rep,HD-118,3957242,152724,,Michael_McGirl,493500,0
19942,"Tony Lovasco",Tony,,Lovasco,,,2,R,1,Rep,HD-064,24835233,185831,,Tony_Lovasco,685039,0
19956,"Mary Coleman",Mary,Elizabeth,Coleman,,,2,R,1,Rep,SD-022,26141862,183290,,Mary_Coleman_(Missouri),661200,0
19962,"Robert Bromley",Robert,,Bromley,,Bob,2,R,1,Rep,HD-162,44928220,183497,,Robert_Bromley,661511,0
19966,"Raychel Proudie",Raychel,,Proudie,,,1,D,1,Rep,HD-073,44928371,183254,,Raychel_Proudie,661125,0
20162,"Brenda Shields",Brenda,,Shields,,,2,R,1,Rep,HD-011,44928397,183158,,Brenda_Shields,661003,0
20201,"Kevin Windham",Kevin,L.,Windham,Jr.,,1,D,1,Rep,HD-074,44928435,183267,,Kevin_Windham_Jr.,620931,0
20403,"Brian Williams",Brian,,Williams,,,1,D,2,Sen,SD-014,44928189,183126,,Brian_Williams_(Missouri),660959,0
20404,"Mike Haffner",Mike,,Haffner,,,2,R,1,Rep,HD-055,44928277,183227,,Mike_Haffner,661074,0
20430,"Dave Griffith",Dave,,Griffith,,,2,R,1,Rep,HD-060,4068602,132545,,Dave_Griffith,661088,0
20695,"Ladonna Appelbaum",Ladonna,,Appelbaum,,,1,D,1,Rep,HD-071,44928195,183247,,LaDonna_Appelbaum,661106,0
20696,"Hardy Billington",Hardy,,Billington,,,2,R,1,Rep,HD-152,3703290,124784,,Hardy_Billington,292110,0
20697,"John Black",John,F.,Black,,,2,R,1,Rep,HD-129,44928210,183393,,John_Black_(Missouri),661424,0
20698,"Ashley Bland Manlove",Ashley,,"Bland Manlove",,,1,D,1,Rep,HD-026,44928326,183174,,Ashley_Bland_Manlove,661024,0
20699,"Lakeysha Bosley",Lakeysha,,Bosley,,,1,D,1,Rep,HD-079,44928216,183259,,LaKeySha_Bosley,661139,0
