bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1634545,1321821,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634545,1321822,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634545,1321823,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634546,1322235,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634546,1322236,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634546,1322237,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634556,1302230,2023-04-17,House,"House: HB 267 HBs FOR PERFECTION",98,42,0,23,163
1634556,1302231,2023-04-17,House,"House: HB 267 (*HA 1 HA 2) HBs FOR PERFECTION",106,24,25,8,163
1634556,1302232,2023-04-17,House,"House: HB 267 (*HA 1 HA 4) HBs FOR PERFECTION",46,101,1,15,163
1634556,1302233,2023-04-17,House,"House: HB 267 (*HA 2, A.A.) HBs FOR PERFECTION",103,47,0,13,163
1634556,1302234,2023-04-17,House,"House: HB 267 (*HA 2, A.A.) HBs FOR PERFECTION",128,23,0,12,163
1634556,1302235,2023-04-17,House,"House: HB 267 (*HA 4) HBs FOR PERFECTION",84,57,7,15,163
1634556,1302236,2023-04-17,House,"House: HB 267 (*HA 4) HBs FOR PERFECTION",101,42,0,20,163
1634556,1302237,2023-04-17,House,"House: HB 267 (HA 1 HA 4) HBs FOR PERFECTION",101,39,0,23,163
1634556,1308428,2023-04-24,House,"House: HB 267 HBs 3rd READ - INFORMAL",65,56,31,10,162
1634556,1308429,2023-04-24,House,"House: HB 267 HBs 3rd READ - INFORMAL",106,45,0,11,162
1634562,1281724,2023-03-22,House,"House: HB 283 HBs 3rd READING - CONSENT",157,0,0,6,163
1634563,1270906,2023-03-08,House,"House: HB 202 HBs FOR THIRD READING",154,0,0,9,163
1634563,1324408,2023-05-10,Senate,"Senate: Third Reading",32,0,0,0,32
1634563,1324409,2023-05-12,House,"House: HBs WITH SENATE AMENDMENTS - SS HB 202 HBs WITH SENATE AMENDMENTS",105,47,5,5,162
1634563,1324410,2023-05-12,House,"House: HBs WITH SENATE AMENDMENTS - SS HB 202 HBs WITH SENATE AMENDMENTS",106,47,3,6,162
1634563,1324411,2023-05-12,House,"House: HBs WITH SENATE AMENDMENTS - SS HB 202 HBs WITH SENATE AMENDMENTS",107,47,0,8,162
1634567,1302823,2023-04-17,House,"House: HB 37 HBs FOR THIRD READING",147,0,2,14,163
1634572,1297981,2023-04-11,House,"House: HB 183 HBs PERFECTION - INFORMAL",107,41,0,15,163
1634572,1297982,2023-04-11,House,"House: HB 183 HBs PERFECTION - INFORMAL",106,41,0,16,163
1634572,1297983,2023-04-11,House,"House: HB 183 (*HA 1) HBs PERFECTION - INFORMAL",107,41,0,15,163
1634572,1297984,2023-04-11,House,"House: HB 183 (HA 1) HBs PERFECTION - INFORMAL",106,41,0,16,163
1634572,1297985,2023-04-11,House,"House: HB 183 (HA 2) HBs PERFECTION - INFORMAL",108,43,0,12,163
1634572,1302859,2023-04-17,House,"House: HB 183 HBs FOR THIRD READING",104,46,1,12,163
1634572,1302860,2023-04-17,House,"House: HB 183 HBs FOR THIRD READING",104,43,2,14,163
1634585,1321915,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634585,1321916,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634585,1321917,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634591,1322337,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634591,1322338,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634591,1322339,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634592,1321784,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634592,1321785,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634592,1321786,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634594,1269878,2023-03-07,House,"House: HB 253 HBs PERFECTION - INFORMAL",82,67,4,10,163
1634594,1269879,2023-03-07,House,"House: HB 253 HBs PERFECTION - INFORMAL",102,45,0,16,163
1634594,1269880,2023-03-07,House,"House: HB 253 (*HA 2) HBs PERFECTION - INFORMAL",107,46,1,9,163
1634594,1270763,2023-03-08,House,"House: HB 253 HBs FOR THIRD READING",85,69,1,8,163
1634594,1270764,2023-03-08,House,"House: HB 253 HBs FOR THIRD READING",108,46,0,9,163
1634594,1322029,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634594,1322030,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634594,1322031,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634595,1321975,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634595,1321977,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634595,1321979,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634610,1322349,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634610,1322350,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634610,1322351,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634614,1322477,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634614,1322478,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634614,1322479,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634617,1279250,2023-03-20,House,"House: HB 81 HBs FOR THIRD READING",154,0,0,9,163
1634620,1302754,2023-04-17,House,"House: HB 45 HBs FOR THIRD READING",133,2,14,14,163
1634622,1322253,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634622,1322254,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634622,1322255,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634624,1321906,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634624,1321907,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634624,1321908,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634632,1321971,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634632,1321972,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634632,1321973,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634637,1292139,2023-04-04,House,"House: HB 76 HBs 3rd READ - INFORMAL",151,0,5,7,163
1634639,1294125,2023-04-05,House,"House: HB 142 HBs FOR THIRD READING",148,0,0,15,163
1634641,1279185,2023-03-20,House,"House: HB 131 HBs FOR THIRD READING",153,0,0,10,163
1634641,1318284,2023-05-03,Senate,"Senate: Third Reading",33,0,0,0,33
1634641,1323108,2023-05-03,Senate,"Senate: Third Reading",33,0,0,0,33
1634649,1245667,2023-02-08,House,"House: HB 115 HBs PERFECTION - INFORMAL",141,1,0,21,163
1634649,1246883,2023-02-09,House,"House: HB 115 HBs FOR THIRD READING",147,1,0,15,163
1634649,1324276,2023-05-12,House,"House: HBs WITH SENATE AMENDMENTS - SS HCS HBs 115 & 99 HBs WITH SENATE AMENDMENTS",141,15,0,6,162
1634649,1324277,2023-05-12,House,"House: HBs WITH SENATE AMENDMENTS - SS HCS HBs 115 & 99 HBs WITH SENATE AMENDMENTS",141,15,0,6,162
1634650,1321817,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634650,1321818,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634650,1321819,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634658,1322501,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634658,1322502,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634658,1322503,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634659,1304657,2023-04-19,House,"House: HB 303 HBs FOR THIRD READING",155,1,0,6,162
1634661,1298925,2023-04-12,House,"House: HB 88 HBs FOR THIRD READING",137,0,1,25,163
1634663,1322210,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634663,1322211,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634663,1322212,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634668,1263049,2023-02-27,House,"House: HB 268 HBs FOR THIRD READING",116,34,7,6,163
1634668,1320355,2023-05-08,Senate,"Senate: Third Reading",30,2,0,2,34
1634674,1266386,2023-03-02,House,"House: HB 186 HBs FOR THIRD READING",148,0,3,12,163
1634678,1297903,2023-04-11,House,"House: HB 119 HBs 3rd READ - INFORMAL",141,0,12,10,163
1634681,1297802,2023-04-11,House,"House: HB 316 HBs 3rd READ - INFORMAL",62,53,38,10,163
1634681,1298545,2023-04-12,House,"House: HB 316 HBs FOR THIRD READING - INFORMAL",117,5,13,28,163
1634681,1298546,2023-04-12,House,"House: HB 316 General",106,1,29,27,163
1634682,1299889,2023-04-13,House,"House: HB 282 HBs PERFECTION - INFORMAL",102,48,0,13,163
1634682,1299890,2023-04-13,House,"House: HB 282 (*HA 3) HBs PERFECTION - INFORMAL",48,102,0,13,163
1634682,1299891,2023-04-13,House,"House: HB 282 (*HA 3) HBs PERFECTION - INFORMAL",101,47,0,15,163
1634682,1299892,2023-04-13,House,"House: HB 282 (HA 2) HBs PERFECTION - INFORMAL",101,50,0,12,163
1634682,1302839,2023-04-17,House,"House: HB 282 HBs FOR THIRD READING",102,45,4,12,163
1634682,1302840,2023-04-17,House,"House: HB 282 HBs FOR THIRD READING",105,41,3,14,163
1634684,1297968,2023-04-11,House,"House: HB 136 HBs FOR THIRD READING - INFORMAL",108,42,0,13,163
1634686,1321900,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634686,1321901,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
1634686,1321902,2023-05-05,House,"House: BILLS IN CONFERENCE - CCS SCS HCS HB 10 BILLS IN CONFERENCE",155,2,0,5,162
1634699,1322259,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",103,48,2,10,163
1634699,1322260,2023-03-30,House,"House: HABs FOR THIRD READING - HCS HB 10 HABs FOR THIRD READING",107,43,0,13,163
