bill_id,people_id,position
1634542,22396,1
1634543,22085,1
1634544,21764,1
1634545,20700,1
1634546,21891,1
1634547,20696,1
1634548,21428,1
1634549,20697,1
1634550,22397,1
1634551,20732,1
1634552,21707,1
1634553,20732,1
1634554,20717,1
1634555,19592,1
1634556,22387,1
1634557,22398,1
1634558,20723,1
1634559,16565,1
1634560,21759,1
1634561,20695,1
1634562,18983,1
1634563,18818,1
1634564,20704,1
1634565,20710,1
1634566,22390,1
1634567,20696,1
1634568,23198,1
1634569,21707,1
1634570,20430,1
1634571,20705,1
1634572,22388,1
1634573,18816,1
1634574,23199,1
1634575,22403,1
1634576,22390,1
1634577,18098,1
1634578,20695,1
1634579,21765,1
1634580,22085,1
1634581,21707,1
1634582,20732,1
1634583,18816,1
1634584,18506,1
1634585,19592,1
1634586,22085,1
1634587,20716,1
1634588,22085,1
1634589,22392,1
1634590,21713,1
1634591,19939,1
1634592,21706,1
1634593,22085,1
1634594,20718,1
1634595,21709,1
1634596,22392,1
1634597,21706,1
1634598,21428,1
1634599,22391,1
1634600,20701,1
1634601,20716,1
1634602,18816,1
1634603,18506,1
1634604,19129,1
1634605,23194,1
1634606,20710,1
1634607,18817,1
1634608,18817,1
1634609,21430,1
1634610,22391,1
1634611,21430,1
1634612,22398,1
1634613,21428,1
1634614,20710,1
1634615,22922,1
1634616,20733,1
1634617,20732,1
1634618,18506,1
1634619,21765,1
1634620,22393,1
1634621,21428,1
1634622,21710,1
1634623,20724,1
1634624,20724,1
1634625,22398,1
1634626,21707,1
1634627,22390,1
1634628,22393,1
1634629,22394,1
1634630,21713,1
1634631,21713,1
1634632,22398,1
1634633,19735,1
1634634,20404,1
1634635,19735,1
1634636,21760,1
1634637,19735,1
1634638,22398,1
1634639,22397,1
1634640,20695,1
1634641,20430,1
1634642,22390,1
1634643,21891,1
1634644,22922,1
1634645,19129,1
1634646,20404,1
1634647,20724,1
1634648,20724,1
1634649,20162,1
1634650,22385,1
1634651,21705,1
1634652,20695,1
1634653,23193,1
1634654,22385,1
1634655,21707,1
1634656,21760,1
1634657,22403,1
1634658,20704,1
1634659,20725,1
1634660,20716,1
1634661,20732,1
1634662,21760,1
1634663,21764,1
1634664,20732,1
1634665,21707,1
1634666,20704,1
1634667,19735,1
1634668,21891,1
1634669,20712,1
1634670,20718,1
1634671,21891,1
1634672,20718,1
1634673,20712,1
1634674,19736,1
1634675,22085,1
1634676,20162,1
1634677,19736,1
1634678,20162,1
1634679,22394,1
1634680,16565,1
1634681,20724,1
1634682,19939,1
1634683,22398,1
1634684,20712,1
1634685,22393,1
1634686,22391,1
1634687,22393,1
1634688,18816,1
1634689,21709,1
1634690,20732,1
1634691,20705,1
1634692,18506,1
1634693,20733,1
1634694,22397,1
1634695,19129,1
1634696,21713,1
1634697,21759,1
1634698,22401,1
1634699,20723,1
1634700,21785,1
1634701,20718,1
1634702,20732,1
1634703,18818,1
1634704,22396,1
1634705,20716,1
1634706,18506,1
1634707,18506,1
1634708,21707,1
1634709,20725,1
1634710,20714,1
1634711,20725,1
1634712,21710,1
1634713,22385,1
1634714,22398,1
1634715,19129,1
1634716,20712,1
1634717,20710,1
1634718,22403,1
1634719,21709,1
1634720,21764,1
1634721,20697,1
1634722,20695,1
1634723,21764,1
1634724,19735,1
1634725,18817,1
1634726,22391,1
1634727,22398,1
1634728,21764,1
1634729,20695,1
1634730,19633,1
1634731,21428,1
1634732,21764,1
1634733,21891,1
1634734,20699,1
1634735,21707,1
1634736,22391,1
1634737,22396,1
1634738,19592,1
1634739,22394,1
1634740,21891,1
1634741,20697,1
1634742,21703,1
1634743,20714,1
1634744,21707,1
1634745,20732,1
1634746,19736,1
1634747,22401,1
1634748,18818,1
1634749,21710,1
1634750,19735,1
1634751,22398,1
1634752,21709,1
1634753,22398,1
1634754,22387,1
1634755,20696,1
1634756,20732,1
1634757,23197,1
1634758,22387,1
1634759,21706,1
1634760,21891,1
1634761,18818,1
1634762,21891,1
1634763,21710,1
1634764,20696,1
1634765,22390,1
1634766,21764,1
1634767,20699,1
1634768,22390,1
1634769,19735,1
1634770,22401,1
1634771,20697,1
1634772,21765,1
1634773,22390,1
1634774,21765,1
1634775,18815,1
1634776,20723,1
1634777,22398,1
1634778,22399,1
1634779,20724,1
1634780,18815,1
1634781,20725,1
1634782,21710,1
1634783,19593,1
1634784,20430,1
1634785,21891,1
1634786,20725,1
1634787,21713,1
1634788,20696,1
1634789,19129,1
1634790,22394,1
